province,year,month,week,total_cases
11 La Altagracia,2015,0,1,0
11 La Altagracia,2015,1,2,2
11 La Altagracia,2015,1,3,1
11 La Altagracia,2015,1,4,0
11 La Altagracia,2015,2,5,1
11 La Altagracia,2015,2,6,1
11 La Altagracia,2015,2,7,0
11 La Altagracia,2015,2,8,0
11 La Altagracia,2015,3,9,2
11 La Altagracia,2015,3,10,0
11 La Altagracia,2015,3,11,0
11 La Altagracia,2015,3,12,1
11 La Altagracia,2015,3,13,0
11 La Altagracia,2015,3,14,0
11 La Altagracia,2015,4,15,2
11 La Altagracia,2015,4,16,1
11 La Altagracia,2015,4,17,0
11 La Altagracia,2015,5,18,1
11 La Altagracia,2015,5,19,1
11 La Altagracia,2015,5,20,0
11 La Altagracia,2015,5,21,0
11 La Altagracia,2015,6,22,1
11 La Altagracia,2015,6,23,0
11 La Altagracia,2015,6,24,0
11 La Altagracia,2015,6,25,3
11 La Altagracia,2015,7,26,2
11 La Altagracia,2015,7,27,2
11 La Altagracia,2015,7,28,3
11 La Altagracia,2015,7,29,2
11 La Altagracia,2015,7,30,0
11 La Altagracia,2015,8,31,1
11 La Altagracia,2015,8,32,2
11 La Altagracia,2015,8,33,8
11 La Altagracia,2015,8,34,16
11 La Altagracia,2015,9,35,17
11 La Altagracia,2015,9,36,20
11 La Altagracia,2015,9,37,21
11 La Altagracia,2015,9,38,12
11 La Altagracia,2015,10,39,24
11 La Altagracia,2015,10,40,32
11 La Altagracia,2015,10,41,25
11 La Altagracia,2015,10,42,23
11 La Altagracia,2015,10,43,30
11 La Altagracia,2015,11,44,27
11 La Altagracia,2015,11,45,4
11 La Altagracia,2015,11,46,3
11 La Altagracia,2015,11,47,6
11 La Altagracia,2015,12,48,3
11 La Altagracia,2015,12,49,2
11 La Altagracia,2015,12,50,4
11 La Altagracia,2015,12,51,3
11 La Altagracia,2015,12,52,4
11 La Altagracia,2016,1,1,2
11 La Altagracia,2016,1,2,2
11 La Altagracia,2016,1,3,2
11 La Altagracia,2016,1,4,2
11 La Altagracia,2016,1,5,0
11 La Altagracia,2016,2,6,2
11 La Altagracia,2016,2,7,3
11 La Altagracia,2016,2,8,0
11 La Altagracia,2016,3,9,2
11 La Altagracia,2016,3,10,1
11 La Altagracia,2016,3,11,0
11 La Altagracia,2016,3,12,0
11 La Altagracia,2016,3,13,0
11 La Altagracia,2016,3,14,0
11 La Altagracia,2016,3,15,0
11 La Altagracia,2016,3,16,0
11 La Altagracia,2016,3,17,0
11 La Altagracia,2016,5,18,1
11 La Altagracia,2016,5,19,1
11 La Altagracia,2016,5,20,2
11 La Altagracia,2016,5,21,1
11 La Altagracia,2016,6,22,1
11 La Altagracia,2016,6,23,4
11 La Altagracia,2016,6,24,3
11 La Altagracia,2016,6,25,3
11 La Altagracia,2016,6,26,0
11 La Altagracia,2016,6,27,0
11 La Altagracia,2016,7,28,1
11 La Altagracia,2016,7,29,1
11 La Altagracia,2016,7,30,1
11 La Altagracia,2016,7,31,0
11 La Altagracia,2016,8,32,1
11 La Altagracia,2016,8,33,4
11 La Altagracia,2016,8,34,4
11 La Altagracia,2016,9,35,2
11 La Altagracia,2016,9,36,0
11 La Altagracia,2016,9,37,0
11 La Altagracia,2016,9,38,1
11 La Altagracia,2016,9,39,0
11 La Altagracia,2016,9,40,0
11 La Altagracia,2016,10,41,3
11 La Altagracia,2016,10,42,1
11 La Altagracia,2016,10,43,0
11 La Altagracia,2016,10,44,0
11 La Altagracia,2016,10,45,0
11 La Altagracia,2016,10,46,0
11 La Altagracia,2016,11,47,1
11 La Altagracia,2016,11,48,0
11 La Altagracia,2016,11,49,0
11 La Altagracia,2016,11,50,0
11 La Altagracia,2016,12,51,1
11 La Altagracia,2016,12,52,1
11 La Altagracia,2017,12,1,0
11 La Altagracia,2017,12,2,0
11 La Altagracia,2017,12,3,0
11 La Altagracia,2017,12,4,0
11 La Altagracia,2017,12,5,0
11 La Altagracia,2017,12,6,0
11 La Altagracia,2017,12,7,0
11 La Altagracia,2017,12,8,0
11 La Altagracia,2017,12,9,0
11 La Altagracia,2017,12,10,0
11 La Altagracia,2017,12,11,0
11 La Altagracia,2017,12,12,0
11 La Altagracia,2017,3,13,1
11 La Altagracia,2017,3,14,0
11 La Altagracia,2017,3,15,0
11 La Altagracia,2017,3,16,0
11 La Altagracia,2017,3,17,0
11 La Altagracia,2017,3,18,0
11 La Altagracia,2017,3,19,0
11 La Altagracia,2017,3,20,0
11 La Altagracia,2017,3,21,0
11 La Altagracia,2017,3,22,0
11 La Altagracia,2017,3,23,0
11 La Altagracia,2017,3,24,0
11 La Altagracia,2017,3,25,0
11 La Altagracia,2017,3,26,0
11 La Altagracia,2017,7,27,1
11 La Altagracia,2017,7,28,0
11 La Altagracia,2017,7,29,1
11 La Altagracia,2017,7,30,0
11 La Altagracia,2017,8,31,1
11 La Altagracia,2017,8,32,0
11 La Altagracia,2017,8,33,0
11 La Altagracia,2017,8,34,0
11 La Altagracia,2017,8,35,0
11 La Altagracia,2017,8,36,0
11 La Altagracia,2017,9,37,2
11 La Altagracia,2017,9,38,0
11 La Altagracia,2017,9,39,0
11 La Altagracia,2017,10,40,1
11 La Altagracia,2017,10,41,0
11 La Altagracia,2017,10,42,0
11 La Altagracia,2017,10,43,1
11 La Altagracia,2017,10,44,1
11 La Altagracia,2017,11,45,1
11 La Altagracia,2017,11,46,0
11 La Altagracia,2017,11,47,1
11 La Altagracia,2017,11,48,1
11 La Altagracia,2017,12,49,1
11 La Altagracia,2017,12,50,0
11 La Altagracia,2017,12,51,0
11 La Altagracia,2017,12,52,1
11 La Altagracia,2018,12,1,0
11 La Altagracia,2018,1,2,1
11 La Altagracia,2018,1,3,0
11 La Altagracia,2018,1,4,0
11 La Altagracia,2018,1,5,0
11 La Altagracia,2018,1,6,0
11 La Altagracia,2018,2,7,1
11 La Altagracia,2018,2,8,0
11 La Altagracia,2018,2,9,0
11 La Altagracia,2018,3,10,1
11 La Altagracia,2018,3,11,1
11 La Altagracia,2018,3,12,1
11 La Altagracia,2018,3,13,1
11 La Altagracia,2018,4,14,1
11 La Altagracia,2018,4,15,0
11 La Altagracia,2018,4,16,0
11 La Altagracia,2018,4,17,0
11 La Altagracia,2018,4,18,0
11 La Altagracia,2018,4,19,0
11 La Altagracia,2018,4,20,0
11 La Altagracia,2018,4,21,0
11 La Altagracia,2018,5,22,1
11 La Altagracia,2018,6,23,1
11 La Altagracia,2018,6,24,0
11 La Altagracia,2018,6,25,0
11 La Altagracia,2018,6,26,0
11 La Altagracia,2018,6,27,0
11 La Altagracia,2018,6,28,0
11 La Altagracia,2018,6,29,0
11 La Altagracia,2018,7,30,1
11 La Altagracia,2018,7,31,0
11 La Altagracia,2018,8,32,1
11 La Altagracia,2018,8,33,3
11 La Altagracia,2018,8,34,2
11 La Altagracia,2018,8,35,1
11 La Altagracia,2018,8,36,0
11 La Altagracia,2018,8,37,0
11 La Altagracia,2018,8,38,0
11 La Altagracia,2018,9,39,2
11 La Altagracia,2018,10,40,2
11 La Altagracia,2018,10,41,1
11 La Altagracia,2018,10,42,2
11 La Altagracia,2018,10,43,2
11 La Altagracia,2018,11,44,1
11 La Altagracia,2018,11,45,0
11 La Altagracia,2018,11,46,2
11 La Altagracia,2018,11,47,0
11 La Altagracia,2018,11,48,0
11 La Altagracia,2018,11,49,0
11 La Altagracia,2018,11,50,0
11 La Altagracia,2018,11,51,0
11 La Altagracia,2018,12,52,1
11 La Altagracia,2019,12,1,2
11 La Altagracia,2019,1,2,1
11 La Altagracia,2019,1,3,0
11 La Altagracia,2019,1,4,1
11 La Altagracia,2019,1,5,0
11 La Altagracia,2019,2,6,1
11 La Altagracia,2019,2,7,0
11 La Altagracia,2019,2,8,0
11 La Altagracia,2019,3,9,2
11 La Altagracia,2019,3,10,0
11 La Altagracia,2019,3,11,1
11 La Altagracia,2019,3,12,0
11 La Altagracia,2019,3,13,7
11 La Altagracia,2019,3,14,0
11 La Altagracia,2019,3,15,0
11 La Altagracia,2019,4,16,4
11 La Altagracia,2019,4,17,1
11 La Altagracia,2019,4,18,0
11 La Altagracia,2019,5,19,1
11 La Altagracia,2019,5,20,1
11 La Altagracia,2019,5,21,0
11 La Altagracia,2019,6,22,3
