province,year,month,week,total_cases
12 La Romana,2015,1,1,1
12 La Romana,2015,1,2,3
12 La Romana,2015,1,3,0
12 La Romana,2015,1,4,0
12 La Romana,2015,2,5,2
12 La Romana,2015,2,6,2
12 La Romana,2015,2,7,2
12 La Romana,2015,2,8,0
12 La Romana,2015,2,9,0
12 La Romana,2015,3,10,1
12 La Romana,2015,3,11,0
12 La Romana,2015,3,12,0
12 La Romana,2015,3,13,0
12 La Romana,2015,3,14,0
12 La Romana,2015,3,15,0
12 La Romana,2015,4,16,2
12 La Romana,2015,5,17,1
12 La Romana,2015,5,18,1
12 La Romana,2015,5,19,1
12 La Romana,2015,5,20,1
12 La Romana,2015,5,21,1
12 La Romana,2015,5,22,0
12 La Romana,2015,6,23,1
12 La Romana,2015,6,24,0
12 La Romana,2015,6,25,0
12 La Romana,2015,7,26,2
12 La Romana,2015,7,27,1
12 La Romana,2015,7,28,0
12 La Romana,2015,7,29,1
12 La Romana,2015,7,30,0
12 La Romana,2015,7,31,0
12 La Romana,2015,8,32,2
12 La Romana,2015,8,33,2
12 La Romana,2015,8,34,1
12 La Romana,2015,9,35,1
12 La Romana,2015,9,36,3
12 La Romana,2015,9,37,0
12 La Romana,2015,9,38,1
12 La Romana,2015,10,39,3
12 La Romana,2015,10,40,6
12 La Romana,2015,10,41,6
12 La Romana,2015,10,42,5
12 La Romana,2015,10,43,10
12 La Romana,2015,11,44,4
12 La Romana,2015,11,45,1
12 La Romana,2015,11,46,0
12 La Romana,2015,11,47,2
12 La Romana,2015,12,48,4
12 La Romana,2015,12,49,2
12 La Romana,2015,12,50,3
12 La Romana,2015,12,51,2
12 La Romana,2015,12,52,3
12 La Romana,2016,1,1,4
12 La Romana,2016,1,2,2
12 La Romana,2016,1,3,2
12 La Romana,2016,1,4,5
12 La Romana,2016,2,5,2
12 La Romana,2016,2,6,3
12 La Romana,2016,2,7,8
12 La Romana,2016,2,8,2
12 La Romana,2016,2,9,0
12 La Romana,2016,2,10,0
12 La Romana,2016,2,11,0
12 La Romana,2016,2,12,0
12 La Romana,2016,2,13,0
12 La Romana,2016,2,14,0
12 La Romana,2016,2,15,0
12 La Romana,2016,4,16,1
12 La Romana,2016,4,17,0
12 La Romana,2016,4,18,0
12 La Romana,2016,4,19,0
12 La Romana,2016,4,20,0
12 La Romana,2016,5,21,2
12 La Romana,2016,5,22,0
12 La Romana,2016,6,23,1
12 La Romana,2016,6,24,0
12 La Romana,2016,6,25,0
12 La Romana,2016,6,26,2
12 La Romana,2016,6,27,0
12 La Romana,2016,6,28,0
12 La Romana,2016,6,29,0
12 La Romana,2016,6,30,0
12 La Romana,2016,6,31,0
12 La Romana,2016,6,32,0
12 La Romana,2016,6,33,0
