province,year,month,week,total_cases
13 La Vega,2015,1,1,1
13 La Vega,2015,1,2,1
13 La Vega,2015,1,3,7
13 La Vega,2015,1,4,1
13 La Vega,2015,2,5,2
13 La Vega,2015,2,6,3
13 La Vega,2015,2,7,1
13 La Vega,2015,2,8,8
13 La Vega,2015,3,9,7
13 La Vega,2015,3,10,3
13 La Vega,2015,3,11,2
13 La Vega,2015,3,12,3
13 La Vega,2015,4,13,4
13 La Vega,2015,4,14,6
13 La Vega,2015,4,15,7
13 La Vega,2015,4,16,0
13 La Vega,2015,5,17,7
13 La Vega,2015,5,18,6
13 La Vega,2015,5,19,8
13 La Vega,2015,5,20,6
13 La Vega,2015,5,21,8
13 La Vega,2015,5,22,0
13 La Vega,2015,6,23,6
13 La Vega,2015,6,24,4
13 La Vega,2015,6,25,2
13 La Vega,2015,7,26,4
13 La Vega,2015,7,27,8
13 La Vega,2015,7,28,19
13 La Vega,2015,7,29,19
13 La Vega,2015,8,30,19
13 La Vega,2015,8,31,26
13 La Vega,2015,8,32,22
13 La Vega,2015,8,33,34
13 La Vega,2015,8,34,24
13 La Vega,2015,9,35,22
13 La Vega,2015,9,36,35
13 La Vega,2015,9,37,43
13 La Vega,2015,9,38,32
13 La Vega,2015,10,39,47
13 La Vega,2015,10,40,70
13 La Vega,2015,10,41,78
13 La Vega,2015,10,42,75
13 La Vega,2015,10,43,86
13 La Vega,2015,11,44,53
13 La Vega,2015,11,45,74
13 La Vega,2015,11,46,56
13 La Vega,2015,11,47,41
13 La Vega,2015,12,48,25
13 La Vega,2015,12,49,31
13 La Vega,2015,12,50,10
13 La Vega,2015,12,51,18
13 La Vega,2015,12,52,17
13 La Vega,2016,1,1,17
13 La Vega,2016,1,2,18
13 La Vega,2016,1,3,27
13 La Vega,2016,1,4,25
13 La Vega,2016,2,5,23
13 La Vega,2016,2,6,25
13 La Vega,2016,2,7,21
13 La Vega,2016,2,8,15
13 La Vega,2016,3,9,12
13 La Vega,2016,3,10,9
13 La Vega,2016,3,11,11
13 La Vega,2016,3,12,9
13 La Vega,2016,4,13,15
13 La Vega,2016,4,14,9
13 La Vega,2016,4,15,16
13 La Vega,2016,4,16,10
13 La Vega,2016,4,17,18
13 La Vega,2016,5,18,16
13 La Vega,2016,5,19,14
13 La Vega,2016,5,20,12
13 La Vega,2016,5,21,7
13 La Vega,2016,6,22,14
13 La Vega,2016,6,23,6
13 La Vega,2016,6,24,8
13 La Vega,2016,6,25,12
13 La Vega,2016,7,26,7
13 La Vega,2016,7,27,4
13 La Vega,2016,7,28,8
13 La Vega,2016,7,29,1
13 La Vega,2016,7,30,3
13 La Vega,2016,8,31,4
13 La Vega,2016,8,32,4
13 La Vega,2016,8,33,1
13 La Vega,2016,8,34,6
13 La Vega,2016,8,35,2
13 La Vega,2016,9,36,1
13 La Vega,2016,9,37,0
13 La Vega,2016,9,38,2
13 La Vega,2016,9,39,5
13 La Vega,2016,10,40,3
13 La Vega,2016,10,41,4
13 La Vega,2016,10,42,2
13 La Vega,2016,10,43,5
13 La Vega,2016,11,44,7
13 La Vega,2016,11,45,3
13 La Vega,2016,11,46,2
13 La Vega,2016,11,47,3
13 La Vega,2016,12,48,4
13 La Vega,2016,12,49,4
13 La Vega,2016,12,50,1
13 La Vega,2016,12,51,2
13 La Vega,2016,12,52,0
13 La Vega,2017,1,1,4
13 La Vega,2017,1,2,0
13 La Vega,2017,1,3,0
13 La Vega,2017,1,4,0
13 La Vega,2017,1,5,0
13 La Vega,2017,1,6,0
13 La Vega,2017,1,7,0
13 La Vega,2017,2,8,1
13 La Vega,2017,2,9,0
13 La Vega,2017,2,10,0
13 La Vega,2017,3,11,1
13 La Vega,2017,3,12,0
13 La Vega,2017,3,13,1
13 La Vega,2017,3,14,0
13 La Vega,2017,3,15,0
13 La Vega,2017,4,16,1
13 La Vega,2017,4,17,0
13 La Vega,2017,5,18,1
13 La Vega,2017,5,19,2
13 La Vega,2017,5,20,0
13 La Vega,2017,5,21,1
13 La Vega,2017,6,22,1
13 La Vega,2017,6,23,0
13 La Vega,2017,6,24,0
13 La Vega,2017,6,25,3
13 La Vega,2017,6,26,1
13 La Vega,2017,7,27,1
13 La Vega,2017,7,28,2
13 La Vega,2017,7,29,1
13 La Vega,2017,7,30,1
13 La Vega,2017,8,31,1
13 La Vega,2017,8,32,2
13 La Vega,2017,8,33,0
13 La Vega,2017,8,34,2
13 La Vega,2017,8,35,1
13 La Vega,2017,9,36,1
13 La Vega,2017,9,37,0
13 La Vega,2017,9,38,2
13 La Vega,2017,9,39,2
13 La Vega,2017,10,40,3
13 La Vega,2017,10,41,0
13 La Vega,2017,10,42,1
13 La Vega,2017,10,43,1
13 La Vega,2017,10,44,0
13 La Vega,2017,11,45,1
13 La Vega,2017,11,46,1
13 La Vega,2017,11,47,0
13 La Vega,2017,11,48,0
13 La Vega,2017,12,49,3
13 La Vega,2017,12,50,1
13 La Vega,2017,12,51,0
13 La Vega,2017,12,52,1
13 La Vega,2018,1,1,1
13 La Vega,2018,1,2,0
13 La Vega,2018,1,3,0
13 La Vega,2018,1,4,1
13 La Vega,2018,1,5,0
13 La Vega,2018,2,6,2
13 La Vega,2018,2,7,1
13 La Vega,2018,2,8,1
13 La Vega,2018,2,9,0
13 La Vega,2018,3,10,5
13 La Vega,2018,3,11,0
13 La Vega,2018,3,12,2
13 La Vega,2018,3,13,0
13 La Vega,2018,4,14,3
13 La Vega,2018,4,15,2
13 La Vega,2018,4,16,1
13 La Vega,2018,4,17,0
13 La Vega,2018,5,18,1
13 La Vega,2018,5,19,1
13 La Vega,2018,5,20,0
13 La Vega,2018,5,21,0
13 La Vega,2018,5,22,0
13 La Vega,2018,5,23,0
13 La Vega,2018,5,24,0
13 La Vega,2018,5,25,0
13 La Vega,2018,5,26,0
13 La Vega,2018,7,27,1
13 La Vega,2018,7,28,0
13 La Vega,2018,7,29,3
13 La Vega,2018,7,30,0
13 La Vega,2018,7,31,0
13 La Vega,2018,8,32,2
13 La Vega,2018,8,33,0
13 La Vega,2018,8,34,0
13 La Vega,2018,8,35,1
13 La Vega,2018,8,36,0
13 La Vega,2018,8,37,0
13 La Vega,2018,9,38,1
13 La Vega,2018,9,39,0
13 La Vega,2018,9,40,0
13 La Vega,2018,10,41,1
13 La Vega,2018,10,42,0
13 La Vega,2018,10,43,2
13 La Vega,2018,10,44,1
13 La Vega,2018,11,45,1
13 La Vega,2018,11,46,4
13 La Vega,2018,11,47,3
13 La Vega,2018,11,48,5
13 La Vega,2018,12,49,6
13 La Vega,2018,12,50,1
13 La Vega,2018,12,51,1
13 La Vega,2018,12,52,0
13 La Vega,2019,1,1,1
13 La Vega,2019,1,2,0
13 La Vega,2019,1,3,0
13 La Vega,2019,1,4,3
13 La Vega,2019,2,5,1
13 La Vega,2019,2,6,2
13 La Vega,2019,2,7,2
13 La Vega,2019,2,8,1
13 La Vega,2019,2,9,0
13 La Vega,2019,3,10,1
13 La Vega,2019,3,11,0
13 La Vega,2019,3,12,2
13 La Vega,2019,3,13,3
13 La Vega,2019,4,14,1
13 La Vega,2019,4,15,1
13 La Vega,2019,4,16,1
13 La Vega,2019,4,17,2
13 La Vega,2019,4,18,0
13 La Vega,2019,5,19,1
13 La Vega,2019,5,20,2
13 La Vega,2019,5,21,0
13 La Vega,2019,6,22,1
13 La Vega,2019,6,23,2
