province,year,month,week,total_cases
14 María Trinidad Sánchez,2015,1,1,2
14 María Trinidad Sánchez,2015,1,2,0
14 María Trinidad Sánchez,2015,1,3,2
14 María Trinidad Sánchez,2015,1,4,0
14 María Trinidad Sánchez,2015,2,5,4
14 María Trinidad Sánchez,2015,2,6,1
14 María Trinidad Sánchez,2015,2,7,1
14 María Trinidad Sánchez,2015,2,8,0
14 María Trinidad Sánchez,2015,3,9,1
14 María Trinidad Sánchez,2015,3,10,0
14 María Trinidad Sánchez,2015,3,11,0
14 María Trinidad Sánchez,2015,3,12,2
14 María Trinidad Sánchez,2015,4,13,1
14 María Trinidad Sánchez,2015,4,14,1
14 María Trinidad Sánchez,2015,4,15,0
14 María Trinidad Sánchez,2015,4,16,1
14 María Trinidad Sánchez,2015,4,17,0
14 María Trinidad Sánchez,2015,5,18,2
14 María Trinidad Sánchez,2015,5,19,3
14 María Trinidad Sánchez,2015,5,20,5
14 María Trinidad Sánchez,2015,5,21,1
14 María Trinidad Sánchez,2015,5,22,0
14 María Trinidad Sánchez,2015,6,23,1
14 María Trinidad Sánchez,2015,6,24,0
14 María Trinidad Sánchez,2015,6,25,1
14 María Trinidad Sánchez,2015,7,26,2
14 María Trinidad Sánchez,2015,7,27,2
14 María Trinidad Sánchez,2015,7,28,6
14 María Trinidad Sánchez,2015,7,29,2
14 María Trinidad Sánchez,2015,7,30,2
14 María Trinidad Sánchez,2015,8,31,3
14 María Trinidad Sánchez,2015,8,32,1
14 María Trinidad Sánchez,2015,8,33,8
14 María Trinidad Sánchez,2015,8,34,1
14 María Trinidad Sánchez,2015,9,35,5
14 María Trinidad Sánchez,2015,9,36,8
14 María Trinidad Sánchez,2015,9,37,7
14 María Trinidad Sánchez,2015,9,38,9
14 María Trinidad Sánchez,2015,10,39,5
14 María Trinidad Sánchez,2015,10,40,8
14 María Trinidad Sánchez,2015,10,41,7
14 María Trinidad Sánchez,2015,10,42,15
14 María Trinidad Sánchez,2015,10,43,16
14 María Trinidad Sánchez,2015,11,44,18
14 María Trinidad Sánchez,2015,11,45,24
14 María Trinidad Sánchez,2015,11,46,19
14 María Trinidad Sánchez,2015,11,47,17
14 María Trinidad Sánchez,2015,12,48,13
14 María Trinidad Sánchez,2015,12,49,14
14 María Trinidad Sánchez,2015,12,50,10
14 María Trinidad Sánchez,2015,12,51,8
14 María Trinidad Sánchez,2015,12,52,7
14 María Trinidad Sánchez,2016,1,1,13
14 María Trinidad Sánchez,2016,1,2,12
14 María Trinidad Sánchez,2016,1,3,7
14 María Trinidad Sánchez,2016,1,4,14
14 María Trinidad Sánchez,2016,2,5,8
14 María Trinidad Sánchez,2016,2,6,6
14 María Trinidad Sánchez,2016,2,7,3
14 María Trinidad Sánchez,2016,2,8,1
14 María Trinidad Sánchez,2016,3,9,3
14 María Trinidad Sánchez,2016,3,10,3
14 María Trinidad Sánchez,2016,3,11,3
14 María Trinidad Sánchez,2016,3,12,6
14 María Trinidad Sánchez,2016,3,13,2
14 María Trinidad Sánchez,2016,4,14,2
14 María Trinidad Sánchez,2016,4,15,3
14 María Trinidad Sánchez,2016,4,16,1
14 María Trinidad Sánchez,2016,4,17,3
14 María Trinidad Sánchez,2016,5,18,1
14 María Trinidad Sánchez,2016,5,19,4
14 María Trinidad Sánchez,2016,5,20,3
14 María Trinidad Sánchez,2016,5,21,2
14 María Trinidad Sánchez,2016,6,22,4
14 María Trinidad Sánchez,2016,6,23,1
14 María Trinidad Sánchez,2016,6,24,1
14 María Trinidad Sánchez,2016,6,25,5
14 María Trinidad Sánchez,2016,6,26,0
14 María Trinidad Sánchez,2016,7,27,3
14 María Trinidad Sánchez,2016,7,28,0
14 María Trinidad Sánchez,2016,7,29,2
14 María Trinidad Sánchez,2016,7,30,0
14 María Trinidad Sánchez,2016,7,31,0
14 María Trinidad Sánchez,2016,8,32,1
14 María Trinidad Sánchez,2016,8,33,2
14 María Trinidad Sánchez,2016,8,34,1
14 María Trinidad Sánchez,2016,9,35,4
14 María Trinidad Sánchez,2016,9,36,1
14 María Trinidad Sánchez,2016,9,37,1
14 María Trinidad Sánchez,2016,9,38,1
14 María Trinidad Sánchez,2016,9,39,0
14 María Trinidad Sánchez,2016,9,40,0
14 María Trinidad Sánchez,2016,9,41,0
14 María Trinidad Sánchez,2016,9,42,0
14 María Trinidad Sánchez,2016,9,43,0
14 María Trinidad Sánchez,2016,9,44,0
14 María Trinidad Sánchez,2016,11,45,3
14 María Trinidad Sánchez,2016,11,46,1
14 María Trinidad Sánchez,2016,11,47,3
14 María Trinidad Sánchez,2016,11,48,2
14 María Trinidad Sánchez,2016,12,49,1
14 María Trinidad Sánchez,2016,12,50,0
14 María Trinidad Sánchez,2016,12,51,0
14 María Trinidad Sánchez,2016,12,52,1
14 María Trinidad Sánchez,2017,12,1,0
14 María Trinidad Sánchez,2017,1,2,2
14 María Trinidad Sánchez,2017,1,3,1
14 María Trinidad Sánchez,2017,1,4,0
14 María Trinidad Sánchez,2017,1,5,1
14 María Trinidad Sánchez,2017,2,6,3
14 María Trinidad Sánchez,2017,2,7,0
14 María Trinidad Sánchez,2017,2,8,0
14 María Trinidad Sánchez,2017,2,9,0
14 María Trinidad Sánchez,2017,3,10,1
14 María Trinidad Sánchez,2017,3,11,2
14 María Trinidad Sánchez,2017,3,12,0
14 María Trinidad Sánchez,2017,3,13,1
14 María Trinidad Sánchez,2017,4,14,1
14 María Trinidad Sánchez,2017,4,15,0
14 María Trinidad Sánchez,2017,4,16,1
14 María Trinidad Sánchez,2017,4,17,1
14 María Trinidad Sánchez,2017,4,18,0
14 María Trinidad Sánchez,2017,4,19,0
14 María Trinidad Sánchez,2017,4,20,0
14 María Trinidad Sánchez,2017,4,21,0
14 María Trinidad Sánchez,2017,6,22,2
14 María Trinidad Sánchez,2017,6,23,0
14 María Trinidad Sánchez,2017,6,24,1
14 María Trinidad Sánchez,2017,6,25,1
14 María Trinidad Sánchez,2017,6,26,1
14 María Trinidad Sánchez,2017,7,27,1
14 María Trinidad Sánchez,2017,7,28,1
14 María Trinidad Sánchez,2017,7,29,1
14 María Trinidad Sánchez,2017,7,30,2
14 María Trinidad Sánchez,2017,7,31,1
14 María Trinidad Sánchez,2017,7,32,0
14 María Trinidad Sánchez,2017,7,33,0
14 María Trinidad Sánchez,2017,7,34,0
14 María Trinidad Sánchez,2017,7,35,0
14 María Trinidad Sánchez,2017,7,36,0
14 María Trinidad Sánchez,2017,7,37,0
14 María Trinidad Sánchez,2017,7,38,0
14 María Trinidad Sánchez,2017,9,39,1
14 María Trinidad Sánchez,2017,9,40,0
14 María Trinidad Sánchez,2017,9,41,0
14 María Trinidad Sánchez,2017,9,42,0
14 María Trinidad Sánchez,2017,9,43,0
14 María Trinidad Sánchez,2017,9,44,0
14 María Trinidad Sánchez,2017,9,45,0
14 María Trinidad Sánchez,2017,9,46,0
14 María Trinidad Sánchez,2017,9,47,0
14 María Trinidad Sánchez,2017,9,48,0
14 María Trinidad Sánchez,2017,9,49,0
14 María Trinidad Sánchez,2017,9,50,0
14 María Trinidad Sánchez,2017,9,51,0
14 María Trinidad Sánchez,2017,9,52,0
14 María Trinidad Sánchez,2018,9,1,0
14 María Trinidad Sánchez,2018,9,2,0
14 María Trinidad Sánchez,2018,1,3,1
14 María Trinidad Sánchez,2018,1,4,2
14 María Trinidad Sánchez,2018,1,5,0
14 María Trinidad Sánchez,2018,1,6,0
14 María Trinidad Sánchez,2018,1,7,0
14 María Trinidad Sánchez,2018,1,8,0
14 María Trinidad Sánchez,2018,1,9,0
14 María Trinidad Sánchez,2018,1,10,0
14 María Trinidad Sánchez,2018,1,11,0
14 María Trinidad Sánchez,2018,1,12,0
