province,year,month,week,total_cases
15 Monte Cristi,2015,0,1,0
15 Monte Cristi,2015,1,2,1
15 Monte Cristi,2015,1,3,0
15 Monte Cristi,2015,1,4,1
15 Monte Cristi,2015,2,5,2
15 Monte Cristi,2015,2,6,3
15 Monte Cristi,2015,2,7,0
15 Monte Cristi,2015,2,8,0
15 Monte Cristi,2015,3,9,6
15 Monte Cristi,2015,3,10,1
15 Monte Cristi,2015,3,11,0
15 Monte Cristi,2015,3,12,0
15 Monte Cristi,2015,4,13,5
15 Monte Cristi,2015,4,14,0
15 Monte Cristi,2015,4,15,0
15 Monte Cristi,2015,4,16,0
15 Monte Cristi,2015,5,17,6
15 Monte Cristi,2015,5,18,1
15 Monte Cristi,2015,5,19,0
15 Monte Cristi,2015,5,20,0
15 Monte Cristi,2015,5,21,1
15 Monte Cristi,2015,5,22,0
15 Monte Cristi,2015,6,23,2
15 Monte Cristi,2015,6,24,4
15 Monte Cristi,2015,6,25,0
15 Monte Cristi,2015,6,26,0
15 Monte Cristi,2015,7,27,1
15 Monte Cristi,2015,7,28,2
15 Monte Cristi,2015,7,29,3
15 Monte Cristi,2015,8,30,3
15 Monte Cristi,2015,8,31,2
15 Monte Cristi,2015,8,32,5
15 Monte Cristi,2015,8,33,3
15 Monte Cristi,2015,8,34,6
15 Monte Cristi,2015,9,35,7
15 Monte Cristi,2015,9,36,6
15 Monte Cristi,2015,9,37,6
15 Monte Cristi,2015,9,38,13
15 Monte Cristi,2015,10,39,6
15 Monte Cristi,2015,10,40,2
15 Monte Cristi,2015,10,41,11
15 Monte Cristi,2015,10,42,14
15 Monte Cristi,2015,10,43,0
15 Monte Cristi,2015,11,44,1
15 Monte Cristi,2015,11,45,11
15 Monte Cristi,2015,11,46,3
15 Monte Cristi,2015,11,47,9
15 Monte Cristi,2015,11,48,0
15 Monte Cristi,2015,12,49,3
15 Monte Cristi,2015,12,50,4
15 Monte Cristi,2015,12,51,2
15 Monte Cristi,2015,1,52,2
15 Monte Cristi,2016,1,1,5
15 Monte Cristi,2016,1,2,6
15 Monte Cristi,2016,1,3,0
15 Monte Cristi,2016,1,4,5
15 Monte Cristi,2016,2,5,8
15 Monte Cristi,2016,2,6,9
15 Monte Cristi,2016,2,7,0
15 Monte Cristi,2016,2,8,8
15 Monte Cristi,2016,2,9,0
15 Monte Cristi,2016,3,10,8
15 Monte Cristi,2016,3,11,4
15 Monte Cristi,2016,3,12,1
15 Monte Cristi,2016,3,13,0
15 Monte Cristi,2016,4,14,1
15 Monte Cristi,2016,4,15,1
15 Monte Cristi,2016,4,16,1
15 Monte Cristi,2016,4,17,2
15 Monte Cristi,2016,4,18,0
15 Monte Cristi,2016,5,19,1
15 Monte Cristi,2016,5,20,0
15 Monte Cristi,2016,5,21,4
15 Monte Cristi,2016,5,22,7
15 Monte Cristi,2016,6,23,1
15 Monte Cristi,2016,6,24,0
15 Monte Cristi,2016,6,25,0
15 Monte Cristi,2016,6,26,0
15 Monte Cristi,2016,6,27,0
15 Monte Cristi,2016,7,28,3
15 Monte Cristi,2016,7,29,0
15 Monte Cristi,2016,7,30,1
15 Monte Cristi,2016,8,31,1
15 Monte Cristi,2016,8,32,2
15 Monte Cristi,2016,8,33,1
15 Monte Cristi,2016,8,34,0
15 Monte Cristi,2016,8,35,0
15 Monte Cristi,2016,8,36,0
15 Monte Cristi,2016,8,37,0
15 Monte Cristi,2016,8,38,0
15 Monte Cristi,2016,9,39,2
15 Monte Cristi,2016,10,40,1
15 Monte Cristi,2016,10,41,0
15 Monte Cristi,2016,10,42,0
15 Monte Cristi,2016,10,43,0
15 Monte Cristi,2016,10,44,0
15 Monte Cristi,2016,10,45,0
15 Monte Cristi,2016,10,46,0
15 Monte Cristi,2016,11,47,1
15 Monte Cristi,2016,12,48,5
15 Monte Cristi,2016,12,49,2
15 Monte Cristi,2016,12,50,1
15 Monte Cristi,2016,12,51,0
15 Monte Cristi,2016,12,52,3
