province,year,month,week,total_cases
16 Pedernales,2015,0,1,0
16 Pedernales,2015,1,2,2
16 Pedernales,2015,1,3,1
16 Pedernales,2015,1,4,0
16 Pedernales,2015,1,5,0
16 Pedernales,2015,1,6,0
16 Pedernales,2015,1,7,0
16 Pedernales,2015,2,8,4
16 Pedernales,2015,3,9,3
16 Pedernales,2015,3,10,0
16 Pedernales,2015,3,11,0
16 Pedernales,2015,3,12,0
16 Pedernales,2015,3,13,0
16 Pedernales,2015,4,14,1
16 Pedernales,2015,4,15,0
16 Pedernales,2015,4,16,0
16 Pedernales,2015,5,17,1
16 Pedernales,2015,5,18,0
16 Pedernales,2015,5,19,2
16 Pedernales,2015,5,20,0
16 Pedernales,2015,5,21,0
16 Pedernales,2015,6,22,1
16 Pedernales,2015,6,23,0
16 Pedernales,2015,6,24,0
16 Pedernales,2015,6,25,4
16 Pedernales,2015,6,26,0
16 Pedernales,2015,6,27,0
16 Pedernales,2015,7,28,1
16 Pedernales,2015,7,29,0
16 Pedernales,2015,7,30,0
16 Pedernales,2015,7,31,0
16 Pedernales,2015,8,32,1
16 Pedernales,2015,8,33,1
16 Pedernales,2015,8,34,0
16 Pedernales,2015,8,35,0
16 Pedernales,2015,8,36,0
16 Pedernales,2015,8,37,0
16 Pedernales,2015,8,38,0
16 Pedernales,2015,8,39,0
16 Pedernales,2015,10,40,1
16 Pedernales,2015,10,41,0
16 Pedernales,2015,10,42,0
16 Pedernales,2015,10,43,0
16 Pedernales,2015,11,44,10
16 Pedernales,2015,11,45,4
16 Pedernales,2015,11,46,0
16 Pedernales,2015,11,47,1
16 Pedernales,2015,12,48,1
16 Pedernales,2015,12,49,1
16 Pedernales,2015,12,50,1
16 Pedernales,2015,12,51,2
16 Pedernales,2015,12,52,0
16 Pedernales,2016,1,1,1
16 Pedernales,2016,1,2,6
16 Pedernales,2016,1,3,1
16 Pedernales,2016,1,4,0
16 Pedernales,2016,1,5,0
16 Pedernales,2016,2,6,2
16 Pedernales,2016,2,7,0
16 Pedernales,2016,2,8,0
16 Pedernales,2016,2,9,0
16 Pedernales,2016,2,10,0
16 Pedernales,2016,2,11,0
16 Pedernales,2016,3,12,1
16 Pedernales,2016,3,13,0
16 Pedernales,2016,3,14,0
16 Pedernales,2016,3,15,0
16 Pedernales,2016,3,16,0
16 Pedernales,2016,3,17,0
16 Pedernales,2016,3,18,0
16 Pedernales,2016,3,19,0
16 Pedernales,2016,3,20,0
16 Pedernales,2016,5,21,2
16 Pedernales,2016,5,22,0
16 Pedernales,2016,5,23,0
16 Pedernales,2016,5,24,0
16 Pedernales,2016,5,25,0
16 Pedernales,2016,5,26,0
16 Pedernales,2016,7,27,4
16 Pedernales,2016,7,28,0
16 Pedernales,2016,7,29,0
16 Pedernales,2016,7,30,1
16 Pedernales,2016,8,31,2
16 Pedernales,2016,8,32,0
16 Pedernales,2016,8,33,1
16 Pedernales,2016,8,34,0
