province,year,month,week,total_cases
17 Peravia,2015,1,1,1
17 Peravia,2015,1,2,1
17 Peravia,2015,1,3,0
17 Peravia,2015,1,4,2
17 Peravia,2015,2,5,2
17 Peravia,2015,2,6,2
17 Peravia,2015,2,7,0
17 Peravia,2015,2,8,0
17 Peravia,2015,3,9,3
17 Peravia,2015,3,10,4
17 Peravia,2015,3,11,2
17 Peravia,2015,3,12,2
17 Peravia,2015,3,13,1
17 Peravia,2015,4,14,2
17 Peravia,2015,4,15,0
17 Peravia,2015,4,16,1
17 Peravia,2015,4,17,3
17 Peravia,2015,5,18,1
17 Peravia,2015,5,19,1
17 Peravia,2015,5,20,0
17 Peravia,2015,5,21,1
17 Peravia,2015,6,22,4
17 Peravia,2015,6,23,3
17 Peravia,2015,6,24,1
17 Peravia,2015,6,25,1
17 Peravia,2015,7,26,5
17 Peravia,2015,7,27,4
17 Peravia,2015,7,28,3
17 Peravia,2015,7,29,2
17 Peravia,2015,7,30,3
17 Peravia,2015,8,31,3
17 Peravia,2015,8,32,4
17 Peravia,2015,8,33,2
17 Peravia,2015,8,34,1
17 Peravia,2015,9,35,2
17 Peravia,2015,9,36,4
17 Peravia,2015,9,37,5
17 Peravia,2015,9,38,13
17 Peravia,2015,9,39,2
17 Peravia,2015,10,40,10
17 Peravia,2015,10,41,17
17 Peravia,2015,10,42,8
17 Peravia,2015,10,43,13
17 Peravia,2015,11,44,10
17 Peravia,2015,11,45,11
17 Peravia,2015,11,46,6
17 Peravia,2015,11,47,10
17 Peravia,2015,12,48,6
17 Peravia,2015,12,49,7
17 Peravia,2015,12,50,21
17 Peravia,2015,12,51,9
17 Peravia,2015,12,52,14
17 Peravia,2016,1,1,17
17 Peravia,2016,1,2,7
17 Peravia,2016,1,3,14
17 Peravia,2016,1,4,14
17 Peravia,2016,2,5,9
17 Peravia,2016,2,6,4
17 Peravia,2016,2,7,5
17 Peravia,2016,2,8,2
17 Peravia,2016,3,9,2
17 Peravia,2016,3,10,0
17 Peravia,2016,3,11,2
17 Peravia,2016,3,12,3
17 Peravia,2016,4,13,5
17 Peravia,2016,4,14,3
17 Peravia,2016,4,15,3
17 Peravia,2016,4,16,0
17 Peravia,2016,4,17,0
17 Peravia,2016,5,18,2
17 Peravia,2016,5,19,0
17 Peravia,2016,5,20,0
17 Peravia,2016,5,21,0
17 Peravia,2016,5,22,1
17 Peravia,2016,6,23,4
17 Peravia,2016,6,24,10
17 Peravia,2016,6,25,1
17 Peravia,2016,7,26,5
17 Peravia,2016,7,27,1
17 Peravia,2016,7,28,0
17 Peravia,2016,7,29,3
17 Peravia,2016,7,30,1
17 Peravia,2016,8,31,4
17 Peravia,2016,8,32,2
17 Peravia,2016,8,33,0
17 Peravia,2016,8,34,2
17 Peravia,2016,8,35,1
17 Peravia,2016,8,36,0
17 Peravia,2016,8,37,0
17 Peravia,2016,8,38,0
17 Peravia,2016,8,39,0
17 Peravia,2016,10,40,1
17 Peravia,2016,10,41,0
17 Peravia,2016,10,42,0
17 Peravia,2016,10,43,0
17 Peravia,2016,10,44,0
17 Peravia,2016,10,45,0
17 Peravia,2016,10,46,0
17 Peravia,2016,10,47,0
17 Peravia,2016,12,48,1
17 Peravia,2016,12,49,2
17 Peravia,2016,12,50,0
17 Peravia,2016,12,51,0
17 Peravia,2016,12,52,0
17 Peravia,2017,12,1,0
17 Peravia,2017,12,2,0
17 Peravia,2017,12,3,0
17 Peravia,2017,12,4,0
17 Peravia,2017,12,5,0
17 Peravia,2017,12,6,0
17 Peravia,2017,12,7,0
17 Peravia,2017,12,8,0
17 Peravia,2017,2,9,1
17 Peravia,2017,2,10,0
17 Peravia,2017,2,11,0
17 Peravia,2017,2,12,0
17 Peravia,2017,2,13,0
17 Peravia,2017,4,14,1
17 Peravia,2017,4,15,0
17 Peravia,2017,4,16,0
17 Peravia,2017,4,17,0
17 Peravia,2017,4,18,0
17 Peravia,2017,4,19,0
17 Peravia,2017,5,20,1
17 Peravia,2017,5,21,1
17 Peravia,2017,5,22,1
17 Peravia,2017,5,23,0
17 Peravia,2017,5,24,0
17 Peravia,2017,5,25,0
17 Peravia,2017,5,26,0
17 Peravia,2017,5,27,0
17 Peravia,2017,5,28,0
17 Peravia,2017,5,29,0
17 Peravia,2017,5,30,0
17 Peravia,2017,5,31,0
17 Peravia,2017,5,32,0
17 Peravia,2017,5,33,0
17 Peravia,2017,5,34,0
17 Peravia,2017,5,35,0
17 Peravia,2017,5,36,0
17 Peravia,2017,5,37,0
17 Peravia,2017,5,38,0
17 Peravia,2017,9,39,4
17 Peravia,2017,9,40,0
17 Peravia,2017,10,41,2
17 Peravia,2017,10,42,2
17 Peravia,2017,10,43,0
17 Peravia,2017,10,44,0
17 Peravia,2017,10,45,0
17 Peravia,2017,10,46,0
17 Peravia,2017,11,47,1
17 Peravia,2017,11,48,0
17 Peravia,2017,12,49,1
17 Peravia,2017,12,50,0
17 Peravia,2017,12,51,1
17 Peravia,2017,12,52,0
17 Peravia,2018,12,1,0
17 Peravia,2018,12,2,0
17 Peravia,2018,12,3,0
17 Peravia,2018,12,4,0
17 Peravia,2018,12,5,0
17 Peravia,2018,12,6,0
17 Peravia,2018,12,7,0
17 Peravia,2018,12,8,0
17 Peravia,2018,12,9,0
17 Peravia,2018,12,10,0
17 Peravia,2018,12,11,0
17 Peravia,2018,12,12,0
17 Peravia,2018,12,13,0
17 Peravia,2018,12,14,0
17 Peravia,2018,12,15,0
17 Peravia,2018,12,16,0
17 Peravia,2018,12,17,0
17 Peravia,2018,12,18,0
17 Peravia,2018,12,19,0
17 Peravia,2018,12,20,0
17 Peravia,2018,12,21,0
17 Peravia,2018,12,22,0
17 Peravia,2018,12,23,0
17 Peravia,2018,12,24,0
17 Peravia,2018,12,25,0
17 Peravia,2018,12,26,0
17 Peravia,2018,12,27,0
17 Peravia,2018,12,28,0
17 Peravia,2018,12,29,0
17 Peravia,2018,12,30,0
17 Peravia,2018,12,31,0
