province,year,month,week,total_cases
18 Puerto Plata,2015,1,1,2
18 Puerto Plata,2015,1,2,3
18 Puerto Plata,2015,1,3,0
18 Puerto Plata,2015,1,4,3
18 Puerto Plata,2015,1,5,0
18 Puerto Plata,2015,1,6,0
18 Puerto Plata,2015,1,7,0
18 Puerto Plata,2015,2,8,1
18 Puerto Plata,2015,3,9,2
18 Puerto Plata,2015,3,10,0
18 Puerto Plata,2015,3,11,0
18 Puerto Plata,2015,3,12,0
18 Puerto Plata,2015,4,13,1
18 Puerto Plata,2015,4,14,3
18 Puerto Plata,2015,4,15,2
18 Puerto Plata,2015,4,16,3
18 Puerto Plata,2015,4,17,1
18 Puerto Plata,2015,5,18,1
18 Puerto Plata,2015,5,19,2
18 Puerto Plata,2015,5,20,1
18 Puerto Plata,2015,5,21,3
18 Puerto Plata,2015,6,22,3
18 Puerto Plata,2015,6,23,3
18 Puerto Plata,2015,6,24,3
18 Puerto Plata,2015,6,25,1
18 Puerto Plata,2015,7,26,2
18 Puerto Plata,2015,7,27,5
18 Puerto Plata,2015,7,28,4
18 Puerto Plata,2015,7,29,9
18 Puerto Plata,2015,8,30,10
18 Puerto Plata,2015,8,31,7
18 Puerto Plata,2015,8,32,10
18 Puerto Plata,2015,8,33,7
18 Puerto Plata,2015,8,34,4
18 Puerto Plata,2015,9,35,8
18 Puerto Plata,2015,9,36,15
18 Puerto Plata,2015,9,37,14
18 Puerto Plata,2015,9,38,15
18 Puerto Plata,2015,10,39,12
18 Puerto Plata,2015,10,40,18
18 Puerto Plata,2015,10,41,21
18 Puerto Plata,2015,10,42,29
18 Puerto Plata,2015,10,43,28
18 Puerto Plata,2015,11,44,14
18 Puerto Plata,2015,11,45,23
18 Puerto Plata,2015,11,46,22
18 Puerto Plata,2015,11,47,17
18 Puerto Plata,2015,12,48,18
18 Puerto Plata,2015,12,49,14
18 Puerto Plata,2015,12,50,6
18 Puerto Plata,2015,12,51,8
18 Puerto Plata,2015,12,52,17
18 Puerto Plata,2016,1,1,16
18 Puerto Plata,2016,1,2,16
18 Puerto Plata,2016,1,3,9
18 Puerto Plata,2016,1,4,11
18 Puerto Plata,2016,2,5,12
18 Puerto Plata,2016,2,6,11
18 Puerto Plata,2016,2,7,19
18 Puerto Plata,2016,2,8,11
18 Puerto Plata,2016,3,9,11
18 Puerto Plata,2016,3,10,14
18 Puerto Plata,2016,3,11,4
18 Puerto Plata,2016,3,12,14
18 Puerto Plata,2016,4,13,5
18 Puerto Plata,2016,4,14,6
18 Puerto Plata,2016,4,15,7
18 Puerto Plata,2016,4,16,8
18 Puerto Plata,2016,4,17,6
18 Puerto Plata,2016,5,18,6
18 Puerto Plata,2016,5,19,4
18 Puerto Plata,2016,5,20,10
18 Puerto Plata,2016,5,21,9
18 Puerto Plata,2016,5,22,2
18 Puerto Plata,2016,6,23,5
18 Puerto Plata,2016,6,24,3
18 Puerto Plata,2016,6,25,3
18 Puerto Plata,2016,6,26,0
18 Puerto Plata,2016,7,27,2
18 Puerto Plata,2016,7,28,1
18 Puerto Plata,2016,7,29,0
18 Puerto Plata,2016,7,30,0
18 Puerto Plata,2016,8,31,2
18 Puerto Plata,2016,8,32,2
18 Puerto Plata,2016,8,33,1
18 Puerto Plata,2016,8,34,0
18 Puerto Plata,2016,9,35,3
18 Puerto Plata,2016,9,36,2
18 Puerto Plata,2016,9,37,3
18 Puerto Plata,2016,9,38,3
18 Puerto Plata,2016,9,39,2
18 Puerto Plata,2016,10,40,2
18 Puerto Plata,2016,10,41,0
18 Puerto Plata,2016,10,42,2
