province,year,month,week,total_cases
19 Hermanas Mirabal,2015,1,1,1
19 Hermanas Mirabal,2015,1,2,1
19 Hermanas Mirabal,2015,1,3,1
19 Hermanas Mirabal,2015,1,4,5
19 Hermanas Mirabal,2015,2,5,7
19 Hermanas Mirabal,2015,2,6,2
19 Hermanas Mirabal,2015,2,7,2
19 Hermanas Mirabal,2015,2,8,1
19 Hermanas Mirabal,2015,3,9,3
19 Hermanas Mirabal,2015,3,10,2
19 Hermanas Mirabal,2015,3,11,2
19 Hermanas Mirabal,2015,3,12,9
19 Hermanas Mirabal,2015,4,13,3
19 Hermanas Mirabal,2015,4,14,7
19 Hermanas Mirabal,2015,4,15,3
19 Hermanas Mirabal,2015,4,16,3
19 Hermanas Mirabal,2015,5,17,4
19 Hermanas Mirabal,2015,5,18,3
19 Hermanas Mirabal,2015,5,19,2
19 Hermanas Mirabal,2015,5,20,3
19 Hermanas Mirabal,2015,5,21,3
19 Hermanas Mirabal,2015,6,22,4
19 Hermanas Mirabal,2015,6,23,3
19 Hermanas Mirabal,2015,6,24,6
19 Hermanas Mirabal,2015,6,25,4
19 Hermanas Mirabal,2015,7,26,4
19 Hermanas Mirabal,2015,7,27,6
19 Hermanas Mirabal,2015,7,28,7
19 Hermanas Mirabal,2015,7,29,7
19 Hermanas Mirabal,2015,8,30,4
19 Hermanas Mirabal,2015,8,31,7
19 Hermanas Mirabal,2015,8,32,7
19 Hermanas Mirabal,2015,8,33,10
19 Hermanas Mirabal,2015,8,34,8
19 Hermanas Mirabal,2015,9,35,6
19 Hermanas Mirabal,2015,9,36,10
19 Hermanas Mirabal,2015,9,37,11
19 Hermanas Mirabal,2015,9,38,12
19 Hermanas Mirabal,2015,10,39,16
19 Hermanas Mirabal,2015,10,40,23
19 Hermanas Mirabal,2015,10,41,16
19 Hermanas Mirabal,2015,10,42,10
19 Hermanas Mirabal,2015,10,43,31
19 Hermanas Mirabal,2015,11,44,11
19 Hermanas Mirabal,2015,11,45,11
19 Hermanas Mirabal,2015,11,46,6
19 Hermanas Mirabal,2015,11,47,10
19 Hermanas Mirabal,2015,12,48,13
19 Hermanas Mirabal,2015,12,49,8
19 Hermanas Mirabal,2015,12,50,5
19 Hermanas Mirabal,2015,12,51,4
19 Hermanas Mirabal,2015,12,52,11
19 Hermanas Mirabal,2016,1,1,13
19 Hermanas Mirabal,2016,1,2,9
19 Hermanas Mirabal,2016,1,3,9
19 Hermanas Mirabal,2016,1,4,5
19 Hermanas Mirabal,2016,2,5,10
19 Hermanas Mirabal,2016,2,6,4
19 Hermanas Mirabal,2016,2,7,7
19 Hermanas Mirabal,2016,2,8,3
19 Hermanas Mirabal,2016,3,9,5
19 Hermanas Mirabal,2016,3,10,2
19 Hermanas Mirabal,2016,3,11,2
19 Hermanas Mirabal,2016,3,12,2
19 Hermanas Mirabal,2016,3,13,4
19 Hermanas Mirabal,2016,4,14,1
19 Hermanas Mirabal,2016,4,15,3
19 Hermanas Mirabal,2016,4,16,2
19 Hermanas Mirabal,2016,4,17,0
19 Hermanas Mirabal,2016,5,18,5
19 Hermanas Mirabal,2016,5,19,3
19 Hermanas Mirabal,2016,5,20,2
19 Hermanas Mirabal,2016,5,21,6
19 Hermanas Mirabal,2016,6,22,1
19 Hermanas Mirabal,2016,6,23,2
19 Hermanas Mirabal,2016,6,24,2
19 Hermanas Mirabal,2016,6,25,4
19 Hermanas Mirabal,2016,7,26,2
19 Hermanas Mirabal,2016,7,27,1
19 Hermanas Mirabal,2016,7,28,1
19 Hermanas Mirabal,2016,7,29,2
19 Hermanas Mirabal,2016,7,30,5
19 Hermanas Mirabal,2016,8,31,4
19 Hermanas Mirabal,2016,8,32,1
19 Hermanas Mirabal,2016,8,33,1
19 Hermanas Mirabal,2016,8,34,2
19 Hermanas Mirabal,2016,9,35,1
19 Hermanas Mirabal,2016,9,36,2
19 Hermanas Mirabal,2016,9,37,4
19 Hermanas Mirabal,2016,9,38,0
19 Hermanas Mirabal,2016,9,39,3
19 Hermanas Mirabal,2016,10,40,2
19 Hermanas Mirabal,2016,10,41,0
19 Hermanas Mirabal,2016,10,42,1
19 Hermanas Mirabal,2016,10,43,0
19 Hermanas Mirabal,2016,10,44,0
19 Hermanas Mirabal,2016,11,45,1
19 Hermanas Mirabal,2016,11,46,1
19 Hermanas Mirabal,2016,11,47,4
19 Hermanas Mirabal,2016,11,48,0
19 Hermanas Mirabal,2016,12,49,2
19 Hermanas Mirabal,2016,12,50,3
19 Hermanas Mirabal,2016,12,51,2
19 Hermanas Mirabal,2016,12,52,2
19 Hermanas Mirabal,2017,12,1,0
19 Hermanas Mirabal,2017,12,2,0
19 Hermanas Mirabal,2017,1,3,1
19 Hermanas Mirabal,2017,1,4,0
19 Hermanas Mirabal,2017,2,5,1
19 Hermanas Mirabal,2017,2,6,0
19 Hermanas Mirabal,2017,2,7,0
19 Hermanas Mirabal,2017,2,8,0
19 Hermanas Mirabal,2017,2,9,1
19 Hermanas Mirabal,2017,2,10,0
19 Hermanas Mirabal,2017,3,11,1
19 Hermanas Mirabal,2017,3,12,0
19 Hermanas Mirabal,2017,3,13,1
19 Hermanas Mirabal,2017,4,14,1
19 Hermanas Mirabal,2017,4,15,1
19 Hermanas Mirabal,2017,4,16,0
19 Hermanas Mirabal,2017,4,17,1
19 Hermanas Mirabal,2017,5,18,1
19 Hermanas Mirabal,2017,5,19,2
19 Hermanas Mirabal,2017,5,20,0
19 Hermanas Mirabal,2017,5,21,1
19 Hermanas Mirabal,2017,6,22,2
19 Hermanas Mirabal,2017,6,23,0
19 Hermanas Mirabal,2017,6,24,1
19 Hermanas Mirabal,2017,6,25,0
19 Hermanas Mirabal,2017,6,26,0
19 Hermanas Mirabal,2017,6,27,0
19 Hermanas Mirabal,2017,6,28,0
19 Hermanas Mirabal,2017,6,29,0
19 Hermanas Mirabal,2017,7,30,1
19 Hermanas Mirabal,2017,7,31,0
19 Hermanas Mirabal,2017,8,32,1
19 Hermanas Mirabal,2017,8,33,0
19 Hermanas Mirabal,2017,8,34,0
19 Hermanas Mirabal,2017,8,35,0
19 Hermanas Mirabal,2017,9,36,1
19 Hermanas Mirabal,2017,9,37,3
19 Hermanas Mirabal,2017,9,38,0
19 Hermanas Mirabal,2017,9,39,1
19 Hermanas Mirabal,2017,10,40,3
19 Hermanas Mirabal,2017,10,41,0
19 Hermanas Mirabal,2017,10,42,1
19 Hermanas Mirabal,2017,10,43,0
19 Hermanas Mirabal,2017,10,44,0
19 Hermanas Mirabal,2017,10,45,0
19 Hermanas Mirabal,2017,11,46,4
19 Hermanas Mirabal,2017,11,47,2
19 Hermanas Mirabal,2017,11,48,3
19 Hermanas Mirabal,2017,11,49,0
19 Hermanas Mirabal,2017,11,50,0
19 Hermanas Mirabal,2017,11,51,0
19 Hermanas Mirabal,2017,11,52,0
19 Hermanas Mirabal,2018,12,1,3
19 Hermanas Mirabal,2018,12,2,0
19 Hermanas Mirabal,2018,12,3,0
19 Hermanas Mirabal,2018,1,4,1
19 Hermanas Mirabal,2018,1,5,1
19 Hermanas Mirabal,2018,1,6,0
19 Hermanas Mirabal,2018,2,7,3
19 Hermanas Mirabal,2018,2,8,0
19 Hermanas Mirabal,2018,2,9,0
19 Hermanas Mirabal,2018,2,10,0
19 Hermanas Mirabal,2018,3,11,1
19 Hermanas Mirabal,2018,3,12,0
19 Hermanas Mirabal,2018,3,13,0
19 Hermanas Mirabal,2018,3,14,0
19 Hermanas Mirabal,2018,3,15,0
