province,year,month,week,total_cases
20 Samaná,2015,1,1,2
20 Samaná,2015,1,2,0
20 Samaná,2015,1,3,0
20 Samaná,2015,1,4,0
20 Samaná,2015,2,5,1
20 Samaná,2015,2,6,0
20 Samaná,2015,2,7,2
20 Samaná,2015,2,8,0
20 Samaná,2015,2,9,0
20 Samaná,2015,2,10,0
20 Samaná,2015,2,11,0
20 Samaná,2015,2,12,0
20 Samaná,2015,2,13,0
20 Samaná,2015,2,14,0
20 Samaná,2015,2,15,0
20 Samaná,2015,2,16,0
20 Samaná,2015,5,17,1
20 Samaná,2015,5,18,1
20 Samaná,2015,5,19,1
20 Samaná,2015,5,20,1
20 Samaná,2015,5,21,0
20 Samaná,2015,6,22,2
20 Samaná,2015,6,23,6
20 Samaná,2015,6,24,2
20 Samaná,2015,6,25,1
20 Samaná,2015,7,26,1
20 Samaná,2015,7,27,0
20 Samaná,2015,7,28,0
20 Samaná,2015,7,29,1
20 Samaná,2015,7,30,3
20 Samaná,2015,8,31,8
20 Samaná,2015,8,32,4
20 Samaná,2015,8,33,4
20 Samaná,2015,8,34,3
20 Samaná,2015,9,35,8
20 Samaná,2015,9,36,4
20 Samaná,2015,9,37,4
20 Samaná,2015,9,38,9
20 Samaná,2015,10,39,10
20 Samaná,2015,10,40,11
20 Samaná,2015,10,41,9
20 Samaná,2015,10,42,11
20 Samaná,2015,10,43,8
20 Samaná,2015,11,44,8
20 Samaná,2015,11,45,8
20 Samaná,2015,11,46,4
20 Samaná,2015,11,47,3
20 Samaná,2015,12,48,2
20 Samaná,2015,12,49,3
20 Samaná,2015,12,50,2
20 Samaná,2015,12,51,1
20 Samaná,2015,1,52,3
20 Samaná,2016,1,1,1
20 Samaná,2016,1,2,4
20 Samaná,2016,1,3,6
20 Samaná,2016,1,4,5
20 Samaná,2016,2,5,5
20 Samaná,2016,2,6,1
20 Samaná,2016,2,7,1
20 Samaná,2016,2,8,0
20 Samaná,2016,2,9,1
20 Samaná,2016,2,10,0
20 Samaná,2016,2,11,0
20 Samaná,2016,2,12,0
20 Samaná,2016,4,13,4
20 Samaná,2016,4,14,0
20 Samaná,2016,4,15,0
20 Samaná,2016,4,16,0
20 Samaná,2016,4,17,2
20 Samaná,2016,5,18,1
20 Samaná,2016,5,19,2
20 Samaná,2016,5,20,1
20 Samaná,2016,5,21,0
20 Samaná,2016,5,22,0
20 Samaná,2016,6,23,1
20 Samaná,2016,6,24,0
20 Samaná,2016,6,25,1
20 Samaná,2016,6,26,0
20 Samaná,2016,6,27,0
20 Samaná,2016,7,28,1
20 Samaná,2016,7,29,1
20 Samaná,2016,7,30,1
20 Samaná,2016,7,31,0
20 Samaná,2016,7,32,0
20 Samaná,2016,7,33,0
20 Samaná,2016,7,34,0
20 Samaná,2016,7,35,0
20 Samaná,2016,7,36,0
20 Samaná,2016,7,37,0
20 Samaná,2016,7,38,0
20 Samaná,2016,7,39,0
20 Samaná,2016,10,40,1
20 Samaná,2016,10,41,0
20 Samaná,2016,10,42,0
20 Samaná,2016,10,43,0
20 Samaná,2016,10,44,0
20 Samaná,2016,10,45,0
20 Samaná,2016,10,46,0
20 Samaná,2016,10,47,0
20 Samaná,2016,10,48,0
20 Samaná,2016,12,49,1
20 Samaná,2016,12,50,0
20 Samaná,2016,12,51,0
20 Samaná,2016,12,52,0
20 Samaná,2017,12,1,0
20 Samaná,2017,12,2,0
20 Samaná,2017,12,3,0
20 Samaná,2017,12,4,0
20 Samaná,2017,12,5,0
20 Samaná,2017,2,6,1
20 Samaná,2017,2,7,0
20 Samaná,2017,2,8,0
20 Samaná,2017,2,9,0
20 Samaná,2017,3,10,1
20 Samaná,2017,3,11,0
20 Samaná,2017,3,12,0
20 Samaná,2017,3,13,0
20 Samaná,2017,3,14,0
20 Samaná,2017,3,15,0
20 Samaná,2017,3,16,0
20 Samaná,2017,3,17,0
20 Samaná,2017,3,18,0
20 Samaná,2017,5,19,1
20 Samaná,2017,5,20,1
20 Samaná,2017,5,21,3
20 Samaná,2017,5,22,1
20 Samaná,2017,5,23,0
20 Samaná,2017,6,24,2
20 Samaná,2017,6,25,1
20 Samaná,2017,6,26,0
20 Samaná,2017,6,27,0
20 Samaná,2017,7,28,1
20 Samaná,2017,7,29,0
20 Samaná,2017,7,30,3
20 Samaná,2017,7,31,0
20 Samaná,2017,7,32,0
20 Samaná,2017,7,33,0
20 Samaná,2017,7,34,0
20 Samaná,2017,7,35,0
20 Samaná,2017,9,36,7
20 Samaná,2017,9,37,2
20 Samaná,2017,9,38,1
20 Samaná,2017,9,39,0
20 Samaná,2017,9,40,0
20 Samaná,2017,9,41,0
20 Samaná,2017,9,42,0
20 Samaná,2017,9,43,0
20 Samaná,2017,9,44,0
20 Samaná,2017,9,45,0
20 Samaná,2017,9,46,0
20 Samaná,2017,9,47,0
20 Samaná,2017,9,48,0
20 Samaná,2017,9,49,0
20 Samaná,2017,9,50,0
20 Samaná,2017,12,51,2
20 Samaná,2017,12,52,0
20 Samaná,2018,1,1,1
20 Samaná,2018,1,2,0
20 Samaná,2018,1,3,0
20 Samaná,2018,1,4,0
20 Samaná,2018,1,5,0
20 Samaná,2018,1,6,0
20 Samaná,2018,1,7,0
20 Samaná,2018,1,8,0
20 Samaná,2018,3,9,1
20 Samaná,2018,3,10,3
20 Samaná,2018,3,11,0
20 Samaná,2018,3,12,3
20 Samaná,2018,3,13,1
20 Samaná,2018,3,14,0
20 Samaná,2018,3,15,0
20 Samaná,2018,3,16,0
20 Samaná,2018,3,17,0
20 Samaná,2018,3,18,0
20 Samaná,2018,3,19,0
20 Samaná,2018,3,20,0
20 Samaná,2018,5,21,2
20 Samaná,2018,5,22,0
20 Samaná,2018,6,23,1
20 Samaná,2018,6,24,0
20 Samaná,2018,6,25,1
20 Samaná,2018,6,26,0
20 Samaná,2018,6,27,0
20 Samaná,2018,6,28,0
20 Samaná,2018,6,29,0
20 Samaná,2018,6,30,0
20 Samaná,2018,7,31,1
20 Samaná,2018,7,32,0
20 Samaná,2018,7,33,0
20 Samaná,2018,7,34,0
20 Samaná,2018,7,35,0
20 Samaná,2018,9,36,1
20 Samaná,2018,9,37,0
20 Samaná,2018,9,38,0
20 Samaná,2018,9,39,0
20 Samaná,2018,9,40,0
20 Samaná,2018,9,41,0
20 Samaná,2018,9,42,0
20 Samaná,2018,10,43,1
20 Samaná,2018,11,44,2
20 Samaná,2018,11,45,1
20 Samaná,2018,11,46,0
20 Samaná,2018,11,47,1
20 Samaná,2018,11,48,1
20 Samaná,2018,11,49,0
20 Samaná,2018,11,50,0
20 Samaná,2018,11,51,0
20 Samaná,2018,12,52,1
20 Samaná,2019,12,1,1
20 Samaná,2019,12,2,0
20 Samaná,2019,1,3,1
20 Samaná,2019,1,4,1
20 Samaná,2019,1,5,1
20 Samaná,2019,1,6,0
20 Samaná,2019,1,7,0
20 Samaná,2019,1,8,0
20 Samaná,2019,1,9,0
20 Samaná,2019,1,10,0
20 Samaná,2019,1,11,0
20 Samaná,2019,3,12,1
20 Samaná,2019,3,13,1
20 Samaná,2019,3,14,0
20 Samaná,2019,4,15,2
20 Samaná,2019,4,16,0
20 Samaná,2019,4,17,0
20 Samaná,2019,5,18,2
20 Samaná,2019,5,19,1
20 Samaná,2019,5,20,1
20 Samaná,2019,5,21,1
20 Samaná,2019,5,22,1
20 Samaná,2019,5,23,0
20 Samaná,2019,6,24,2
20 Samaná,2019,6,25,0
20 Samaná,2019,6,26,0
20 Samaná,2019,7,27,1
20 Samaná,2019,7,28,2
20 Samaná,2019,7,29,1
20 Samaná,2019,7,30,3
20 Samaná,2019,8,31,3
20 Samaná,2019,8,32,0
20 Samaná,2019,8,33,2
20 Samaná,2019,8,34,5
20 Samaná,2019,8,35,5
20 Samaná,2019,9,36,5
20 Samaná,2019,9,37,1
20 Samaná,2019,9,38,5
20 Samaná,2019,9,39,1
20 Samaná,2019,10,40,4
20 Samaná,2019,10,41,6
20 Samaná,2019,10,42,5
20 Samaná,2019,10,43,1
20 Samaná,2019,10,44,1
20 Samaná,2019,11,45,2
20 Samaná,2019,11,46,2
20 Samaná,2019,11,47,3
20 Samaná,2019,11,48,4
20 Samaná,2019,11,49,0
20 Samaná,2019,11,50,0
20 Samaná,2019,12,51,2
20 Samaná,2019,12,52,1
20 Samaná,2020,12,1,0
20 Samaná,2020,1,2,3
20 Samaná,2020,1,3,6
20 Samaná,2020,1,4,5
20 Samaná,2020,1,5,4
20 Samaná,2020,2,6,4
20 Samaná,2020,2,7,7
20 Samaná,2020,2,8,6
20 Samaná,2020,2,9,1
20 Samaná,2020,3,10,3
20 Samaná,2020,3,11,0
20 Samaná,2020,3,12,1
20 Samaná,2020,3,13,0
20 Samaná,2020,4,14,2
20 Samaná,2020,4,15,1
20 Samaná,2020,4,16,0
20 Samaná,2020,4,17,1
20 Samaná,2020,4,18,0
20 Samaná,2020,4,19,0
20 Samaná,2020,4,20,0
20 Samaná,2020,4,21,0
20 Samaná,2020,4,22,0
20 Samaná,2020,4,23,0
20 Samaná,2020,4,24,0
20 Samaná,2020,4,25,0
20 Samaná,2020,4,26,0
20 Samaná,2020,4,27,0
20 Samaná,2020,4,28,0
20 Samaná,2020,4,29,0
20 Samaná,2020,4,30,0
20 Samaná,2020,4,31,0
20 Samaná,2020,4,32,0
20 Samaná,2020,4,33,0
20 Samaná,2020,4,34,0
20 Samaná,2020,4,35,0
20 Samaná,2020,4,36,0
20 Samaná,2020,4,37,0
20 Samaná,2020,9,38,2
20 Samaná,2020,9,39,0
20 Samaná,2020,9,40,1
20 Samaná,2020,10,41,2
20 Samaná,2020,10,42,0
20 Samaná,2020,10,43,1
20 Samaná,2020,10,44,0
20 Samaná,2020,11,45,1
20 Samaná,2020,11,46,1
20 Samaná,2020,11,47,0
20 Samaná,2020,11,48,0
20 Samaná,2020,11,49,0
20 Samaná,2020,11,50,0
20 Samaná,2020,11,51,0
20 Samaná,2020,11,52,0
20 Samaná,2021,11,1,0
20 Samaná,2021,11,2,0
20 Samaná,2021,11,3,0
20 Samaná,2021,11,4,0
20 Samaná,2021,11,5,0
20 Samaná,2021,11,6,0
20 Samaná,2021,11,7,0
20 Samaná,2021,11,8,0
20 Samaná,2021,3,9,1
20 Samaná,2021,3,10,0
20 Samaná,2021,3,11,0
20 Samaná,2021,3,12,0
20 Samaná,2021,3,13,0
20 Samaná,2021,3,14,0
20 Samaná,2021,3,15,0
20 Samaná,2021,3,16,0
20 Samaná,2021,3,17,0
20 Samaná,2021,3,18,0
20 Samaná,2021,3,19,0
20 Samaná,2021,3,20,0
20 Samaná,2021,3,21,0
20 Samaná,2021,3,22,0
20 Samaná,2021,3,23,0
20 Samaná,2021,3,24,0
20 Samaná,2021,3,25,0
20 Samaná,2021,3,26,0
20 Samaná,2021,3,27,0
20 Samaná,2021,3,28,0
20 Samaná,2021,3,29,0
20 Samaná,2021,3,30,0
20 Samaná,2021,3,31,0
20 Samaná,2021,3,32,0
20 Samaná,2021,3,33,0
20 Samaná,2021,8,34,1
20 Samaná,2021,8,35,0
20 Samaná,2021,9,36,2
20 Samaná,2021,9,37,0
20 Samaná,2021,9,38,1
20 Samaná,2021,9,39,1
20 Samaná,2021,10,40,1
20 Samaná,2021,10,41,0
20 Samaná,2021,10,42,0
20 Samaná,2021,10,43,2
20 Samaná,2021,10,44,0
20 Samaná,2021,10,45,0
20 Samaná,2021,11,46,1
20 Samaná,2021,11,47,2
20 Samaná,2021,12,48,2
20 Samaná,2021,12,49,0
20 Samaná,2021,12,50,0
20 Samaná,2021,12,51,0
20 Samaná,2021,12,52,2
20 Samaná,2022,12,1,0
20 Samaná,2022,12,2,0
20 Samaná,2022,12,3,0
20 Samaná,2022,12,4,0
20 Samaná,2022,2,5,1
20 Samaná,2022,2,6,1
20 Samaná,2022,2,7,0
20 Samaná,2022,2,8,2
20 Samaná,2022,3,9,2
20 Samaná,2022,3,10,5
20 Samaná,2022,3,11,1
20 Samaná,2022,3,12,1
20 Samaná,2022,4,13,3
20 Samaná,2022,4,14,7
20 Samaná,2022,4,15,2
20 Samaná,2022,4,16,1
20 Samaná,2022,4,17,1
20 Samaná,2022,5,18,1
20 Samaná,2022,5,19,2
20 Samaná,2022,5,20,2
20 Samaná,2022,5,21,1
20 Samaná,2022,6,22,2
20 Samaná,2022,6,23,0
20 Samaná,2022,6,24,5
20 Samaná,2022,6,25,1
20 Samaná,2022,7,26,2
20 Samaná,2022,7,27,1
20 Samaná,2022,7,28,5
20 Samaná,2022,7,29,8
20 Samaná,2022,7,30,1
20 Samaná,2022,8,31,3
20 Samaná,2022,8,32,5
20 Samaná,2022,8,33,5
20 Samaná,2022,8,34,1
20 Samaná,2022,9,35,5
20 Samaná,2022,9,36,2
20 Samaná,2022,9,37,6
20 Samaná,2022,9,38,7
20 Samaná,2022,9,39,12
20 Samaná,2022,10,40,4
20 Samaná,2022,10,41,5
20 Samaná,2022,10,42,11
20 Samaná,2022,10,43,5
20 Samaná,2022,11,44,11
20 Samaná,2022,11,45,7
20 Samaná,2022,11,46,13
20 Samaná,2022,11,47,7
20 Samaná,2022,12,48,3
20 Samaná,2022,12,49,3
20 Samaná,2022,12,50,3
20 Samaná,2022,12,51,2
20 Samaná,2022,12,52,1
20 Samaná,2023,1,1,2
20 Samaná,2023,1,2,3
20 Samaná,2023,1,3,2
20 Samaná,2023,1,4,1
20 Samaná,2023,1,5,0
20 Samaná,2023,1,6,0
20 Samaná,2023,1,7,0
20 Samaná,2023,1,8,0
20 Samaná,2023,1,9,0
20 Samaná,2023,1,10,0
20 Samaná,2023,3,11,1
20 Samaná,2023,3,12,1
20 Samaná,2023,3,13,0
20 Samaná,2023,3,14,0
20 Samaná,2023,3,15,0
20 Samaná,2023,4,16,2
20 Samaná,2023,4,17,0
20 Samaná,2023,4,18,0
20 Samaná,2023,5,19,1
20 Samaná,2023,5,20,0
20 Samaná,2023,5,21,0
20 Samaná,2023,5,22,0
20 Samaná,2023,5,23,0
20 Samaná,2023,5,24,0
20 Samaná,2023,6,25,1
20 Samaná,2023,6,26,1
20 Samaná,2023,6,27,0
20 Samaná,2023,7,28,2
20 Samaná,2023,7,29,1
20 Samaná,2023,7,30,0
20 Samaná,2023,8,31,2
20 Samaná,2023,8,32,1
20 Samaná,2023,8,33,5
20 Samaná,2023,8,34,4
20 Samaná,2023,9,35,8
20 Samaná,2023,9,36,23
20 Samaná,2023,9,37,7
20 Samaná,2023,9,38,1
20 Samaná,2023,9,39,0
20 Samaná,2023,9,40,0
20 Samaná,2023,9,41,0
20 Samaná,2023,9,42,0
20 Samaná,2023,9,43,0
20 Samaná,2023,9,44,0
20 Samaná,2023,9,45,0
20 Samaná,2023,9,46,0
20 Samaná,2023,9,47,0
20 Samaná,2023,9,48,0
20 Samaná,2023,9,49,0
20 Samaná,2023,9,50,0
20 Samaná,2023,9,51,0
20 Samaná,2023,9,52,0
