province,year,month,week,total_cases
21 San Cristóbal,2015,1,1,9
21 San Cristóbal,2015,1,2,6
21 San Cristóbal,2015,1,3,3
21 San Cristóbal,2015,1,4,2
21 San Cristóbal,2015,2,5,9
21 San Cristóbal,2015,2,6,4
21 San Cristóbal,2015,2,7,4
21 San Cristóbal,2015,2,8,4
21 San Cristóbal,2015,3,9,9
21 San Cristóbal,2015,3,10,8
21 San Cristóbal,2015,3,11,5
21 San Cristóbal,2015,3,12,4
21 San Cristóbal,2015,4,13,1
21 San Cristóbal,2015,4,14,2
21 San Cristóbal,2015,4,15,4
21 San Cristóbal,2015,4,16,2
21 San Cristóbal,2015,5,17,4
21 San Cristóbal,2015,5,18,7
21 San Cristóbal,2015,5,19,12
21 San Cristóbal,2015,5,20,9
21 San Cristóbal,2015,5,21,3
21 San Cristóbal,2015,6,22,10
21 San Cristóbal,2015,6,23,10
21 San Cristóbal,2015,6,24,11
21 San Cristóbal,2015,6,25,5
21 San Cristóbal,2015,7,26,7
21 San Cristóbal,2015,7,27,11
21 San Cristóbal,2015,7,28,15
21 San Cristóbal,2015,7,29,15
21 San Cristóbal,2015,7,30,10
21 San Cristóbal,2015,8,31,19
21 San Cristóbal,2015,8,32,26
21 San Cristóbal,2015,8,33,21
21 San Cristóbal,2015,8,34,15
21 San Cristóbal,2015,9,35,20
21 San Cristóbal,2015,9,36,22
21 San Cristóbal,2015,9,37,21
21 San Cristóbal,2015,9,38,35
21 San Cristóbal,2015,10,39,37
21 San Cristóbal,2015,10,40,41
21 San Cristóbal,2015,10,41,45
21 San Cristóbal,2015,10,42,49
21 San Cristóbal,2015,10,43,55
21 San Cristóbal,2015,11,44,42
21 San Cristóbal,2015,11,45,26
21 San Cristóbal,2015,11,46,30
21 San Cristóbal,2015,11,47,27
21 San Cristóbal,2015,12,48,27
21 San Cristóbal,2015,12,49,30
21 San Cristóbal,2015,12,50,14
21 San Cristóbal,2015,12,51,22
21 San Cristóbal,2015,12,52,18
21 San Cristóbal,2016,1,1,22
21 San Cristóbal,2016,1,2,19
21 San Cristóbal,2016,1,3,19
21 San Cristóbal,2016,1,4,13
21 San Cristóbal,2016,2,5,11
