province,year,month,week,total_cases
22 San Juan,2015,0,1,0
22 San Juan,2015,0,2,0
22 San Juan,2015,0,3,0
22 San Juan,2015,1,4,1
22 San Juan,2015,1,5,0
22 San Juan,2015,1,6,0
22 San Juan,2015,2,7,1
22 San Juan,2015,2,8,3
22 San Juan,2015,2,9,0
22 San Juan,2015,2,10,0
22 San Juan,2015,3,11,2
22 San Juan,2015,3,12,3
22 San Juan,2015,3,13,0
22 San Juan,2015,3,14,0
22 San Juan,2015,4,15,1
22 San Juan,2015,4,16,3
22 San Juan,2015,4,17,1
22 San Juan,2015,5,18,2
22 San Juan,2015,5,19,2
22 San Juan,2015,5,20,1
22 San Juan,2015,5,21,1
22 San Juan,2015,6,22,1
22 San Juan,2015,6,23,2
22 San Juan,2015,6,24,2
22 San Juan,2015,6,25,3
22 San Juan,2015,7,26,2
22 San Juan,2015,7,27,1
22 San Juan,2015,7,28,1
22 San Juan,2015,7,29,2
22 San Juan,2015,7,30,5
22 San Juan,2015,8,31,2
22 San Juan,2015,8,32,1
22 San Juan,2015,8,33,1
22 San Juan,2015,8,34,7
22 San Juan,2015,9,35,8
22 San Juan,2015,9,36,12
22 San Juan,2015,9,37,13
22 San Juan,2015,9,38,22
22 San Juan,2015,10,39,31
22 San Juan,2015,10,40,18
22 San Juan,2015,10,41,16
22 San Juan,2015,10,42,33
22 San Juan,2015,10,43,38
22 San Juan,2015,11,44,30
22 San Juan,2015,11,45,30
22 San Juan,2015,11,46,27
22 San Juan,2015,11,47,21
22 San Juan,2015,12,48,11
22 San Juan,2015,12,49,16
22 San Juan,2015,12,50,9
22 San Juan,2015,12,51,9
22 San Juan,2015,12,52,10
22 San Juan,2016,1,1,8
22 San Juan,2016,1,2,11
22 San Juan,2016,1,3,8
22 San Juan,2016,1,4,8
22 San Juan,2016,2,5,10
22 San Juan,2016,2,6,6
22 San Juan,2016,2,7,6
22 San Juan,2016,2,8,9
22 San Juan,2016,3,9,4
22 San Juan,2016,3,10,4
22 San Juan,2016,3,11,6
22 San Juan,2016,3,12,1
22 San Juan,2016,4,13,2
22 San Juan,2016,4,14,0
22 San Juan,2016,4,15,4
22 San Juan,2016,4,16,4
22 San Juan,2016,4,17,2
22 San Juan,2016,5,18,4
22 San Juan,2016,5,19,1
22 San Juan,2016,5,20,2
22 San Juan,2016,5,21,3
22 San Juan,2016,6,22,3
22 San Juan,2016,6,23,3
22 San Juan,2016,6,24,7
22 San Juan,2016,6,25,5
22 San Juan,2016,7,26,4
22 San Juan,2016,7,27,1
22 San Juan,2016,7,28,1
22 San Juan,2016,7,29,2
22 San Juan,2016,7,30,3
22 San Juan,2016,8,31,1
22 San Juan,2016,8,32,0
22 San Juan,2016,8,33,1
22 San Juan,2016,8,34,1
22 San Juan,2016,9,35,1
22 San Juan,2016,9,36,2
22 San Juan,2016,9,37,0
22 San Juan,2016,9,38,1
22 San Juan,2016,9,39,0
22 San Juan,2016,10,40,1
22 San Juan,2016,10,41,1
22 San Juan,2016,10,42,0
22 San Juan,2016,10,43,2
22 San Juan,2016,10,44,0
22 San Juan,2016,11,45,1
22 San Juan,2016,11,46,1
22 San Juan,2016,11,47,1
22 San Juan,2016,11,48,1
22 San Juan,2016,11,49,0
22 San Juan,2016,11,50,0
22 San Juan,2016,11,51,0
22 San Juan,2016,11,52,0
22 San Juan,2017,11,1,0
22 San Juan,2017,11,2,0
22 San Juan,2017,1,3,2
22 San Juan,2017,1,4,0
22 San Juan,2017,1,5,0
22 San Juan,2017,1,6,0
22 San Juan,2017,2,7,2
22 San Juan,2017,2,8,0
22 San Juan,2017,2,9,0
22 San Juan,2017,2,10,0
22 San Juan,2017,2,11,0
22 San Juan,2017,3,12,1
22 San Juan,2017,3,13,0
22 San Juan,2017,3,14,0
22 San Juan,2017,3,15,0
22 San Juan,2017,3,16,0
22 San Juan,2017,3,17,0
22 San Juan,2017,3,18,0
22 San Juan,2017,3,19,0
22 San Juan,2017,5,20,1
22 San Juan,2017,5,21,1
22 San Juan,2017,6,22,1
22 San Juan,2017,6,23,0
22 San Juan,2017,6,24,0
22 San Juan,2017,6,25,0
22 San Juan,2017,6,26,0
22 San Juan,2017,6,27,0
22 San Juan,2017,6,28,0
22 San Juan,2017,6,29,0
22 San Juan,2017,6,30,0
22 San Juan,2017,6,31,0
22 San Juan,2017,6,32,0
22 San Juan,2017,8,33,1
22 San Juan,2017,8,34,0
22 San Juan,2017,9,35,1
22 San Juan,2017,9,36,0
22 San Juan,2017,9,37,0
22 San Juan,2017,9,38,0
22 San Juan,2017,9,39,0
22 San Juan,2017,10,40,2
22 San Juan,2017,10,41,0
22 San Juan,2017,10,42,3
22 San Juan,2017,10,43,0
22 San Juan,2017,11,44,2
22 San Juan,2017,11,45,1
22 San Juan,2017,11,46,1
22 San Juan,2017,11,47,2
22 San Juan,2017,12,48,1
22 San Juan,2017,12,49,2
22 San Juan,2017,12,50,0
22 San Juan,2017,12,51,2
22 San Juan,2017,12,52,0
22 San Juan,2018,1,1,1
22 San Juan,2018,1,2,1
22 San Juan,2018,1,3,0
22 San Juan,2018,1,4,0
22 San Juan,2018,1,5,0
22 San Juan,2018,1,6,0
22 San Juan,2018,1,7,0
22 San Juan,2018,1,8,0
22 San Juan,2018,2,9,1
22 San Juan,2018,3,10,1
22 San Juan,2018,3,11,2
22 San Juan,2018,3,12,1
22 San Juan,2018,3,13,2
22 San Juan,2018,3,14,0
22 San Juan,2018,4,15,1
22 San Juan,2018,4,16,1
22 San Juan,2018,4,17,0
22 San Juan,2018,5,18,2
22 San Juan,2018,5,19,1
22 San Juan,2018,5,20,0
22 San Juan,2018,5,21,1
22 San Juan,2018,5,22,4
22 San Juan,2018,5,23,0
22 San Juan,2018,5,24,0
22 San Juan,2018,6,25,1
22 San Juan,2018,6,26,0
22 San Juan,2018,6,27,0
22 San Juan,2018,7,28,2
22 San Juan,2018,7,29,0
22 San Juan,2018,7,30,0
22 San Juan,2018,7,31,0
22 San Juan,2018,7,32,0
22 San Juan,2018,8,33,1
22 San Juan,2018,8,34,1
22 San Juan,2018,8,35,0
22 San Juan,2018,8,36,0
22 San Juan,2018,8,37,0
22 San Juan,2018,9,38,2
22 San Juan,2018,9,39,1
22 San Juan,2018,10,40,2
22 San Juan,2018,10,41,0
22 San Juan,2018,10,42,0
22 San Juan,2018,10,43,0
22 San Juan,2018,11,44,2
22 San Juan,2018,11,45,0
22 San Juan,2018,11,46,3
22 San Juan,2018,11,47,2
22 San Juan,2018,11,48,2
