province,year,month,week,total_cases
23 San Pedro de Macorís,2015,1,1,1
23 San Pedro de Macorís,2015,1,2,0
23 San Pedro de Macorís,2015,1,3,1
23 San Pedro de Macorís,2015,1,4,3
23 San Pedro de Macorís,2015,2,5,1
23 San Pedro de Macorís,2015,2,6,1
23 San Pedro de Macorís,2015,2,7,2
23 San Pedro de Macorís,2015,2,8,2
23 San Pedro de Macorís,2015,3,9,1
23 San Pedro de Macorís,2015,3,10,2
23 San Pedro de Macorís,2015,3,11,3
23 San Pedro de Macorís,2015,3,12,0
23 San Pedro de Macorís,2015,4,13,2
23 San Pedro de Macorís,2015,4,14,1
23 San Pedro de Macorís,2015,4,15,0
23 San Pedro de Macorís,2015,4,16,0
23 San Pedro de Macorís,2015,5,17,2
23 San Pedro de Macorís,2015,5,18,2
23 San Pedro de Macorís,2015,5,19,1
23 San Pedro de Macorís,2015,5,20,1
23 San Pedro de Macorís,2015,5,21,0
23 San Pedro de Macorís,2015,6,22,5
23 San Pedro de Macorís,2015,6,23,2
23 San Pedro de Macorís,2015,6,24,3
23 San Pedro de Macorís,2015,6,25,9
23 San Pedro de Macorís,2015,7,26,5
23 San Pedro de Macorís,2015,7,27,6
23 San Pedro de Macorís,2015,7,28,7
23 San Pedro de Macorís,2015,7,29,2
23 San Pedro de Macorís,2015,8,30,4
23 San Pedro de Macorís,2015,8,31,5
23 San Pedro de Macorís,2015,8,32,5
23 San Pedro de Macorís,2015,8,33,5
23 San Pedro de Macorís,2015,8,34,4
23 San Pedro de Macorís,2015,9,35,8
23 San Pedro de Macorís,2015,9,36,22
23 San Pedro de Macorís,2015,9,37,23
23 San Pedro de Macorís,2015,9,38,6
23 San Pedro de Macorís,2015,10,39,8
23 San Pedro de Macorís,2015,10,40,13
23 San Pedro de Macorís,2015,10,41,15
23 San Pedro de Macorís,2015,10,42,13
23 San Pedro de Macorís,2015,10,43,8
23 San Pedro de Macorís,2015,11,44,13
23 San Pedro de Macorís,2015,11,45,23
23 San Pedro de Macorís,2015,11,46,15
23 San Pedro de Macorís,2015,11,47,4
23 San Pedro de Macorís,2015,12,48,6
23 San Pedro de Macorís,2015,12,49,7
23 San Pedro de Macorís,2015,12,50,9
23 San Pedro de Macorís,2015,12,51,1
23 San Pedro de Macorís,2015,12,52,2
23 San Pedro de Macorís,2016,1,1,3
23 San Pedro de Macorís,2016,1,2,7
23 San Pedro de Macorís,2016,1,3,4
23 San Pedro de Macorís,2016,1,4,3
23 San Pedro de Macorís,2016,2,5,2
23 San Pedro de Macorís,2016,2,6,0
23 San Pedro de Macorís,2016,2,7,4
23 San Pedro de Macorís,2016,2,8,4
23 San Pedro de Macorís,2016,3,9,6
23 San Pedro de Macorís,2016,3,10,1
23 San Pedro de Macorís,2016,3,11,0
23 San Pedro de Macorís,2016,3,12,3
23 San Pedro de Macorís,2016,3,13,1
23 San Pedro de Macorís,2016,4,14,1
