province,year,month,week,total_cases
24 Sánchez Ramírez,2015,1,1,1
24 Sánchez Ramírez,2015,1,2,2
24 Sánchez Ramírez,2015,1,3,0
24 Sánchez Ramírez,2015,1,4,0
24 Sánchez Ramírez,2015,1,5,0
24 Sánchez Ramírez,2015,2,6,1
24 Sánchez Ramírez,2015,2,7,2
24 Sánchez Ramírez,2015,2,8,2
24 Sánchez Ramírez,2015,2,9,0
24 Sánchez Ramírez,2015,3,10,4
24 Sánchez Ramírez,2015,3,11,3
24 Sánchez Ramírez,2015,3,12,1
24 Sánchez Ramírez,2015,3,13,1
24 Sánchez Ramírez,2015,3,14,0
24 Sánchez Ramírez,2015,4,15,1
24 Sánchez Ramírez,2015,4,16,8
24 Sánchez Ramírez,2015,4,17,3
24 Sánchez Ramírez,2015,5,18,8
24 Sánchez Ramírez,2015,5,19,2
24 Sánchez Ramírez,2015,5,20,9
24 Sánchez Ramírez,2015,5,21,10
24 Sánchez Ramírez,2015,6,22,16
24 Sánchez Ramírez,2015,6,23,13
24 Sánchez Ramírez,2015,6,24,7
24 Sánchez Ramírez,2015,6,25,14
24 Sánchez Ramírez,2015,7,26,15
24 Sánchez Ramírez,2015,7,27,13
24 Sánchez Ramírez,2015,7,28,22
24 Sánchez Ramírez,2015,7,29,20
24 Sánchez Ramírez,2015,7,30,15
24 Sánchez Ramírez,2015,8,31,30
24 Sánchez Ramírez,2015,8,32,26
24 Sánchez Ramírez,2015,8,33,30
24 Sánchez Ramírez,2015,8,34,27
24 Sánchez Ramírez,2015,9,35,23
24 Sánchez Ramírez,2015,9,36,26
24 Sánchez Ramírez,2015,9,37,40
24 Sánchez Ramírez,2015,9,38,52
24 Sánchez Ramírez,2015,10,39,27
24 Sánchez Ramírez,2015,10,40,17
24 Sánchez Ramírez,2015,10,41,11
24 Sánchez Ramírez,2015,10,42,9
24 Sánchez Ramírez,2015,10,43,15
24 Sánchez Ramírez,2015,11,44,13
24 Sánchez Ramírez,2015,11,45,13
24 Sánchez Ramírez,2015,11,46,15
24 Sánchez Ramírez,2015,11,47,9
24 Sánchez Ramírez,2015,12,48,3
24 Sánchez Ramírez,2015,12,49,3
24 Sánchez Ramírez,2015,12,50,1
24 Sánchez Ramírez,2015,12,51,5
24 Sánchez Ramírez,2015,12,52,8
24 Sánchez Ramírez,2016,1,1,2
24 Sánchez Ramírez,2016,1,2,8
24 Sánchez Ramírez,2016,1,3,6
24 Sánchez Ramírez,2016,1,4,11
24 Sánchez Ramírez,2016,2,5,7
24 Sánchez Ramírez,2016,2,6,3
24 Sánchez Ramírez,2016,2,7,7
24 Sánchez Ramírez,2016,2,8,1
24 Sánchez Ramírez,2016,3,9,4
24 Sánchez Ramírez,2016,3,10,5
24 Sánchez Ramírez,2016,3,11,2
24 Sánchez Ramírez,2016,3,12,3
24 Sánchez Ramírez,2016,4,13,8
24 Sánchez Ramírez,2016,4,14,10
24 Sánchez Ramírez,2016,4,15,6
24 Sánchez Ramírez,2016,4,16,4
24 Sánchez Ramírez,2016,4,17,0
24 Sánchez Ramírez,2016,4,18,0
24 Sánchez Ramírez,2016,5,19,3
24 Sánchez Ramírez,2016,5,20,0
24 Sánchez Ramírez,2016,5,21,2
24 Sánchez Ramírez,2016,5,22,0
24 Sánchez Ramírez,2016,6,23,3
24 Sánchez Ramírez,2016,6,24,1
24 Sánchez Ramírez,2016,6,25,4
24 Sánchez Ramírez,2016,7,26,1
24 Sánchez Ramírez,2016,7,27,2
24 Sánchez Ramírez,2016,7,28,3
24 Sánchez Ramírez,2016,7,29,1
24 Sánchez Ramírez,2016,7,30,1
24 Sánchez Ramírez,2016,8,31,3
24 Sánchez Ramírez,2016,8,32,0
24 Sánchez Ramírez,2016,8,33,0
24 Sánchez Ramírez,2016,8,34,2
24 Sánchez Ramírez,2016,9,35,1
24 Sánchez Ramírez,2016,9,36,0
24 Sánchez Ramírez,2016,9,37,0
24 Sánchez Ramírez,2016,9,38,0
24 Sánchez Ramírez,2016,9,39,1
24 Sánchez Ramírez,2016,9,40,0
24 Sánchez Ramírez,2016,9,41,0
24 Sánchez Ramírez,2016,10,42,1
24 Sánchez Ramírez,2016,10,43,4
24 Sánchez Ramírez,2016,11,44,1
24 Sánchez Ramírez,2016,11,45,0
24 Sánchez Ramírez,2016,11,46,4
24 Sánchez Ramírez,2016,11,47,0
24 Sánchez Ramírez,2016,12,48,2
24 Sánchez Ramírez,2016,12,49,2
24 Sánchez Ramírez,2016,12,50,2
24 Sánchez Ramírez,2016,12,51,1
24 Sánchez Ramírez,2016,12,52,0
24 Sánchez Ramírez,2017,1,1,1
24 Sánchez Ramírez,2017,1,2,1
24 Sánchez Ramírez,2017,1,3,1
24 Sánchez Ramírez,2017,1,4,0
24 Sánchez Ramírez,2017,1,5,0
24 Sánchez Ramírez,2017,1,6,0
24 Sánchez Ramírez,2017,1,7,0
24 Sánchez Ramírez,2017,2,8,1
24 Sánchez Ramírez,2017,3,9,1
24 Sánchez Ramírez,2017,3,10,0
24 Sánchez Ramírez,2017,3,11,1
24 Sánchez Ramírez,2017,3,12,0
24 Sánchez Ramírez,2017,3,13,1
24 Sánchez Ramírez,2017,4,14,1
24 Sánchez Ramírez,2017,4,15,0
24 Sánchez Ramírez,2017,4,16,0
24 Sánchez Ramírez,2017,4,17,0
24 Sánchez Ramírez,2017,4,18,0
24 Sánchez Ramírez,2017,5,19,1
24 Sánchez Ramírez,2017,5,20,0
24 Sánchez Ramírez,2017,5,21,1
24 Sánchez Ramírez,2017,5,22,0
24 Sánchez Ramírez,2017,6,23,1
24 Sánchez Ramírez,2017,6,24,0
24 Sánchez Ramírez,2017,6,25,0
24 Sánchez Ramírez,2017,6,26,4
24 Sánchez Ramírez,2017,7,27,1
24 Sánchez Ramírez,2017,7,28,0
24 Sánchez Ramírez,2017,7,29,2
24 Sánchez Ramírez,2017,7,30,1
24 Sánchez Ramírez,2017,8,31,2
24 Sánchez Ramírez,2017,8,32,2
24 Sánchez Ramírez,2017,8,33,1
24 Sánchez Ramírez,2017,8,34,0
24 Sánchez Ramírez,2017,8,35,0
24 Sánchez Ramírez,2017,8,36,0
24 Sánchez Ramírez,2017,8,37,0
24 Sánchez Ramírez,2017,8,38,0
24 Sánchez Ramírez,2017,9,39,1
24 Sánchez Ramírez,2017,9,40,0
24 Sánchez Ramírez,2017,10,41,2
24 Sánchez Ramírez,2017,10,42,0
24 Sánchez Ramírez,2017,10,43,1
24 Sánchez Ramírez,2017,10,44,0
24 Sánchez Ramírez,2017,11,45,2
24 Sánchez Ramírez,2017,11,46,0
24 Sánchez Ramírez,2017,11,47,1
24 Sánchez Ramírez,2017,11,48,1
24 Sánchez Ramírez,2017,11,49,0
24 Sánchez Ramírez,2017,11,50,0
24 Sánchez Ramírez,2017,11,51,0
24 Sánchez Ramírez,2017,12,52,1
24 Sánchez Ramírez,2018,1,1,1
24 Sánchez Ramírez,2018,1,2,0
24 Sánchez Ramírez,2018,1,3,0
24 Sánchez Ramírez,2018,1,4,0
24 Sánchez Ramírez,2018,2,5,1
24 Sánchez Ramírez,2018,2,6,0
24 Sánchez Ramírez,2018,2,7,0
24 Sánchez Ramírez,2018,2,8,0
24 Sánchez Ramírez,2018,2,9,0
24 Sánchez Ramírez,2018,3,10,1
24 Sánchez Ramírez,2018,3,11,0
24 Sánchez Ramírez,2018,3,12,0
24 Sánchez Ramírez,2018,3,13,0
24 Sánchez Ramírez,2018,3,14,0
24 Sánchez Ramírez,2018,3,15,0
24 Sánchez Ramírez,2018,4,16,1
24 Sánchez Ramírez,2018,4,17,0
24 Sánchez Ramírez,2018,4,18,0
24 Sánchez Ramírez,2018,4,19,0
24 Sánchez Ramírez,2018,4,20,0
24 Sánchez Ramírez,2018,4,21,0
24 Sánchez Ramírez,2018,4,22,0
24 Sánchez Ramírez,2018,4,23,0
24 Sánchez Ramírez,2018,6,24,1
24 Sánchez Ramírez,2018,6,25,0
24 Sánchez Ramírez,2018,6,26,0
24 Sánchez Ramírez,2018,7,27,3
24 Sánchez Ramírez,2018,7,28,0
24 Sánchez Ramírez,2018,7,29,0
24 Sánchez Ramírez,2018,7,30,0
24 Sánchez Ramírez,2018,8,31,1
24 Sánchez Ramírez,2018,8,32,2
24 Sánchez Ramírez,2018,8,33,3
24 Sánchez Ramírez,2018,8,34,1
24 Sánchez Ramírez,2018,8,35,0
24 Sánchez Ramírez,2018,8,36,0
24 Sánchez Ramírez,2018,9,37,1
24 Sánchez Ramírez,2018,9,38,3
24 Sánchez Ramírez,2018,9,39,1
24 Sánchez Ramírez,2018,10,40,3
24 Sánchez Ramírez,2018,10,41,2
24 Sánchez Ramírez,2018,10,42,4
24 Sánchez Ramírez,2018,10,43,2
24 Sánchez Ramírez,2018,10,44,0
24 Sánchez Ramírez,2018,11,45,3
24 Sánchez Ramírez,2018,11,46,4
24 Sánchez Ramírez,2018,11,47,3
24 Sánchez Ramírez,2018,12,48,1
24 Sánchez Ramírez,2018,12,49,3
24 Sánchez Ramírez,2018,12,50,2
24 Sánchez Ramírez,2018,12,51,3
24 Sánchez Ramírez,2018,12,52,0
24 Sánchez Ramírez,2019,12,1,1
24 Sánchez Ramírez,2019,12,2,0
24 Sánchez Ramírez,2019,12,3,0
24 Sánchez Ramírez,2019,12,4,0
24 Sánchez Ramírez,2019,2,5,3
24 Sánchez Ramírez,2019,2,6,1
24 Sánchez Ramírez,2019,2,7,0
24 Sánchez Ramírez,2019,2,8,0
24 Sánchez Ramírez,2019,2,9,0
24 Sánchez Ramírez,2019,2,10,0
24 Sánchez Ramírez,2019,3,11,2
24 Sánchez Ramírez,2019,3,12,1
24 Sánchez Ramírez,2019,3,13,0
24 Sánchez Ramírez,2019,4,14,2
24 Sánchez Ramírez,2019,4,15,2
24 Sánchez Ramírez,2019,4,16,0
24 Sánchez Ramírez,2019,4,17,4
24 Sánchez Ramírez,2019,5,18,4
24 Sánchez Ramírez,2019,5,19,2
24 Sánchez Ramírez,2019,5,20,2
24 Sánchez Ramírez,2019,5,21,4
24 Sánchez Ramírez,2019,6,22,5
24 Sánchez Ramírez,2019,6,23,9
24 Sánchez Ramírez,2019,6,24,5
24 Sánchez Ramírez,2019,6,25,4
24 Sánchez Ramírez,2019,6,26,6
24 Sánchez Ramírez,2019,7,27,10
24 Sánchez Ramírez,2019,7,28,17
24 Sánchez Ramírez,2019,7,29,14
24 Sánchez Ramírez,2019,7,30,19
24 Sánchez Ramírez,2019,8,31,22
24 Sánchez Ramírez,2019,8,32,8
24 Sánchez Ramírez,2019,8,33,22
24 Sánchez Ramírez,2019,8,34,23
24 Sánchez Ramírez,2019,8,35,13
24 Sánchez Ramírez,2019,9,36,8
24 Sánchez Ramírez,2019,9,37,15
24 Sánchez Ramírez,2019,9,38,19
24 Sánchez Ramírez,2019,9,39,15
24 Sánchez Ramírez,2019,10,40,11
24 Sánchez Ramírez,2019,10,41,15
24 Sánchez Ramírez,2019,10,42,7
24 Sánchez Ramírez,2019,10,43,12
24 Sánchez Ramírez,2019,11,44,5
24 Sánchez Ramírez,2019,11,45,11
24 Sánchez Ramírez,2019,11,46,8
24 Sánchez Ramírez,2019,11,47,7
24 Sánchez Ramírez,2019,11,48,14
24 Sánchez Ramírez,2019,12,49,5
24 Sánchez Ramírez,2019,12,50,10
24 Sánchez Ramírez,2019,12,51,13
24 Sánchez Ramírez,2019,12,52,5
24 Sánchez Ramírez,2020,12,1,5
24 Sánchez Ramírez,2020,1,2,7
24 Sánchez Ramírez,2020,1,3,7
24 Sánchez Ramírez,2020,1,4,17
24 Sánchez Ramírez,2020,2,5,10
24 Sánchez Ramírez,2020,2,6,18
24 Sánchez Ramírez,2020,2,7,9
24 Sánchez Ramírez,2020,2,8,11
24 Sánchez Ramírez,2020,2,9,10
24 Sánchez Ramírez,2020,3,10,4
24 Sánchez Ramírez,2020,3,11,8
24 Sánchez Ramírez,2020,3,12,2
24 Sánchez Ramírez,2020,3,13,2
24 Sánchez Ramírez,2020,4,14,1
24 Sánchez Ramírez,2020,4,15,0
24 Sánchez Ramírez,2020,4,16,1
24 Sánchez Ramírez,2020,4,17,0
24 Sánchez Ramírez,2020,4,18,0
24 Sánchez Ramírez,2020,5,19,3
24 Sánchez Ramírez,2020,5,20,0
24 Sánchez Ramírez,2020,5,21,0
24 Sánchez Ramírez,2020,5,22,1
24 Sánchez Ramírez,2020,5,23,0
24 Sánchez Ramírez,2020,5,24,0
24 Sánchez Ramírez,2020,6,25,2
24 Sánchez Ramírez,2020,6,26,0
24 Sánchez Ramírez,2020,6,27,0
24 Sánchez Ramírez,2020,6,28,0
24 Sánchez Ramírez,2020,6,29,0
24 Sánchez Ramírez,2020,6,30,0
24 Sánchez Ramírez,2020,6,31,0
24 Sánchez Ramírez,2020,6,32,0
24 Sánchez Ramírez,2020,6,33,0
24 Sánchez Ramírez,2020,6,34,0
24 Sánchez Ramírez,2020,6,35,0
24 Sánchez Ramírez,2020,6,36,0
24 Sánchez Ramírez,2020,6,37,0
24 Sánchez Ramírez,2020,6,38,0
24 Sánchez Ramírez,2020,6,39,0
24 Sánchez Ramírez,2020,6,40,0
24 Sánchez Ramírez,2020,6,41,0
24 Sánchez Ramírez,2020,6,42,0
24 Sánchez Ramírez,2020,6,43,0
24 Sánchez Ramírez,2020,6,44,0
24 Sánchez Ramírez,2020,11,45,1
24 Sánchez Ramírez,2020,11,46,1
24 Sánchez Ramírez,2020,11,47,0
24 Sánchez Ramírez,2020,11,48,0
24 Sánchez Ramírez,2020,11,49,0
24 Sánchez Ramírez,2020,11,50,0
24 Sánchez Ramírez,2020,11,51,0
24 Sánchez Ramírez,2020,11,52,0
24 Sánchez Ramírez,2021,11,1,0
24 Sánchez Ramírez,2021,11,2,0
24 Sánchez Ramírez,2021,11,3,0
24 Sánchez Ramírez,2021,11,4,0
24 Sánchez Ramírez,2021,11,5,0
24 Sánchez Ramírez,2021,11,6,0
24 Sánchez Ramírez,2021,11,7,0
24 Sánchez Ramírez,2021,11,8,0
24 Sánchez Ramírez,2021,11,9,0
24 Sánchez Ramírez,2021,11,10,0
24 Sánchez Ramírez,2021,11,11,0
24 Sánchez Ramírez,2021,3,12,1
24 Sánchez Ramírez,2021,3,13,0
24 Sánchez Ramírez,2021,4,14,1
24 Sánchez Ramírez,2021,4,15,1
24 Sánchez Ramírez,2021,4,16,1
24 Sánchez Ramírez,2021,4,17,0
24 Sánchez Ramírez,2021,4,18,0
24 Sánchez Ramírez,2021,4,19,0
24 Sánchez Ramírez,2021,4,20,0
24 Sánchez Ramírez,2021,4,21,0
24 Sánchez Ramírez,2021,4,22,0
24 Sánchez Ramírez,2021,4,23,0
24 Sánchez Ramírez,2021,4,24,0
24 Sánchez Ramírez,2021,4,25,0
24 Sánchez Ramírez,2021,7,26,2
24 Sánchez Ramírez,2021,7,27,0
24 Sánchez Ramírez,2021,7,28,0
24 Sánchez Ramírez,2021,7,29,2
24 Sánchez Ramírez,2021,7,30,1
24 Sánchez Ramírez,2021,8,31,1
24 Sánchez Ramírez,2021,8,32,0
24 Sánchez Ramírez,2021,8,33,2
24 Sánchez Ramírez,2021,8,34,5
24 Sánchez Ramírez,2021,9,35,2
24 Sánchez Ramírez,2021,9,36,1
24 Sánchez Ramírez,2021,9,37,0
24 Sánchez Ramírez,2021,9,38,0
24 Sánchez Ramírez,2021,9,39,0
24 Sánchez Ramírez,2021,9,40,0
24 Sánchez Ramírez,2021,10,41,5
24 Sánchez Ramírez,2021,10,42,4
24 Sánchez Ramírez,2021,10,43,2
24 Sánchez Ramírez,2021,11,44,3
24 Sánchez Ramírez,2021,11,45,5
24 Sánchez Ramírez,2021,11,46,6
24 Sánchez Ramírez,2021,11,47,4
24 Sánchez Ramírez,2021,12,48,3
24 Sánchez Ramírez,2021,12,49,8
24 Sánchez Ramírez,2021,12,50,3
24 Sánchez Ramírez,2021,12,51,3
24 Sánchez Ramírez,2021,12,52,1
24 Sánchez Ramírez,2022,1,1,2
24 Sánchez Ramírez,2022,1,2,0
24 Sánchez Ramírez,2022,1,3,4
24 Sánchez Ramírez,2022,1,4,2
24 Sánchez Ramírez,2022,1,5,0
24 Sánchez Ramírez,2022,2,6,3
24 Sánchez Ramírez,2022,2,7,1
24 Sánchez Ramírez,2022,2,8,2
24 Sánchez Ramírez,2022,3,9,2
24 Sánchez Ramírez,2022,3,10,3
24 Sánchez Ramírez,2022,3,11,3
24 Sánchez Ramírez,2022,3,12,2
24 Sánchez Ramírez,2022,3,13,1
24 Sánchez Ramírez,2022,3,14,0
24 Sánchez Ramírez,2022,4,15,6
24 Sánchez Ramírez,2022,4,16,0
24 Sánchez Ramírez,2022,4,17,2
24 Sánchez Ramírez,2022,5,18,3
24 Sánchez Ramírez,2022,5,19,6
24 Sánchez Ramírez,2022,5,20,6
24 Sánchez Ramírez,2022,5,21,0
24 Sánchez Ramírez,2022,6,22,3
24 Sánchez Ramírez,2022,6,23,4
24 Sánchez Ramírez,2022,6,24,2
24 Sánchez Ramírez,2022,6,25,4
24 Sánchez Ramírez,2022,6,26,1
24 Sánchez Ramírez,2022,7,27,4
24 Sánchez Ramírez,2022,7,28,6
24 Sánchez Ramírez,2022,7,29,5
24 Sánchez Ramírez,2022,7,30,5
24 Sánchez Ramírez,2022,8,31,8
24 Sánchez Ramírez,2022,8,32,5
24 Sánchez Ramírez,2022,8,33,2
24 Sánchez Ramírez,2022,8,34,5
24 Sánchez Ramírez,2022,9,35,10
24 Sánchez Ramírez,2022,9,36,10
24 Sánchez Ramírez,2022,9,37,15
24 Sánchez Ramírez,2022,9,38,28
24 Sánchez Ramírez,2022,10,39,35
24 Sánchez Ramírez,2022,10,40,21
24 Sánchez Ramírez,2022,10,41,30
24 Sánchez Ramírez,2022,10,42,36
24 Sánchez Ramírez,2022,10,43,26
24 Sánchez Ramírez,2022,11,44,19
24 Sánchez Ramírez,2022,11,45,12
24 Sánchez Ramírez,2022,11,46,14
24 Sánchez Ramírez,2022,11,47,12
24 Sánchez Ramírez,2022,12,48,7
24 Sánchez Ramírez,2022,12,49,15
24 Sánchez Ramírez,2022,12,50,4
24 Sánchez Ramírez,2022,12,51,4
24 Sánchez Ramírez,2022,12,52,4
24 Sánchez Ramírez,2023,1,1,8
24 Sánchez Ramírez,2023,1,2,3
24 Sánchez Ramírez,2023,1,3,4
24 Sánchez Ramírez,2023,1,4,4
24 Sánchez Ramírez,2023,2,5,2
24 Sánchez Ramírez,2023,2,6,1
24 Sánchez Ramírez,2023,2,7,3
24 Sánchez Ramírez,2023,2,8,3
24 Sánchez Ramírez,2023,3,9,1
24 Sánchez Ramírez,2023,3,10,6
24 Sánchez Ramírez,2023,3,11,1
24 Sánchez Ramírez,2023,3,12,3
24 Sánchez Ramírez,2023,3,13,0
24 Sánchez Ramírez,2023,3,14,0
24 Sánchez Ramírez,2023,4,15,3
24 Sánchez Ramírez,2023,4,16,1
24 Sánchez Ramírez,2023,4,17,3
24 Sánchez Ramírez,2023,5,18,4
24 Sánchez Ramírez,2023,5,19,2
24 Sánchez Ramírez,2023,5,20,4
24 Sánchez Ramírez,2023,5,21,3
24 Sánchez Ramírez,2023,6,22,6
24 Sánchez Ramírez,2023,6,23,2
24 Sánchez Ramírez,2023,6,24,7
24 Sánchez Ramírez,2023,6,25,6
24 Sánchez Ramírez,2023,7,26,3
24 Sánchez Ramírez,2023,7,27,6
24 Sánchez Ramírez,2023,7,28,13
24 Sánchez Ramírez,2023,7,29,11
24 Sánchez Ramírez,2023,7,30,13
24 Sánchez Ramírez,2023,8,31,9
24 Sánchez Ramírez,2023,8,32,14
24 Sánchez Ramírez,2023,8,33,20
24 Sánchez Ramírez,2023,8,34,25
24 Sánchez Ramírez,2023,9,35,59
24 Sánchez Ramírez,2023,9,36,78
24 Sánchez Ramírez,2023,9,37,54
24 Sánchez Ramírez,2023,9,38,0
24 Sánchez Ramírez,2023,9,39,0
24 Sánchez Ramírez,2023,9,40,0
24 Sánchez Ramírez,2023,9,41,0
24 Sánchez Ramírez,2023,9,42,0
24 Sánchez Ramírez,2023,9,43,0
24 Sánchez Ramírez,2023,9,44,0
24 Sánchez Ramírez,2023,9,45,0
24 Sánchez Ramírez,2023,9,46,0
24 Sánchez Ramírez,2023,9,47,0
24 Sánchez Ramírez,2023,9,48,0
24 Sánchez Ramírez,2023,9,49,0
24 Sánchez Ramírez,2023,9,50,0
24 Sánchez Ramírez,2023,9,51,0
24 Sánchez Ramírez,2023,9,52,0
