province,year,month,week,total_cases
25 Santiago,2015,1,1,8
25 Santiago,2015,1,2,9
25 Santiago,2015,1,3,8
25 Santiago,2015,1,4,11
25 Santiago,2015,2,5,14
25 Santiago,2015,2,6,16
25 Santiago,2015,2,7,11
25 Santiago,2015,2,8,13
25 Santiago,2015,3,9,18
25 Santiago,2015,3,10,14
25 Santiago,2015,3,11,13
25 Santiago,2015,3,12,8
25 Santiago,2015,4,13,8
25 Santiago,2015,4,14,5
25 Santiago,2015,4,15,15
25 Santiago,2015,4,16,15
25 Santiago,2015,5,17,13
25 Santiago,2015,5,18,22
25 Santiago,2015,5,19,18
25 Santiago,2015,5,20,9
25 Santiago,2015,5,21,11
25 Santiago,2015,6,22,13
25 Santiago,2015,6,23,10
25 Santiago,2015,6,24,9
25 Santiago,2015,6,25,7
25 Santiago,2015,7,26,23
25 Santiago,2015,7,27,10
25 Santiago,2015,7,28,19
25 Santiago,2015,7,29,29
25 Santiago,2015,8,30,32
25 Santiago,2015,8,31,35
25 Santiago,2015,8,32,26
25 Santiago,2015,8,33,32
25 Santiago,2015,8,34,14
25 Santiago,2015,9,35,33
25 Santiago,2015,9,36,29
25 Santiago,2015,9,37,38
25 Santiago,2015,9,38,35
25 Santiago,2015,10,39,31
25 Santiago,2015,10,40,75
25 Santiago,2015,10,41,82
25 Santiago,2015,10,42,106
25 Santiago,2015,10,43,111
25 Santiago,2015,11,44,93
25 Santiago,2015,11,45,102
25 Santiago,2015,11,46,96
25 Santiago,2015,11,47,63
25 Santiago,2015,12,48,41
25 Santiago,2015,12,49,44
25 Santiago,2015,12,50,26
25 Santiago,2015,12,51,19
25 Santiago,2015,12,52,30
25 Santiago,2016,1,1,60
25 Santiago,2016,1,2,35
25 Santiago,2016,1,3,35
25 Santiago,2016,1,4,50
25 Santiago,2016,2,5,45
25 Santiago,2016,2,6,28
25 Santiago,2016,2,7,23
25 Santiago,2016,2,8,23
25 Santiago,2016,3,9,22
25 Santiago,2016,3,10,15
25 Santiago,2016,3,11,19
25 Santiago,2016,3,12,12
25 Santiago,2016,4,13,26
25 Santiago,2016,4,14,20
25 Santiago,2016,4,15,16
25 Santiago,2016,4,16,14
25 Santiago,2016,4,17,9
25 Santiago,2016,5,18,11
25 Santiago,2016,5,19,13
25 Santiago,2016,5,20,14
25 Santiago,2016,5,21,10
25 Santiago,2016,6,22,5
25 Santiago,2016,6,23,11
25 Santiago,2016,6,24,13
25 Santiago,2016,6,25,4
25 Santiago,2016,7,26,13
25 Santiago,2016,7,27,6
25 Santiago,2016,7,28,10
25 Santiago,2016,7,29,12
25 Santiago,2016,7,30,8
25 Santiago,2016,8,31,7
25 Santiago,2016,8,32,5
25 Santiago,2016,8,33,13
25 Santiago,2016,8,34,11
25 Santiago,2016,9,35,7
25 Santiago,2016,9,36,10
25 Santiago,2016,9,37,8
25 Santiago,2016,9,38,7
25 Santiago,2016,9,39,9
25 Santiago,2016,10,40,8
25 Santiago,2016,10,41,3
25 Santiago,2016,10,42,4
25 Santiago,2016,10,43,5
25 Santiago,2016,11,44,3
25 Santiago,2016,11,45,3
25 Santiago,2016,11,46,3
25 Santiago,2016,11,47,5
25 Santiago,2016,12,48,4
25 Santiago,2016,12,49,3
25 Santiago,2016,12,50,1
25 Santiago,2016,12,51,6
25 Santiago,2016,12,52,2
25 Santiago,2017,1,1,1
25 Santiago,2017,1,2,0
25 Santiago,2017,1,3,3
25 Santiago,2017,1,4,2
25 Santiago,2017,2,5,2
25 Santiago,2017,2,6,1
25 Santiago,2017,2,7,1
25 Santiago,2017,2,8,2
25 Santiago,2017,3,9,4
25 Santiago,2017,3,10,1
25 Santiago,2017,3,11,2
25 Santiago,2017,3,12,2
25 Santiago,2017,3,13,1
25 Santiago,2017,4,14,3
25 Santiago,2017,4,15,1
25 Santiago,2017,4,16,1
25 Santiago,2017,4,17,3
25 Santiago,2017,4,18,0
25 Santiago,2017,5,19,2
25 Santiago,2017,5,20,1
25 Santiago,2017,5,21,0
25 Santiago,2017,5,22,1
25 Santiago,2017,6,23,4
25 Santiago,2017,6,24,3
25 Santiago,2017,6,25,7
25 Santiago,2017,7,26,4
25 Santiago,2017,7,27,12
25 Santiago,2017,7,28,7
25 Santiago,2017,7,29,2
25 Santiago,2017,7,30,2
25 Santiago,2017,8,31,2
25 Santiago,2017,8,32,1
25 Santiago,2017,8,33,6
25 Santiago,2017,8,34,2
25 Santiago,2017,9,35,1
25 Santiago,2017,9,36,2
25 Santiago,2017,9,37,2
25 Santiago,2017,9,38,3
25 Santiago,2017,9,39,3
25 Santiago,2017,10,40,1
25 Santiago,2017,10,41,3
25 Santiago,2017,10,42,1
25 Santiago,2017,10,43,0
25 Santiago,2017,10,44,0
25 Santiago,2017,11,45,2
25 Santiago,2017,11,46,1
25 Santiago,2017,11,47,2
25 Santiago,2017,12,48,3
25 Santiago,2017,12,49,1
25 Santiago,2017,12,50,3
25 Santiago,2017,12,51,1
25 Santiago,2017,12,52,1
25 Santiago,2018,1,1,1
25 Santiago,2018,1,2,5
25 Santiago,2018,1,3,5
25 Santiago,2018,1,4,3
25 Santiago,2018,2,5,6
25 Santiago,2018,2,6,5
25 Santiago,2018,2,7,7
25 Santiago,2018,2,8,10
25 Santiago,2018,3,9,8
25 Santiago,2018,3,10,3
25 Santiago,2018,3,11,4
25 Santiago,2018,3,12,4
25 Santiago,2018,3,13,0
25 Santiago,2018,4,14,1
25 Santiago,2018,4,15,1
25 Santiago,2018,4,16,1
25 Santiago,2018,4,17,2
25 Santiago,2018,5,18,1
25 Santiago,2018,5,19,3
25 Santiago,2018,5,20,2
25 Santiago,2018,5,21,1
25 Santiago,2018,5,22,0
25 Santiago,2018,6,23,4
25 Santiago,2018,6,24,2
25 Santiago,2018,6,25,1
25 Santiago,2018,6,26,3
25 Santiago,2018,7,27,4
25 Santiago,2018,7,28,3
25 Santiago,2018,7,29,1
25 Santiago,2018,7,30,4
25 Santiago,2018,8,31,3
25 Santiago,2018,8,32,2
25 Santiago,2018,8,33,2
25 Santiago,2018,8,34,1
25 Santiago,2018,8,35,0
25 Santiago,2018,9,36,1
25 Santiago,2018,9,37,0
25 Santiago,2018,9,38,0
25 Santiago,2018,9,39,2
25 Santiago,2018,10,40,2
25 Santiago,2018,10,41,3
25 Santiago,2018,10,42,8
25 Santiago,2018,10,43,4
25 Santiago,2018,11,44,2
25 Santiago,2018,11,45,3
25 Santiago,2018,11,46,0
25 Santiago,2018,11,47,1
25 Santiago,2018,11,48,2
25 Santiago,2018,12,49,2
25 Santiago,2018,12,50,2
25 Santiago,2018,12,51,5
25 Santiago,2018,12,52,0
25 Santiago,2019,12,1,0
25 Santiago,2019,1,2,3
25 Santiago,2019,1,3,3
25 Santiago,2019,1,4,3
25 Santiago,2019,2,5,9
25 Santiago,2019,2,6,8
25 Santiago,2019,2,7,5
25 Santiago,2019,2,8,8
25 Santiago,2019,3,9,9
25 Santiago,2019,3,10,3
25 Santiago,2019,3,11,7
25 Santiago,2019,3,12,6
25 Santiago,2019,3,13,6
25 Santiago,2019,4,14,3
25 Santiago,2019,4,15,10
25 Santiago,2019,4,16,3
25 Santiago,2019,4,17,3
25 Santiago,2019,5,18,2
25 Santiago,2019,5,19,8
25 Santiago,2019,5,20,9
25 Santiago,2019,5,21,9
25 Santiago,2019,6,22,9
25 Santiago,2019,6,23,14
25 Santiago,2019,6,24,13
25 Santiago,2019,6,25,13
25 Santiago,2019,6,26,32
25 Santiago,2019,7,27,48
25 Santiago,2019,7,28,50
25 Santiago,2019,7,29,75
25 Santiago,2019,7,30,72
25 Santiago,2019,8,31,68
25 Santiago,2019,8,32,77
25 Santiago,2019,8,33,83
25 Santiago,2019,8,34,107
25 Santiago,2019,8,35,77
25 Santiago,2019,9,36,81
25 Santiago,2019,9,37,73
25 Santiago,2019,9,38,54
25 Santiago,2019,9,39,57
25 Santiago,2019,10,40,86
25 Santiago,2019,10,41,58
25 Santiago,2019,10,42,70
25 Santiago,2019,10,43,78
25 Santiago,2019,11,44,90
25 Santiago,2019,11,45,109
25 Santiago,2019,11,46,111
25 Santiago,2019,11,47,139
25 Santiago,2019,11,48,94
25 Santiago,2019,12,49,107
25 Santiago,2019,12,50,103
25 Santiago,2019,12,51,76
25 Santiago,2019,12,52,65
25 Santiago,2020,12,1,118
25 Santiago,2020,1,2,91
25 Santiago,2020,1,3,74
25 Santiago,2020,1,4,59
25 Santiago,2020,2,5,57
25 Santiago,2020,2,6,39
25 Santiago,2020,2,7,39
25 Santiago,2020,2,8,41
25 Santiago,2020,2,9,38
25 Santiago,2020,3,10,29
25 Santiago,2020,3,11,30
25 Santiago,2020,3,12,7
25 Santiago,2020,3,13,7
25 Santiago,2020,4,14,7
25 Santiago,2020,4,15,9
25 Santiago,2020,4,16,4
25 Santiago,2020,4,17,6
25 Santiago,2020,5,18,6
25 Santiago,2020,5,19,1
25 Santiago,2020,5,20,5
25 Santiago,2020,5,21,7
25 Santiago,2020,5,22,4
25 Santiago,2020,6,23,4
25 Santiago,2020,6,24,3
25 Santiago,2020,6,25,4
25 Santiago,2020,6,26,4
25 Santiago,2020,7,27,3
25 Santiago,2020,7,28,2
25 Santiago,2020,7,29,1
25 Santiago,2020,7,30,0
25 Santiago,2020,8,31,2
25 Santiago,2020,8,32,2
25 Santiago,2020,8,33,1
25 Santiago,2020,8,34,2
25 Santiago,2020,8,35,1
25 Santiago,2020,9,36,2
25 Santiago,2020,9,37,1
25 Santiago,2020,9,38,1
25 Santiago,2020,9,39,0
25 Santiago,2020,10,40,4
25 Santiago,2020,10,41,2
25 Santiago,2020,10,42,2
25 Santiago,2020,10,43,1
25 Santiago,2020,10,44,1
25 Santiago,2020,10,45,0
25 Santiago,2020,10,46,0
25 Santiago,2020,11,47,6
25 Santiago,2020,11,48,0
25 Santiago,2020,12,49,7
25 Santiago,2020,12,50,3
25 Santiago,2020,12,51,2
25 Santiago,2020,12,52,1
25 Santiago,2021,1,1,1
25 Santiago,2021,1,2,3
25 Santiago,2021,1,3,1
25 Santiago,2021,1,4,1
25 Santiago,2021,2,5,2
25 Santiago,2021,2,6,3
25 Santiago,2021,2,7,3
25 Santiago,2021,2,8,1
25 Santiago,2021,3,9,3
25 Santiago,2021,3,10,1
25 Santiago,2021,3,11,2
25 Santiago,2021,3,12,0
25 Santiago,2021,4,13,3
25 Santiago,2021,4,14,1
25 Santiago,2021,4,15,3
25 Santiago,2021,4,16,1
25 Santiago,2021,4,17,1
25 Santiago,2021,5,18,2
25 Santiago,2021,5,19,1
25 Santiago,2021,5,20,1
25 Santiago,2021,5,21,7
25 Santiago,2021,6,22,5
25 Santiago,2021,6,23,4
25 Santiago,2021,6,24,1
25 Santiago,2021,6,25,3
25 Santiago,2021,7,26,2
25 Santiago,2021,7,27,3
25 Santiago,2021,7,28,5
25 Santiago,2021,7,29,1
25 Santiago,2021,7,30,0
25 Santiago,2021,8,31,3
25 Santiago,2021,8,32,4
25 Santiago,2021,8,33,5
25 Santiago,2021,8,34,6
25 Santiago,2021,9,35,8
25 Santiago,2021,9,36,4
25 Santiago,2021,9,37,4
25 Santiago,2021,9,38,2
25 Santiago,2021,9,39,4
25 Santiago,2021,10,40,7
25 Santiago,2021,10,41,4
25 Santiago,2021,10,42,8
25 Santiago,2021,10,43,7
25 Santiago,2021,11,44,16
25 Santiago,2021,11,45,9
25 Santiago,2021,11,46,14
25 Santiago,2021,11,47,21
25 Santiago,2021,12,48,16
25 Santiago,2021,12,49,18
25 Santiago,2021,12,50,19
25 Santiago,2021,12,51,12
25 Santiago,2021,12,52,12
25 Santiago,2022,1,1,12
25 Santiago,2022,1,2,14
25 Santiago,2022,1,3,10
25 Santiago,2022,1,4,8
25 Santiago,2022,2,5,8
25 Santiago,2022,2,6,19
25 Santiago,2022,2,7,12
25 Santiago,2022,2,8,6
25 Santiago,2022,3,9,13
25 Santiago,2022,3,10,13
25 Santiago,2022,3,11,20
25 Santiago,2022,3,12,30
