province,year,month,week,total_cases
26 Santiago Rodríguez,2015,1,1,2
26 Santiago Rodríguez,2015,1,2,0
26 Santiago Rodríguez,2015,1,3,0
26 Santiago Rodríguez,2015,1,4,0
26 Santiago Rodríguez,2015,2,5,1
26 Santiago Rodríguez,2015,2,6,0
26 Santiago Rodríguez,2015,2,7,0
26 Santiago Rodríguez,2015,2,8,2
26 Santiago Rodríguez,2015,3,9,1
26 Santiago Rodríguez,2015,3,10,1
26 Santiago Rodríguez,2015,3,11,0
26 Santiago Rodríguez,2015,3,12,1
26 Santiago Rodríguez,2015,4,13,1
26 Santiago Rodríguez,2015,4,14,0
26 Santiago Rodríguez,2015,4,15,2
26 Santiago Rodríguez,2015,4,16,0
26 Santiago Rodríguez,2015,4,17,0
26 Santiago Rodríguez,2015,5,18,1
26 Santiago Rodríguez,2015,5,19,1
26 Santiago Rodríguez,2015,5,20,0
26 Santiago Rodríguez,2015,5,21,0
26 Santiago Rodríguez,2015,6,22,1
26 Santiago Rodríguez,2015,6,23,3
26 Santiago Rodríguez,2015,6,24,2
26 Santiago Rodríguez,2015,6,25,0
26 Santiago Rodríguez,2015,7,26,1
26 Santiago Rodríguez,2015,7,27,2
26 Santiago Rodríguez,2015,7,28,2
26 Santiago Rodríguez,2015,7,29,3
26 Santiago Rodríguez,2015,7,30,1
26 Santiago Rodríguez,2015,7,31,0
26 Santiago Rodríguez,2015,7,32,0
26 Santiago Rodríguez,2015,8,33,3
26 Santiago Rodríguez,2015,8,34,5
26 Santiago Rodríguez,2015,8,35,0
26 Santiago Rodríguez,2015,9,36,1
26 Santiago Rodríguez,2015,9,37,4
26 Santiago Rodríguez,2015,9,38,4
26 Santiago Rodríguez,2015,10,39,2
26 Santiago Rodríguez,2015,10,40,10
26 Santiago Rodríguez,2015,10,41,7
26 Santiago Rodríguez,2015,10,42,9
26 Santiago Rodríguez,2015,10,43,9
26 Santiago Rodríguez,2015,11,44,7
26 Santiago Rodríguez,2015,11,45,6
26 Santiago Rodríguez,2015,11,46,5
26 Santiago Rodríguez,2015,11,47,6
26 Santiago Rodríguez,2015,12,48,2
26 Santiago Rodríguez,2015,12,49,1
26 Santiago Rodríguez,2015,12,50,0
26 Santiago Rodríguez,2015,12,51,0
26 Santiago Rodríguez,2015,12,52,0
26 Santiago Rodríguez,2016,1,1,6
26 Santiago Rodríguez,2016,1,2,5
26 Santiago Rodríguez,2016,1,3,2
26 Santiago Rodríguez,2016,1,4,1
26 Santiago Rodríguez,2016,1,5,2
26 Santiago Rodríguez,2016,2,6,2
26 Santiago Rodríguez,2016,2,7,3
26 Santiago Rodríguez,2016,2,8,1
26 Santiago Rodríguez,2016,3,9,1
26 Santiago Rodríguez,2016,3,10,0
26 Santiago Rodríguez,2016,3,11,6
26 Santiago Rodríguez,2016,3,12,2
26 Santiago Rodríguez,2016,4,13,3
26 Santiago Rodríguez,2016,4,14,3
26 Santiago Rodríguez,2016,4,15,4
26 Santiago Rodríguez,2016,4,16,6
26 Santiago Rodríguez,2016,4,17,4
26 Santiago Rodríguez,2016,5,18,1
26 Santiago Rodríguez,2016,5,19,7
26 Santiago Rodríguez,2016,5,20,1
26 Santiago Rodríguez,2016,5,21,4
26 Santiago Rodríguez,2016,5,22,0
26 Santiago Rodríguez,2016,6,23,3
26 Santiago Rodríguez,2016,6,24,1
26 Santiago Rodríguez,2016,6,25,4
26 Santiago Rodríguez,2016,7,26,6
26 Santiago Rodríguez,2016,7,27,2
26 Santiago Rodríguez,2016,7,28,2
26 Santiago Rodríguez,2016,7,29,1
26 Santiago Rodríguez,2016,7,30,0
26 Santiago Rodríguez,2016,8,31,2
26 Santiago Rodríguez,2016,8,32,0
26 Santiago Rodríguez,2016,8,33,3
26 Santiago Rodríguez,2016,8,34,0
26 Santiago Rodríguez,2016,8,35,0
26 Santiago Rodríguez,2016,8,36,0
26 Santiago Rodríguez,2016,9,37,2
26 Santiago Rodríguez,2016,9,38,1
26 Santiago Rodríguez,2016,10,39,2
26 Santiago Rodríguez,2016,10,40,0
26 Santiago Rodríguez,2016,10,41,1
26 Santiago Rodríguez,2016,10,42,2
26 Santiago Rodríguez,2016,10,43,3
26 Santiago Rodríguez,2016,10,44,0
26 Santiago Rodríguez,2016,11,45,1
26 Santiago Rodríguez,2016,11,46,0
26 Santiago Rodríguez,2016,11,47,0
26 Santiago Rodríguez,2016,11,48,0
26 Santiago Rodríguez,2016,12,49,1
26 Santiago Rodríguez,2016,12,50,0
26 Santiago Rodríguez,2016,12,51,0
26 Santiago Rodríguez,2016,12,52,0
26 Santiago Rodríguez,2017,12,1,0
26 Santiago Rodríguez,2017,12,2,0
26 Santiago Rodríguez,2017,12,3,0
26 Santiago Rodríguez,2017,12,4,0
26 Santiago Rodríguez,2017,12,5,0
26 Santiago Rodríguez,2017,12,6,0
26 Santiago Rodríguez,2017,12,7,0
26 Santiago Rodríguez,2017,12,8,0
26 Santiago Rodríguez,2017,12,9,0
26 Santiago Rodríguez,2017,12,10,0
26 Santiago Rodríguez,2017,12,11,0
26 Santiago Rodríguez,2017,12,12,0
26 Santiago Rodríguez,2017,12,13,0
26 Santiago Rodríguez,2017,12,14,0
26 Santiago Rodríguez,2017,12,15,0
26 Santiago Rodríguez,2017,12,16,0
26 Santiago Rodríguez,2017,12,17,0
26 Santiago Rodríguez,2017,12,18,0
26 Santiago Rodríguez,2017,12,19,0
26 Santiago Rodríguez,2017,12,20,0
26 Santiago Rodríguez,2017,12,21,0
26 Santiago Rodríguez,2017,6,22,1
26 Santiago Rodríguez,2017,6,23,0
26 Santiago Rodríguez,2017,6,24,0
26 Santiago Rodríguez,2017,6,25,0
26 Santiago Rodríguez,2017,6,26,1
26 Santiago Rodríguez,2017,6,27,0
26 Santiago Rodríguez,2017,7,28,1
26 Santiago Rodríguez,2017,7,29,0
26 Santiago Rodríguez,2017,7,30,0
26 Santiago Rodríguez,2017,7,31,0
26 Santiago Rodríguez,2017,8,32,1
26 Santiago Rodríguez,2017,8,33,0
26 Santiago Rodríguez,2017,8,34,1
26 Santiago Rodríguez,2017,8,35,0
26 Santiago Rodríguez,2017,8,36,0
26 Santiago Rodríguez,2017,9,37,1
26 Santiago Rodríguez,2017,9,38,0
26 Santiago Rodríguez,2017,9,39,0
26 Santiago Rodríguez,2017,9,40,0
26 Santiago Rodríguez,2017,10,41,1
26 Santiago Rodríguez,2017,10,42,0
26 Santiago Rodríguez,2017,10,43,0
26 Santiago Rodríguez,2017,10,44,0
26 Santiago Rodríguez,2017,10,45,0
26 Santiago Rodríguez,2017,10,46,0
26 Santiago Rodríguez,2017,10,47,0
26 Santiago Rodríguez,2017,10,48,0
26 Santiago Rodríguez,2017,10,49,0
26 Santiago Rodríguez,2017,10,50,0
26 Santiago Rodríguez,2017,10,51,0
26 Santiago Rodríguez,2017,10,52,0
26 Santiago Rodríguez,2018,10,1,0
26 Santiago Rodríguez,2018,10,2,0
26 Santiago Rodríguez,2018,10,3,0
26 Santiago Rodríguez,2018,10,4,0
26 Santiago Rodríguez,2018,10,5,0
26 Santiago Rodríguez,2018,10,6,0
26 Santiago Rodríguez,2018,10,7,0
26 Santiago Rodríguez,2018,10,8,0
26 Santiago Rodríguez,2018,2,9,1
26 Santiago Rodríguez,2018,2,10,0
26 Santiago Rodríguez,2018,2,11,0
26 Santiago Rodríguez,2018,2,12,0
26 Santiago Rodríguez,2018,2,13,0
26 Santiago Rodríguez,2018,2,14,0
26 Santiago Rodríguez,2018,2,15,0
26 Santiago Rodríguez,2018,2,16,0
26 Santiago Rodríguez,2018,2,17,0
26 Santiago Rodríguez,2018,2,18,0
26 Santiago Rodríguez,2018,2,19,0
26 Santiago Rodríguez,2018,2,20,0
26 Santiago Rodríguez,2018,2,21,0
26 Santiago Rodríguez,2018,2,22,0
26 Santiago Rodríguez,2018,2,23,0
26 Santiago Rodríguez,2018,2,24,0
26 Santiago Rodríguez,2018,2,25,0
26 Santiago Rodríguez,2018,2,26,0
26 Santiago Rodríguez,2018,7,27,1
26 Santiago Rodríguez,2018,7,28,1
26 Santiago Rodríguez,2018,7,29,0
26 Santiago Rodríguez,2018,7,30,0
26 Santiago Rodríguez,2018,7,31,0
26 Santiago Rodríguez,2018,8,32,1
26 Santiago Rodríguez,2018,8,33,0
26 Santiago Rodríguez,2018,8,34,0
26 Santiago Rodríguez,2018,8,35,0
26 Santiago Rodríguez,2018,8,36,0
26 Santiago Rodríguez,2018,8,37,0
26 Santiago Rodríguez,2018,8,38,0
26 Santiago Rodríguez,2018,8,39,0
26 Santiago Rodríguez,2018,8,40,0
26 Santiago Rodríguez,2018,8,41,0
26 Santiago Rodríguez,2018,8,42,0
26 Santiago Rodríguez,2018,8,43,0
26 Santiago Rodríguez,2018,8,44,0
26 Santiago Rodríguez,2018,8,45,0
26 Santiago Rodríguez,2018,8,46,0
26 Santiago Rodríguez,2018,11,47,1
26 Santiago Rodríguez,2018,11,48,0
26 Santiago Rodríguez,2018,12,49,1
26 Santiago Rodríguez,2018,12,50,0
26 Santiago Rodríguez,2018,12,51,1
26 Santiago Rodríguez,2018,12,52,0
26 Santiago Rodríguez,2019,12,1,0
26 Santiago Rodríguez,2019,12,2,0
26 Santiago Rodríguez,2019,12,3,0
26 Santiago Rodríguez,2019,1,4,2
26 Santiago Rodríguez,2019,2,5,1
26 Santiago Rodríguez,2019,2,6,0
26 Santiago Rodríguez,2019,2,7,1
26 Santiago Rodríguez,2019,2,8,0
26 Santiago Rodríguez,2019,2,9,0
26 Santiago Rodríguez,2019,3,10,1
26 Santiago Rodríguez,2019,3,11,0
26 Santiago Rodríguez,2019,3,12,1
26 Santiago Rodríguez,2019,3,13,0
26 Santiago Rodríguez,2019,4,14,2
26 Santiago Rodríguez,2019,4,15,0
26 Santiago Rodríguez,2019,4,16,0
26 Santiago Rodríguez,2019,4,17,0
26 Santiago Rodríguez,2019,4,18,0
26 Santiago Rodríguez,2019,4,19,0
26 Santiago Rodríguez,2019,5,20,2
26 Santiago Rodríguez,2019,5,21,0
26 Santiago Rodríguez,2019,5,22,0
26 Santiago Rodríguez,2019,6,23,4
26 Santiago Rodríguez,2019,6,24,0
26 Santiago Rodríguez,2019,6,25,1
26 Santiago Rodríguez,2019,6,26,4
26 Santiago Rodríguez,2019,7,27,1
26 Santiago Rodríguez,2019,7,28,5
26 Santiago Rodríguez,2019,7,29,3
26 Santiago Rodríguez,2019,7,30,3
26 Santiago Rodríguez,2019,8,31,6
26 Santiago Rodríguez,2019,8,32,2
26 Santiago Rodríguez,2019,8,33,0
26 Santiago Rodríguez,2019,8,34,3
26 Santiago Rodríguez,2019,8,35,3
26 Santiago Rodríguez,2019,9,36,4
26 Santiago Rodríguez,2019,9,37,2
26 Santiago Rodríguez,2019,9,38,0
26 Santiago Rodríguez,2019,9,39,3
26 Santiago Rodríguez,2019,10,40,2
26 Santiago Rodríguez,2019,10,41,1
26 Santiago Rodríguez,2019,10,42,2
26 Santiago Rodríguez,2019,10,43,8
26 Santiago Rodríguez,2019,11,44,2
26 Santiago Rodríguez,2019,11,45,3
26 Santiago Rodríguez,2019,11,46,3
26 Santiago Rodríguez,2019,11,47,3
26 Santiago Rodríguez,2019,11,48,1
26 Santiago Rodríguez,2019,12,49,1
26 Santiago Rodríguez,2019,12,50,1
26 Santiago Rodríguez,2019,12,51,1
26 Santiago Rodríguez,2019,12,52,1
26 Santiago Rodríguez,2020,1,1,1
26 Santiago Rodríguez,2020,1,2,3
26 Santiago Rodríguez,2020,1,3,0
26 Santiago Rodríguez,2020,1,4,2
26 Santiago Rodríguez,2020,1,5,1
26 Santiago Rodríguez,2020,2,6,1
26 Santiago Rodríguez,2020,2,7,1
26 Santiago Rodríguez,2020,2,8,1
26 Santiago Rodríguez,2020,2,9,0
26 Santiago Rodríguez,2020,3,10,1
26 Santiago Rodríguez,2020,3,11,0
26 Santiago Rodríguez,2020,3,12,0
26 Santiago Rodríguez,2020,3,13,0
26 Santiago Rodríguez,2020,3,14,0
26 Santiago Rodríguez,2020,3,15,0
26 Santiago Rodríguez,2020,3,16,0
26 Santiago Rodríguez,2020,3,17,0
26 Santiago Rodríguez,2020,3,18,0
26 Santiago Rodríguez,2020,3,19,0
26 Santiago Rodríguez,2020,3,20,0
26 Santiago Rodríguez,2020,3,21,0
26 Santiago Rodríguez,2020,3,22,0
26 Santiago Rodríguez,2020,3,23,0
26 Santiago Rodríguez,2020,3,24,0
26 Santiago Rodríguez,2020,3,25,0
26 Santiago Rodríguez,2020,3,26,0
26 Santiago Rodríguez,2020,3,27,0
26 Santiago Rodríguez,2020,3,28,0
26 Santiago Rodríguez,2020,3,29,0
26 Santiago Rodríguez,2020,3,30,0
26 Santiago Rodríguez,2020,3,31,0
26 Santiago Rodríguez,2020,3,32,0
