province,year,month,week,total_cases
27 Valverde,2015,1,1,1
27 Valverde,2015,1,2,2
27 Valverde,2015,1,3,0
27 Valverde,2015,1,4,0
27 Valverde,2015,1,5,0
27 Valverde,2015,1,6,0
27 Valverde,2015,1,7,0
27 Valverde,2015,1,8,0
27 Valverde,2015,1,9,0
27 Valverde,2015,3,10,3
27 Valverde,2015,3,11,4
27 Valverde,2015,3,12,1
27 Valverde,2015,4,13,2
27 Valverde,2015,4,14,1
27 Valverde,2015,4,15,2
27 Valverde,2015,4,16,1
27 Valverde,2015,4,17,1
27 Valverde,2015,5,18,1
27 Valverde,2015,5,19,2
27 Valverde,2015,5,20,1
27 Valverde,2015,5,21,0
27 Valverde,2015,6,22,3
27 Valverde,2015,6,23,0
27 Valverde,2015,6,24,1
27 Valverde,2015,6,25,1
27 Valverde,2015,7,26,5
27 Valverde,2015,7,27,1
27 Valverde,2015,7,28,2
27 Valverde,2015,7,29,6
27 Valverde,2015,7,30,1
27 Valverde,2015,8,31,6
27 Valverde,2015,8,32,4
27 Valverde,2015,8,33,1
27 Valverde,2015,8,34,7
27 Valverde,2015,9,35,5
27 Valverde,2015,9,36,1
27 Valverde,2015,9,37,4
27 Valverde,2015,9,38,5
27 Valverde,2015,10,39,9
27 Valverde,2015,10,40,14
27 Valverde,2015,10,41,17
27 Valverde,2015,10,42,12
27 Valverde,2015,10,43,8
27 Valverde,2015,11,44,30
27 Valverde,2015,11,45,17
27 Valverde,2015,11,46,17
27 Valverde,2015,11,47,8
27 Valverde,2015,12,48,6
27 Valverde,2015,12,49,3
27 Valverde,2015,12,50,3
27 Valverde,2015,12,51,7
27 Valverde,2015,12,52,7
27 Valverde,2016,1,1,7
27 Valverde,2016,1,2,7
27 Valverde,2016,1,3,1
27 Valverde,2016,1,4,5
27 Valverde,2016,2,5,3
27 Valverde,2016,2,6,4
27 Valverde,2016,2,7,3
27 Valverde,2016,2,8,2
27 Valverde,2016,2,9,1
27 Valverde,2016,3,10,4
27 Valverde,2016,3,11,5
27 Valverde,2016,3,12,2
27 Valverde,2016,3,13,1
27 Valverde,2016,3,14,0
27 Valverde,2016,4,15,2
27 Valverde,2016,4,16,2
27 Valverde,2016,4,17,0
27 Valverde,2016,4,18,0
27 Valverde,2016,5,19,2
27 Valverde,2016,5,20,2
27 Valverde,2016,5,21,1
27 Valverde,2016,5,22,0
27 Valverde,2016,6,23,1
27 Valverde,2016,6,24,0
27 Valverde,2016,6,25,0
27 Valverde,2016,6,26,0
27 Valverde,2016,7,27,3
27 Valverde,2016,7,28,2
27 Valverde,2016,7,29,0
27 Valverde,2016,7,30,0
27 Valverde,2016,7,31,0
27 Valverde,2016,7,32,0
27 Valverde,2016,8,33,1
27 Valverde,2016,8,34,0
27 Valverde,2016,8,35,0
27 Valverde,2016,8,36,0
27 Valverde,2016,9,37,1
27 Valverde,2016,9,38,0
27 Valverde,2016,9,39,1
27 Valverde,2016,10,40,1
27 Valverde,2016,10,41,1
27 Valverde,2016,10,42,1
27 Valverde,2016,10,43,2
27 Valverde,2016,11,44,1
27 Valverde,2016,11,45,4
27 Valverde,2016,11,46,0
27 Valverde,2016,11,47,1
27 Valverde,2016,12,48,2
27 Valverde,2016,12,49,1
27 Valverde,2016,12,50,0
27 Valverde,2016,12,51,0
27 Valverde,2016,12,52,0
27 Valverde,2017,12,1,0
27 Valverde,2017,1,2,1
27 Valverde,2017,1,3,0
27 Valverde,2017,1,4,0
27 Valverde,2017,1,5,0
27 Valverde,2017,2,6,1
27 Valverde,2017,2,7,0
27 Valverde,2017,2,8,1
