province,year,month,week,total_cases
29 Monte Plata,2015,0,1,0
29 Monte Plata,2015,1,2,2
29 Monte Plata,2015,1,3,1
29 Monte Plata,2015,1,4,1
29 Monte Plata,2015,1,5,0
29 Monte Plata,2015,2,6,3
29 Monte Plata,2015,2,7,0
29 Monte Plata,2015,2,8,0
29 Monte Plata,2015,3,9,1
29 Monte Plata,2015,3,10,1
29 Monte Plata,2015,3,11,1
29 Monte Plata,2015,3,12,0
29 Monte Plata,2015,3,13,1
29 Monte Plata,2015,3,14,0
29 Monte Plata,2015,4,15,1
29 Monte Plata,2015,4,16,1
29 Monte Plata,2015,4,17,0
29 Monte Plata,2015,4,18,0
29 Monte Plata,2015,4,19,0
29 Monte Plata,2015,5,20,4
29 Monte Plata,2015,5,21,0
29 Monte Plata,2015,6,22,1
29 Monte Plata,2015,6,23,2
29 Monte Plata,2015,6,24,2
29 Monte Plata,2015,6,25,2
29 Monte Plata,2015,7,26,3
29 Monte Plata,2015,7,27,2
29 Monte Plata,2015,7,28,3
29 Monte Plata,2015,7,29,5
29 Monte Plata,2015,7,30,4
29 Monte Plata,2015,8,31,8
29 Monte Plata,2015,8,32,9
29 Monte Plata,2015,8,33,5
29 Monte Plata,2015,8,34,6
29 Monte Plata,2015,9,35,3
29 Monte Plata,2015,9,36,10
29 Monte Plata,2015,9,37,20
29 Monte Plata,2015,9,38,12
29 Monte Plata,2015,10,39,12
29 Monte Plata,2015,10,40,11
29 Monte Plata,2015,10,41,13
29 Monte Plata,2015,10,42,10
29 Monte Plata,2015,10,43,9
29 Monte Plata,2015,11,44,10
29 Monte Plata,2015,11,45,7
29 Monte Plata,2015,11,46,11
29 Monte Plata,2015,11,47,10
29 Monte Plata,2015,12,48,5
29 Monte Plata,2015,12,49,3
29 Monte Plata,2015,12,50,4
29 Monte Plata,2015,12,51,4
29 Monte Plata,2015,12,52,2
29 Monte Plata,2016,1,1,8
29 Monte Plata,2016,1,2,4
29 Monte Plata,2016,1,3,2
29 Monte Plata,2016,1,4,3
29 Monte Plata,2016,2,5,4
29 Monte Plata,2016,2,6,2
29 Monte Plata,2016,2,7,2
29 Monte Plata,2016,2,8,1
29 Monte Plata,2016,3,9,2
29 Monte Plata,2016,3,10,0
29 Monte Plata,2016,3,11,1
29 Monte Plata,2016,3,12,4
29 Monte Plata,2016,4,13,1
29 Monte Plata,2016,4,14,2
29 Monte Plata,2016,4,15,0
