province,year,month,week,total_cases
30 Hato Mayor,2015,1,1,1
30 Hato Mayor,2015,1,2,0
30 Hato Mayor,2015,1,3,1
30 Hato Mayor,2015,1,4,0
30 Hato Mayor,2015,1,5,0
30 Hato Mayor,2015,1,6,0
30 Hato Mayor,2015,1,7,0
30 Hato Mayor,2015,1,8,0
30 Hato Mayor,2015,1,9,0
30 Hato Mayor,2015,1,10,0
30 Hato Mayor,2015,3,11,1
30 Hato Mayor,2015,3,12,0
30 Hato Mayor,2015,3,13,2
30 Hato Mayor,2015,3,14,0
30 Hato Mayor,2015,4,15,1
30 Hato Mayor,2015,4,16,1
30 Hato Mayor,2015,4,17,0
30 Hato Mayor,2015,5,18,1
30 Hato Mayor,2015,5,19,0
30 Hato Mayor,2015,5,20,3
30 Hato Mayor,2015,5,21,0
30 Hato Mayor,2015,5,22,1
30 Hato Mayor,2015,6,23,3
30 Hato Mayor,2015,6,24,5
30 Hato Mayor,2015,6,25,2
30 Hato Mayor,2015,7,26,1
30 Hato Mayor,2015,7,27,6
30 Hato Mayor,2015,7,28,7
30 Hato Mayor,2015,7,29,4
30 Hato Mayor,2015,8,30,7
30 Hato Mayor,2015,8,31,3
30 Hato Mayor,2015,8,32,4
30 Hato Mayor,2015,8,33,4
30 Hato Mayor,2015,8,34,7
30 Hato Mayor,2015,9,35,6
30 Hato Mayor,2015,9,36,8
30 Hato Mayor,2015,9,37,2
30 Hato Mayor,2015,9,38,2
30 Hato Mayor,2015,10,39,13
30 Hato Mayor,2015,10,40,16
30 Hato Mayor,2015,10,41,13
30 Hato Mayor,2015,10,42,17
30 Hato Mayor,2015,10,43,5
30 Hato Mayor,2015,11,44,5
30 Hato Mayor,2015,11,45,13
30 Hato Mayor,2015,11,46,12
30 Hato Mayor,2015,11,47,4
30 Hato Mayor,2015,12,48,1
30 Hato Mayor,2015,12,49,3
30 Hato Mayor,2015,12,50,2
30 Hato Mayor,2015,12,51,1
30 Hato Mayor,2015,1,52,1
30 Hato Mayor,2016,1,1,2
30 Hato Mayor,2016,1,2,1
30 Hato Mayor,2016,1,3,1
30 Hato Mayor,2016,1,4,1
30 Hato Mayor,2016,2,5,2
30 Hato Mayor,2016,2,6,0
30 Hato Mayor,2016,2,7,2
30 Hato Mayor,2016,2,8,1
30 Hato Mayor,2016,2,9,0
30 Hato Mayor,2016,2,10,0
30 Hato Mayor,2016,2,11,0
30 Hato Mayor,2016,2,12,0
30 Hato Mayor,2016,3,13,1
30 Hato Mayor,2016,4,14,1
30 Hato Mayor,2016,4,15,2
30 Hato Mayor,2016,4,16,4
30 Hato Mayor,2016,4,17,0
30 Hato Mayor,2016,4,18,0
30 Hato Mayor,2016,4,19,0
30 Hato Mayor,2016,4,20,0
30 Hato Mayor,2016,5,21,1
30 Hato Mayor,2016,6,22,1
30 Hato Mayor,2016,6,23,0
30 Hato Mayor,2016,6,24,0
30 Hato Mayor,2016,6,25,5
30 Hato Mayor,2016,6,26,1
30 Hato Mayor,2016,7,27,3
30 Hato Mayor,2016,7,28,1
30 Hato Mayor,2016,7,29,0
30 Hato Mayor,2016,7,30,0
30 Hato Mayor,2016,7,31,0
30 Hato Mayor,2016,7,32,0
30 Hato Mayor,2016,7,33,0
30 Hato Mayor,2016,7,34,0
30 Hato Mayor,2016,8,35,1
30 Hato Mayor,2016,8,36,0
30 Hato Mayor,2016,8,37,0
30 Hato Mayor,2016,8,38,0
30 Hato Mayor,2016,9,39,1
30 Hato Mayor,2016,9,40,0
30 Hato Mayor,2016,9,41,0
30 Hato Mayor,2016,9,42,0
30 Hato Mayor,2016,9,43,0
30 Hato Mayor,2016,9,44,0
30 Hato Mayor,2016,9,45,0
30 Hato Mayor,2016,9,46,0
30 Hato Mayor,2016,9,47,0
30 Hato Mayor,2016,12,48,1
30 Hato Mayor,2016,12,49,0
30 Hato Mayor,2016,12,50,0
30 Hato Mayor,2016,12,51,0
30 Hato Mayor,2016,12,52,2
30 Hato Mayor,2017,12,1,0
30 Hato Mayor,2017,12,2,0
30 Hato Mayor,2017,12,3,0
30 Hato Mayor,2017,12,4,0
30 Hato Mayor,2017,12,5,0
30 Hato Mayor,2017,12,6,0
30 Hato Mayor,2017,12,7,0
30 Hato Mayor,2017,12,8,0
30 Hato Mayor,2017,3,9,1
30 Hato Mayor,2017,3,10,0
30 Hato Mayor,2017,3,11,0
30 Hato Mayor,2017,3,12,0
30 Hato Mayor,2017,3,13,0
30 Hato Mayor,2017,3,14,0
30 Hato Mayor,2017,3,15,0
30 Hato Mayor,2017,3,16,0
30 Hato Mayor,2017,3,17,0
30 Hato Mayor,2017,3,18,0
30 Hato Mayor,2017,3,19,0
30 Hato Mayor,2017,3,20,0
30 Hato Mayor,2017,3,21,0
30 Hato Mayor,2017,6,22,2
30 Hato Mayor,2017,6,23,1
30 Hato Mayor,2017,6,24,0
30 Hato Mayor,2017,6,25,0
30 Hato Mayor,2017,7,26,1
30 Hato Mayor,2017,7,27,0
30 Hato Mayor,2017,7,28,0
30 Hato Mayor,2017,7,29,1
30 Hato Mayor,2017,7,30,0
30 Hato Mayor,2017,7,31,0
30 Hato Mayor,2017,7,32,0
30 Hato Mayor,2017,7,33,0
30 Hato Mayor,2017,8,34,1
30 Hato Mayor,2017,8,35,0
30 Hato Mayor,2017,9,36,1
30 Hato Mayor,2017,9,37,1
30 Hato Mayor,2017,9,38,1
30 Hato Mayor,2017,9,39,5
30 Hato Mayor,2017,10,40,1
30 Hato Mayor,2017,10,41,0
30 Hato Mayor,2017,10,42,0
30 Hato Mayor,2017,10,43,1
30 Hato Mayor,2017,10,44,0
30 Hato Mayor,2017,10,45,0
30 Hato Mayor,2017,11,46,1
30 Hato Mayor,2017,11,47,0
30 Hato Mayor,2017,11,48,0
30 Hato Mayor,2017,11,49,0
30 Hato Mayor,2017,11,50,0
30 Hato Mayor,2017,11,51,0
30 Hato Mayor,2017,11,52,0
30 Hato Mayor,2018,11,1,0
30 Hato Mayor,2018,11,2,0
30 Hato Mayor,2018,11,3,0
30 Hato Mayor,2018,11,4,0
30 Hato Mayor,2018,2,5,1
30 Hato Mayor,2018,2,6,0
30 Hato Mayor,2018,2,7,0
30 Hato Mayor,2018,2,8,0
30 Hato Mayor,2018,2,9,0
30 Hato Mayor,2018,2,10,0
30 Hato Mayor,2018,2,11,0
30 Hato Mayor,2018,2,12,0
30 Hato Mayor,2018,2,13,0
30 Hato Mayor,2018,2,14,0
30 Hato Mayor,2018,4,15,3
30 Hato Mayor,2018,4,16,0
30 Hato Mayor,2018,4,17,0
30 Hato Mayor,2018,4,18,0
30 Hato Mayor,2018,4,19,0
30 Hato Mayor,2018,4,20,0
30 Hato Mayor,2018,4,21,0
30 Hato Mayor,2018,4,22,0
30 Hato Mayor,2018,6,23,2
30 Hato Mayor,2018,6,24,0
30 Hato Mayor,2018,6,25,0
30 Hato Mayor,2018,6,26,0
30 Hato Mayor,2018,6,27,0
30 Hato Mayor,2018,6,28,0
30 Hato Mayor,2018,6,29,0
30 Hato Mayor,2018,7,30,1
30 Hato Mayor,2018,8,31,1
30 Hato Mayor,2018,8,32,1
30 Hato Mayor,2018,8,33,0
30 Hato Mayor,2018,8,34,0
30 Hato Mayor,2018,8,35,0
30 Hato Mayor,2018,8,36,0
