province,year,month,week,total_cases
31 San José de Ocoa,2015,1,1,2
31 San José de Ocoa,2015,1,2,3
31 San José de Ocoa,2015,1,3,0
31 San José de Ocoa,2015,1,4,0
31 San José de Ocoa,2015,1,5,0
31 San José de Ocoa,2015,1,6,0
31 San José de Ocoa,2015,1,7,0
31 San José de Ocoa,2015,2,8,1
31 San José de Ocoa,2015,3,9,2
31 San José de Ocoa,2015,3,10,0
31 San José de Ocoa,2015,3,11,2
31 San José de Ocoa,2015,3,12,2
31 San José de Ocoa,2015,3,13,1
31 San José de Ocoa,2015,3,14,0
31 San José de Ocoa,2015,4,15,1
31 San José de Ocoa,2015,4,16,1
31 San José de Ocoa,2015,5,17,1
31 San José de Ocoa,2015,5,18,1
31 San José de Ocoa,2015,5,19,1
31 San José de Ocoa,2015,5,20,0
31 San José de Ocoa,2015,5,21,0
31 San José de Ocoa,2015,5,22,0
31 San José de Ocoa,2015,5,23,0
31 San José de Ocoa,2015,6,24,2
31 San José de Ocoa,2015,6,25,1
31 San José de Ocoa,2015,7,26,2
31 San José de Ocoa,2015,7,27,2
31 San José de Ocoa,2015,7,28,1
31 San José de Ocoa,2015,7,29,4
31 San José de Ocoa,2015,7,30,1
31 San José de Ocoa,2015,7,31,0
31 San José de Ocoa,2015,8,32,1
31 San José de Ocoa,2015,8,33,4
31 San José de Ocoa,2015,8,34,8
31 San José de Ocoa,2015,9,35,1
31 San José de Ocoa,2015,9,36,4
31 San José de Ocoa,2015,9,37,3
31 San José de Ocoa,2015,9,38,5
31 San José de Ocoa,2015,10,39,6
31 San José de Ocoa,2015,10,40,7
31 San José de Ocoa,2015,10,41,2
31 San José de Ocoa,2015,10,42,17
31 San José de Ocoa,2015,10,43,7
31 San José de Ocoa,2015,11,44,10
31 San José de Ocoa,2015,11,45,13
31 San José de Ocoa,2015,11,46,12
31 San José de Ocoa,2015,11,47,6
31 San José de Ocoa,2015,12,48,6
31 San José de Ocoa,2015,12,49,3
31 San José de Ocoa,2015,12,50,5
31 San José de Ocoa,2015,12,51,8
31 San José de Ocoa,2015,12,52,6
31 San José de Ocoa,2016,1,1,5
31 San José de Ocoa,2016,1,2,0
31 San José de Ocoa,2016,1,3,2
31 San José de Ocoa,2016,1,4,0
31 San José de Ocoa,2016,2,5,2
31 San José de Ocoa,2016,2,6,3
31 San José de Ocoa,2016,2,7,1
31 San José de Ocoa,2016,2,8,0
31 San José de Ocoa,2016,3,9,2
31 San José de Ocoa,2016,3,10,1
31 San José de Ocoa,2016,3,11,0
31 San José de Ocoa,2016,3,12,2
31 San José de Ocoa,2016,4,13,3
31 San José de Ocoa,2016,4,14,4
31 San José de Ocoa,2016,4,15,6
31 San José de Ocoa,2016,4,16,5
31 San José de Ocoa,2016,4,17,0
31 San José de Ocoa,2016,4,18,0
31 San José de Ocoa,2016,4,19,0
31 San José de Ocoa,2016,5,20,5
31 San José de Ocoa,2016,5,21,2
31 San José de Ocoa,2016,6,22,10
31 San José de Ocoa,2016,6,23,12
31 San José de Ocoa,2016,6,24,5
31 San José de Ocoa,2016,6,25,4
31 San José de Ocoa,2016,7,26,3
31 San José de Ocoa,2016,7,27,3
31 San José de Ocoa,2016,7,28,1
31 San José de Ocoa,2016,7,29,2
31 San José de Ocoa,2016,7,30,0
31 San José de Ocoa,2016,8,31,4
31 San José de Ocoa,2016,8,32,1
31 San José de Ocoa,2016,8,33,1
31 San José de Ocoa,2016,8,34,1
31 San José de Ocoa,2016,8,35,2
31 San José de Ocoa,2016,9,36,2
31 San José de Ocoa,2016,9,37,0
31 San José de Ocoa,2016,9,38,0
31 San José de Ocoa,2016,9,39,0
31 San José de Ocoa,2016,10,40,4
31 San José de Ocoa,2016,10,41,4
31 San José de Ocoa,2016,10,42,1
31 San José de Ocoa,2016,10,43,1
31 San José de Ocoa,2016,10,44,1
31 San José de Ocoa,2016,10,45,0
31 San José de Ocoa,2016,10,46,0
31 San José de Ocoa,2016,10,47,0
31 San José de Ocoa,2016,10,48,0
31 San José de Ocoa,2016,10,49,0
31 San José de Ocoa,2016,10,50,0
31 San José de Ocoa,2016,10,51,0
31 San José de Ocoa,2016,12,52,1
31 San José de Ocoa,2017,1,1,1
31 San José de Ocoa,2017,1,2,1
31 San José de Ocoa,2017,1,3,0
31 San José de Ocoa,2017,1,4,0
31 San José de Ocoa,2017,2,5,1
31 San José de Ocoa,2017,2,6,0
31 San José de Ocoa,2017,2,7,0
31 San José de Ocoa,2017,2,8,0
31 San José de Ocoa,2017,2,9,0
31 San José de Ocoa,2017,2,10,0
31 San José de Ocoa,2017,2,11,0
31 San José de Ocoa,2017,3,12,1
31 San José de Ocoa,2017,3,13,1
31 San José de Ocoa,2017,4,14,1
31 San José de Ocoa,2017,4,15,0
31 San José de Ocoa,2017,4,16,1
31 San José de Ocoa,2017,4,17,1
31 San José de Ocoa,2017,4,18,0
31 San José de Ocoa,2017,4,19,0
31 San José de Ocoa,2017,5,20,5
31 San José de Ocoa,2017,5,21,2
31 San José de Ocoa,2017,5,22,4
31 San José de Ocoa,2017,6,23,2
31 San José de Ocoa,2017,6,24,0
31 San José de Ocoa,2017,6,25,0
31 San José de Ocoa,2017,6,26,2
31 San José de Ocoa,2017,7,27,1
31 San José de Ocoa,2017,7,28,0
31 San José de Ocoa,2017,7,29,0
31 San José de Ocoa,2017,7,30,0
31 San José de Ocoa,2017,8,31,3
31 San José de Ocoa,2017,8,32,0
31 San José de Ocoa,2017,8,33,1
31 San José de Ocoa,2017,8,34,3
31 San José de Ocoa,2017,8,35,0
31 San José de Ocoa,2017,8,36,0
31 San José de Ocoa,2017,8,37,0
31 San José de Ocoa,2017,9,38,3
31 San José de Ocoa,2017,9,39,1
31 San José de Ocoa,2017,10,40,1
31 San José de Ocoa,2017,10,41,0
31 San José de Ocoa,2017,10,42,1
31 San José de Ocoa,2017,10,43,1
31 San José de Ocoa,2017,10,44,0
31 San José de Ocoa,2017,10,45,0
31 San José de Ocoa,2017,10,46,0
31 San José de Ocoa,2017,10,47,0
31 San José de Ocoa,2017,10,48,0
31 San José de Ocoa,2017,12,49,1
31 San José de Ocoa,2017,12,50,0
31 San José de Ocoa,2017,12,51,0
31 San José de Ocoa,2017,12,52,0
31 San José de Ocoa,2018,12,1,0
31 San José de Ocoa,2018,12,2,0
31 San José de Ocoa,2018,1,3,1
31 San José de Ocoa,2018,1,4,0
31 San José de Ocoa,2018,1,5,0
31 San José de Ocoa,2018,1,6,0
31 San José de Ocoa,2018,1,7,0
31 San José de Ocoa,2018,1,8,0
31 San José de Ocoa,2018,1,9,0
31 San José de Ocoa,2018,1,10,0
31 San José de Ocoa,2018,1,11,0
31 San José de Ocoa,2018,1,12,0
31 San José de Ocoa,2018,1,13,0
31 San José de Ocoa,2018,1,14,0
31 San José de Ocoa,2018,1,15,0
31 San José de Ocoa,2018,1,16,0
31 San José de Ocoa,2018,1,17,0
31 San José de Ocoa,2018,5,18,2
31 San José de Ocoa,2018,5,19,0
31 San José de Ocoa,2018,5,20,0
31 San José de Ocoa,2018,5,21,1
31 San José de Ocoa,2018,5,22,0
31 San José de Ocoa,2018,6,23,1
31 San José de Ocoa,2018,6,24,1
31 San José de Ocoa,2018,6,25,0
31 San José de Ocoa,2018,6,26,0
31 San José de Ocoa,2018,6,27,0
31 San José de Ocoa,2018,7,28,2
31 San José de Ocoa,2018,7,29,1
31 San José de Ocoa,2018,7,30,0
31 San José de Ocoa,2018,8,31,1
31 San José de Ocoa,2018,8,32,0
31 San José de Ocoa,2018,8,33,1
31 San José de Ocoa,2018,8,34,1
31 San José de Ocoa,2018,8,35,1
31 San José de Ocoa,2018,8,36,0
31 San José de Ocoa,2018,9,37,1
31 San José de Ocoa,2018,9,38,1
31 San José de Ocoa,2018,9,39,0
31 San José de Ocoa,2018,10,40,1
31 San José de Ocoa,2018,10,41,2
31 San José de Ocoa,2018,10,42,0
31 San José de Ocoa,2018,10,43,0
31 San José de Ocoa,2018,10,44,0
31 San José de Ocoa,2018,11,45,3
31 San José de Ocoa,2018,11,46,3
