province,year,month,week,total_cases
32 Santo Domingo,2015,1,1,32
32 Santo Domingo,2015,1,2,24
32 Santo Domingo,2015,1,3,25
32 Santo Domingo,2015,1,4,19
32 Santo Domingo,2015,2,5,21
32 Santo Domingo,2015,2,6,26
32 Santo Domingo,2015,2,7,20
32 Santo Domingo,2015,2,8,26
32 Santo Domingo,2015,3,9,38
32 Santo Domingo,2015,3,10,21
32 Santo Domingo,2015,3,11,15
32 Santo Domingo,2015,3,12,24
32 Santo Domingo,2015,4,13,31
32 Santo Domingo,2015,4,14,33
32 Santo Domingo,2015,4,15,15
32 Santo Domingo,2015,4,16,28
32 Santo Domingo,2015,5,17,24
32 Santo Domingo,2015,5,18,39
32 Santo Domingo,2015,5,19,24
32 Santo Domingo,2015,5,20,24
32 Santo Domingo,2015,5,21,26
32 Santo Domingo,2015,6,22,31
32 Santo Domingo,2015,6,23,31
32 Santo Domingo,2015,6,24,31
32 Santo Domingo,2015,6,25,50
32 Santo Domingo,2015,7,26,50
32 Santo Domingo,2015,7,27,60
32 Santo Domingo,2015,7,28,63
32 Santo Domingo,2015,7,29,58
32 Santo Domingo,2015,8,30,92
32 Santo Domingo,2015,8,31,98
32 Santo Domingo,2015,8,32,94
32 Santo Domingo,2015,8,33,111
32 Santo Domingo,2015,8,34,91
32 Santo Domingo,2015,9,35,115
32 Santo Domingo,2015,9,36,165
32 Santo Domingo,2015,9,37,150
32 Santo Domingo,2015,9,38,180
32 Santo Domingo,2015,10,39,234
32 Santo Domingo,2015,10,40,250
32 Santo Domingo,2015,10,41,291
32 Santo Domingo,2015,10,42,289
32 Santo Domingo,2015,10,43,276
32 Santo Domingo,2015,11,44,227
32 Santo Domingo,2015,11,45,212
32 Santo Domingo,2015,11,46,196
32 Santo Domingo,2015,11,47,167
32 Santo Domingo,2015,12,48,147
32 Santo Domingo,2015,12,49,146
32 Santo Domingo,2015,12,50,116
32 Santo Domingo,2015,12,51,99
32 Santo Domingo,2015,12,52,136
32 Santo Domingo,2016,1,1,133
32 Santo Domingo,2016,1,2,105
32 Santo Domingo,2016,1,3,109
32 Santo Domingo,2016,1,4,93
32 Santo Domingo,2016,2,5,105
32 Santo Domingo,2016,2,6,58
32 Santo Domingo,2016,2,7,66
32 Santo Domingo,2016,2,8,35
32 Santo Domingo,2016,3,9,41
32 Santo Domingo,2016,3,10,36
32 Santo Domingo,2016,3,11,43
32 Santo Domingo,2016,3,12,34
32 Santo Domingo,2016,4,13,37
32 Santo Domingo,2016,4,14,23
32 Santo Domingo,2016,4,15,36
32 Santo Domingo,2016,4,16,31
32 Santo Domingo,2016,4,17,15
32 Santo Domingo,2016,5,18,27
32 Santo Domingo,2016,5,19,20
32 Santo Domingo,2016,5,20,18
32 Santo Domingo,2016,5,21,30
32 Santo Domingo,2016,6,22,32
32 Santo Domingo,2016,6,23,41
32 Santo Domingo,2016,6,24,50
32 Santo Domingo,2016,6,25,54
32 Santo Domingo,2016,7,26,40
32 Santo Domingo,2016,7,27,31
32 Santo Domingo,2016,7,28,28
32 Santo Domingo,2016,7,29,28
32 Santo Domingo,2016,7,30,11
32 Santo Domingo,2016,8,31,11
32 Santo Domingo,2016,8,32,12
32 Santo Domingo,2016,8,33,9
32 Santo Domingo,2016,8,34,10
32 Santo Domingo,2016,9,35,12
32 Santo Domingo,2016,9,36,6
32 Santo Domingo,2016,9,37,7
32 Santo Domingo,2016,9,38,8
32 Santo Domingo,2016,10,39,8
32 Santo Domingo,2016,10,40,6
32 Santo Domingo,2016,10,41,13
32 Santo Domingo,2016,10,42,13
32 Santo Domingo,2016,10,43,20
32 Santo Domingo,2016,11,44,10
32 Santo Domingo,2016,11,45,7
32 Santo Domingo,2016,11,46,3
32 Santo Domingo,2016,11,47,16
32 Santo Domingo,2016,12,48,9
32 Santo Domingo,2016,12,49,3
32 Santo Domingo,2016,12,50,5
32 Santo Domingo,2016,12,51,6
32 Santo Domingo,2016,12,52,3
32 Santo Domingo,2017,1,1,7
32 Santo Domingo,2017,1,2,2
32 Santo Domingo,2017,1,3,5
32 Santo Domingo,2017,1,4,3
32 Santo Domingo,2017,2,5,7
32 Santo Domingo,2017,2,6,3
32 Santo Domingo,2017,2,7,4
32 Santo Domingo,2017,2,8,5
32 Santo Domingo,2017,3,9,8
32 Santo Domingo,2017,3,10,3
32 Santo Domingo,2017,3,11,6
32 Santo Domingo,2017,3,12,4
32 Santo Domingo,2017,3,13,5
32 Santo Domingo,2017,4,14,6
32 Santo Domingo,2017,4,15,4
32 Santo Domingo,2017,4,16,7
32 Santo Domingo,2017,4,17,4
32 Santo Domingo,2017,5,18,10
32 Santo Domingo,2017,5,19,14
32 Santo Domingo,2017,5,20,17
32 Santo Domingo,2017,5,21,8
32 Santo Domingo,2017,6,22,8
32 Santo Domingo,2017,6,23,8
32 Santo Domingo,2017,6,24,11
32 Santo Domingo,2017,6,25,9
32 Santo Domingo,2017,6,26,6
32 Santo Domingo,2017,7,27,4
32 Santo Domingo,2017,7,28,10
32 Santo Domingo,2017,7,29,4
32 Santo Domingo,2017,7,30,11
