province,year,month,week,total_cases,avg_temp,max_temp,min_temp,avg_rainfall,max_rainfall,min_rainfall,avg_humidity,max_humidity,min_humidity,population
01 Distrito Nacional,2015,1,1,5,24.42,29.3,20.9,0.45,1.2,0.0,75.3,95,50,1007997
01 Distrito Nacional,2015,1,2,11,23.84,29.3,20.2,0.73,1.9,0.0,76.3,93,45,1007997
01 Distrito Nacional,2015,1,3,2,24.11,28.6,20.1,1.16,2.3,0.0,80.0,96,54,1007997
01 Distrito Nacional,2015,1,4,5,24.14,29.1,20.0,0.1,0.4,0.0,75.1,94,49,1007997
01 Distrito Nacional,2015,2,5,6,23.21,28.2,19.4,2.31,4.5,0.1,81.2,97,60,1007997
01 Distrito Nacional,2015,2,6,6,23.83,28.4,20.2,0.86,2.9,0.0,78.3,95,52,1007997
01 Distrito Nacional,2015,2,7,7,24.26,29.8,20.3,0.7,2.2,0.0,75.7,95,51,1007997
01 Distrito Nacional,2015,2,8,5,23.74,30.1,18.9,3.41,13.1,0.0,76.4,97,47,1007997
01 Distrito Nacional,2015,3,9,13,24.11,29.5,19.8,1.8,5.0,0.0,76.0,96,45,1007997
01 Distrito Nacional,2015,3,10,4,23.8,28.9,20.4,1.29,2.4,0.5,72.4,91,44,1007997
01 Distrito Nacional,2015,3,11,4,24.31,30.2,20.1,1.8,4.4,0.0,71.8,91,38,1007997
01 Distrito Nacional,2015,3,12,4,24.36,29.7,20.1,0.4,1.0,0.0,73.1,93,38,1007997
01 Distrito Nacional,2015,4,13,6,24.9,29.5,20.5,0.53,1.3,0.0,74.2,96,50,1007997
01 Distrito Nacional,2015,4,14,8,24.36,29.6,20.4,1.5,4.1,0.0,72.8,92,43,1007997
01 Distrito Nacional,2015,4,15,10,24.74,29.2,21.0,1.7,3.5,0.0,74.4,90,50,1007997
01 Distrito Nacional,2015,4,16,19,25.27,30.5,21.2,0.46,0.7,0.0,72.0,96,42,1007997
01 Distrito Nacional,2015,5,17,10,25.74,30.8,21.5,0.4,1.1,0.0,75.5,97,52,1007997
01 Distrito Nacional,2015,5,18,17,26.49,30.7,22.3,0.03,0.2,0.0,73.8,94,48,1007997
01 Distrito Nacional,2015,5,19,16,25.91,30.8,20.9,0.91,2.4,0.0,73.0,97,46,1007997
01 Distrito Nacional,2015,5,20,18,26.14,31.9,22.4,0.69,1.8,0.0,70.7,89,39,1007997
01 Distrito Nacional,2015,5,21,24,26.37,31.3,22.5,1.24,2.2,0.3,74.5,93,48,1007997
01 Distrito Nacional,2015,6,22,20,25.77,30.5,21.7,1.97,7.8,0.3,75.4,94,50,1007997
01 Distrito Nacional,2015,6,23,23,26.46,30.8,22.6,0.9,1.9,0.0,77.7,96,54,1007997
