geographic_Region,population,surface_area_km,pop_density_km,,
Total,9445281.00,48311.00,196.00,,
Región Ozama,3339410.00,1393.80,2396.00,,
Distrito Nacional,965040.00,91.60,10538.00,,
Municipio Santo Domingo de Guzmán,965040.00,91.60,10538.00,,
Santo Domingo de Guzmán,965040.00,91.60,10538.00,,
Provincia Santo Domingo,2374370.00,1302.20,1823.00,,
Municipio Santo Domingo Este,948885.00,169.20,5609.00,,
Santo Domingo Este,891952.00,123.30,7233.00,,
San Luis (D.M.),56933.00,45.90,1241.00,,
Municipio Santo Domingo Oeste,363321.00,54.00,6728.00,,
Santo Domingo Oeste,363321.00,54.00,6728.00,,
Municipio Santo Domingo Norte,529390.00,387.90,1365.00,,
Santo Domingo Norte,468468.00,172.10,2722.00,,
La Victoria (D.M.),60922.00,215.80,282.00,,
Municipio Boca Chica,142019.00,140.90,1008.00,,
Boca Chica,78882.00,106.50,741.00,,
La Caleta (D.M.),63137.00,34.30,1838.00,,
Municipio San Antonio de Guerra,43963.00,283.70,155.00,,
San Antonio de Guerra,38215.00,228.80,167.00,,
Hato Viejo (D.M.),5748.00,54.90,105.00,,
Municipio Los Alcarrizos,272776.00,45.20,6038.00,,
Los Alcarrizos,206557.00,31.80,6492.00,,
Palmarejo-Villa Linda (D.M.),16099.00,7.20,2246.00,,
Pantoja (D.M.),50120.00,6.20,8096.00,,
Municipio Pedro Brand,74016.00,221.40,334.00,,
Pedro Brand,40970.00,54.60,750.00,,
La Guáyiga (D.M.),23222.00,26.90,863.00,,
La Cuaba (D.M.),9824.00,139.90,70.00,,
Región Cibao Norte,1516957.00,5454.90,278.00,,
Provincia Espaillat,231938.00,843.00,275.00,,
Municipio Moca,179829.00,340.50,528.00,,
Moca,94981.00,75.00,1267.00,,
José Contreras (D.M.),4498.00,67.80,66.00,,
San Víctor (D.M.),21009.00,88.20,238.00,,
Juan López (D.M.),14777.00,21.60,683.00,,
Las Lagunas (D.M.),15241.00,41.80,364.00,,
Canca la Reyna  (D.M.),10998.00,15.00,732.00,,
El Higüerito (D.M.),9673.00,15.20,636.00,,
Monte de la Jagua (D.M.),5810.00,12.40,469.00,,
La Ortega (D.M.),2842.00,3.30,853.00,,
Municipio Cayetano Germosén,6911.00,17.90,385.00,,
Cayetano Germosén,6911.00,17.90,385.00,,
Municipio Gaspar Hernández,37378.00,370.50,101.00,,
Gaspar Hernández,15182.00,150.40,101.00,,
Joba Arriba (D.M.),3601.00,67.90,53.00,,
Veragua (D.M.),15320.00,64.60,237.00,,
Villa Magante (D.M.),3275.00,87.60,37.00,,
Municipio Jamao al Norte,7820.00,114.00,69.00,,
Jamao al Norte,7820.00,114.00,69.00,,
Provincia Puerto Plata,321597.00,1805.60,178.00,,
Municipio Puerto Plata,158756.00,503.00,316.00,,
Puerto Plata,128240.00,210.70,609.00,,
Yásica Arriba (D.M.),8791.00,128.70,68.00,,
Maimón (D.M.),21725.00,163.60,133.00,,
Municipio Altamira,18868.00,177.40,106.00,,
Altamira,14293.00,103.20,138.00,,
Río Grande (D.M.),4575.00,74.10,62.00,,
Municipio Guananico,6333.00,59.70,106.00,,
Guananico,6333.00,59.70,106.00,,
Municipio Imbert,22058.00,160.90,137.00,,
Imbert,22058.00,160.90,137.00,,
Municipio Los Hidalgos,12639.00,97.50,130.00,,
Los Hidalgos,9050.00,65.10,139.00,,
Navas (D.M.),3589.00,32.50,111.00,,
Municipio Luperón,16464.00,255.80,64.00,,
Luperón,9364.00,157.40,59.00,,
La Isabela (D.M.),1677.00,44.70,38.00,,
Belloso (D.M.),2582.00,31.30,83.00,,
El Estrecho de Luperón Omar Bross (D.M.),2841.00,22.50,127.00,,
Municipio Sosúa,49593.00,267.70,185.00,,
Sosúa,29653.00,152.00,195.00,,
Cabarete (D.M.),14606.00,93.40,156.00,,
Sabaneta de Yásica (D.M.),5334.00,22.30,239.00,,
Municipio Villa Isabela,17169.00,211.70,81.00,,
Villa Isabela,9746.00,48.70,200.00,,
Estero Hondo (D.M.),3104.00,66.10,47.00,,
La Jaiba (D.M.),2273.00,57.40,40.00,,
Gualete (D.M.),2046.00,39.40,52.00,,
Municipio Villa Montellano,19717.00,71.90,274.00,,
Villa Montellano,19717.00,71.90,274.00,,
