,Region,Population,Area,density,lat,long
1,Distrito Nacional,965040,91.6,10538,18.4860575,-69.9312117
2,Municipio Santo Domingo de Guzmán,965040,91.6,10538,18.4860575,-69.9312117
3,Santo Domingo de Guzmán,965040,91.6,10538,18.4860575,-69.9312117
4,Provincia Santo Domingo,2374370,1302.2,1823,18.5104253,-69.8404054
5,Municipio Santo Domingo Este,948885,169.2,5609,18.4893469,-69.8255369
6,Santo Domingo Este,891952,123.3,7233,18.4893469,-69.8255369
7,San Luis (D.M.),56933,45.9,1241,18.5443958,-69.796242
8,Municipio Santo Domingo Oeste,363321,54,6728,18.4888797,-70.0086306
9,Santo Domingo Oeste,363321,54,6728,18.4888797,-70.0086306
10,Municipio Santo Domingo Norte,529390,387.9,1365,18.5209224,-69.9154384
11,Santo Domingo Norte,468468,172.1,2722,18.5967399,-69.9073888
12,La Victoria (D.M.),60922,215.8,282,18.550108,-69.899875
13,Municipio Boca Chica,142019,140.9,1008,18.4547535,-69.6082811
14,Boca Chica,78882,106.5,741,18.4547535,-69.6082811
15,La Caleta (D.M.),63137,34.3,1838,18.4060705,-68.9942795
16,Municipio San Antonio de Guerra,43963,283.7,155,18.5576845,-69.7012322
17,San Antonio de Guerra,38215,228.8,167,18.5576845,-69.7012322
18,Hato Viejo (D.M.),5748,54.9,105,18.5401183,-69.6293619
19,Municipio Los Alcarrizos,272776,45.2,6038,18.5254912,-70.03245
20,Los Alcarrizos,206557,31.8,6492,18.5254912,-70.03245
21,Palmarejo-Villa Linda (D.M.),16099,7.2,2246,18.5366524,-70.0098233
22,Pantoja (D.M.),50120,6.2,8096,18.5262784,-69.9997922
23,Municipio Pedro Brand,74016,221.4,334,18.5686973,-70.092516
24,Pedro Brand,40970,54.6,750,18.5686973,-70.092516
25,La Guáyiga (D.M.),23222,26.9,863,18.546894,-70.0411525
26,La Cuaba (D.M.),9824,139.9,70,18.6489869,-70.0615942
