province,year,population
01 Distrito Nacional,2015,1007997
01 Distrito Nacional,2016,1015150
01 Distrito Nacional,2017,1022236
01 Distrito Nacional,2018,1029607
01 Distrito Nacional,2019,1036494
01 Distrito Nacional,2020,1043186
01 Distrito Nacional,2021,1049567
01 Distrito Nacional,2022,1056690
01 Distrito Nacional,2023,1063514
02 Azua,2015,219224
02 Azua,2016,219856
02 Azua,2017,220470
02 Azua,2018,221150
02 Azua,2019,221726
02 Azua,2020,222256
02 Azua,2021,222610
02 Azua,2022,223258
02 Azua,2023,223797
03 Baoruco,2015,99244
03 Baoruco,2016,99607
03 Baoruco,2017,99964
03 Baoruco,2018,100348
03 Baoruco,2019,100687
03 Baoruco,2020,101005
03 Baoruco,2021,101306
03 Baoruco,2022,101664
03 Baoruco,2023,101998
04 Barahona,2015,188706
04 Barahona,2016,188820
04 Barahona,2017,188929
04 Barahona,2018,189080
04 Barahona,2019,189149
04 Barahona,2020,189177
04 Barahona,2021,189100
04 Barahona,2022,189219
04 Barahona,2023,189263
05 Dajabón,2015,65271
05 Dajabón,2016,65519
05 Dajabón,2017,65760
05 Dajabón,2018,66017
05 Dajabón,2019,66249
05 Dajabón,2020,66467
05 Dajabón,2021,66675
05 Dajabón,2022,66918
05 Dajabón,2023,67146
06 Duarte,2015,294906
06 Duarte,2016,295741
06 Duarte,2017,296558
06 Duarte,2018,297452
06 Duarte,2019,298209
06 Duarte,2020,298913
06 Duarte,2021,299583
06 Duarte,2022,300396
06 Duarte,2023,301147
07 Elías Piña,2015,63450
07 Elías Piña,2016,63449
07 Elías Piña,2017,63438
07 Elías Piña,2018,63452
07 Elías Piña,2019,63437
07 Elías Piña,2020,63402
07 Elías Piña,2021,63303
07 Elías Piña,2022,63310
07 Elías Piña,2023,63278
08 El Seibo,2015,90676
08 El Seibo,2016,91256
08 El Seibo,2017,91826
08 El Seibo,2018,92418
08 El Seibo,2019,92973
08 El Seibo,2020,93508
08 El Seibo,2021,94049
08 El Seibo,2022,94616
