province,year,week,avg_humidity,max_humidity,min_humidity
01 Distrito Nacional,2015,1,75.3,95,50
01 Distrito Nacional,2015,2,76.3,93,45
01 Distrito Nacional,2015,3,80.0,96,54
01 Distrito Nacional,2015,4,75.1,94,49
01 Distrito Nacional,2015,5,81.2,97,60
01 Distrito Nacional,2015,6,78.3,95,52
01 Distrito Nacional,2015,7,75.7,95,51
01 Distrito Nacional,2015,8,76.4,97,47
01 Distrito Nacional,2015,9,76.0,96,45
01 Distrito Nacional,2015,10,72.4,91,44
01 Distrito Nacional,2015,11,71.8,91,38
01 Distrito Nacional,2015,12,73.1,93,38
01 Distrito Nacional,2015,13,74.2,96,50
01 Distrito Nacional,2015,14,72.8,92,43
01 Distrito Nacional,2015,15,74.4,90,50
01 Distrito Nacional,2015,16,72.0,96,42
01 Distrito Nacional,2015,17,75.5,97,52
01 Distrito Nacional,2015,18,73.8,94,48
01 Distrito Nacional,2015,19,73.0,97,46
01 Distrito Nacional,2015,20,70.7,89,39
01 Distrito Nacional,2015,21,74.5,93,48
01 Distrito Nacional,2015,22,75.4,94,50
01 Distrito Nacional,2015,23,77.7,96,54
01 Distrito Nacional,2015,24,75.9,95,54
01 Distrito Nacional,2015,25,75.4,92,47
01 Distrito Nacional,2015,26,76.9,96,50
01 Distrito Nacional,2015,27,73.5,96,46
01 Distrito Nacional,2015,28,73.5,94,43
01 Distrito Nacional,2015,29,75.2,93,46
01 Distrito Nacional,2015,30,75.9,97,47
01 Distrito Nacional,2015,31,70.3,96,46
01 Distrito Nacional,2015,32,73.6,95,42
01 Distrito Nacional,2015,33,72.7,92,45
01 Distrito Nacional,2015,34,74.6,94,48
01 Distrito Nacional,2015,35,79.6,97,49
01 Distrito Nacional,2015,36,81.7,97,58
01 Distrito Nacional,2015,37,79.7,96,52
01 Distrito Nacional,2015,38,82.1,97,56
01 Distrito Nacional,2015,39,82.7,97,63
01 Distrito Nacional,2015,40,76.8,92,58
01 Distrito Nacional,2015,41,78.5,96,51
01 Distrito Nacional,2015,42,80.0,95,55
01 Distrito Nacional,2015,43,78.3,96,52
01 Distrito Nacional,2015,44,82.3,96,56
01 Distrito Nacional,2015,45,84.4,96,57
01 Distrito Nacional,2015,46,82.6,96,55
01 Distrito Nacional,2015,47,78.7,95,48
01 Distrito Nacional,2015,48,79.5,98,51
01 Distrito Nacional,2015,49,84.4,96,61
01 Distrito Nacional,2015,50,82.2,96,57
01 Distrito Nacional,2015,51,83.1,96,56
01 Distrito Nacional,2015,52,79.3,95,51
01 Distrito Nacional,2016,1,80.7,96,43
01 Distrito Nacional,2016,2,75.2,95,46
01 Distrito Nacional,2016,3,75.3,95,40
01 Distrito Nacional,2016,4,77.5,96,53
01 Distrito Nacional,2016,5,75.1,96,42
01 Distrito Nacional,2016,6,77.2,98,50
01 Distrito Nacional,2016,7,76.3,98,42
01 Distrito Nacional,2016,8,76.3,96,47
01 Distrito Nacional,2016,9,74.6,95,51
01 Distrito Nacional,2016,10,66.4,95,37
01 Distrito Nacional,2016,11,77.6,96,46
01 Distrito Nacional,2016,12,74.1,95,46
01 Distrito Nacional,2016,13,76.5,98,43
01 Distrito Nacional,2016,14,78.1,96,52
01 Distrito Nacional,2016,15,70.7,91,42
01 Distrito Nacional,2016,16,71.1,96,45
01 Distrito Nacional,2016,17,86.1,97,57
01 Distrito Nacional,2016,18,84.3,97,63
01 Distrito Nacional,2016,19,82.0,97,60
01 Distrito Nacional,2016,20,81.4,97,62
01 Distrito Nacional,2016,21,82.6,98,61
01 Distrito Nacional,2016,22,87.9,99,69
01 Distrito Nacional,2016,23,83.0,98,62
01 Distrito Nacional,2016,24,81.1,97,53
01 Distrito Nacional,2016,25,83.6,96,62
01 Distrito Nacional,2016,26,82.3,97,59
01 Distrito Nacional,2016,27,79.8,94,58
01 Distrito Nacional,2016,28,79.1,95,51
01 Distrito Nacional,2016,29,79.2,95,55
01 Distrito Nacional,2016,30,80.9,93,56
01 Distrito Nacional,2016,31,85.2,98,55
01 Distrito Nacional,2016,32,81.0,97,55
01 Distrito Nacional,2016,33,77.8,94,51
01 Distrito Nacional,2016,34,85.0,98,58
01 Distrito Nacional,2016,35,80.9,97,50
01 Distrito Nacional,2016,36,82.4,97,47
01 Distrito Nacional,2016,37,80.2,96,56
01 Distrito Nacional,2016,38,81.6,97,61
01 Distrito Nacional,2016,39,81.0,96,55
01 Distrito Nacional,2016,40,87.0,98,62
01 Distrito Nacional,2016,41,84.3,97,63
01 Distrito Nacional,2016,42,85.9,96,64
01 Distrito Nacional,2016,43,82.3,97,62
01 Distrito Nacional,2016,44,83.8,97,62
01 Distrito Nacional,2016,45,85.3,96,66
01 Distrito Nacional,2016,46,86.7,97,69
01 Distrito Nacional,2016,47,83.4,96,61
01 Distrito Nacional,2016,48,82.7,97,56
01 Distrito Nacional,2016,49,81.9,94,55
01 Distrito Nacional,2016,50,82.0,96,56
01 Distrito Nacional,2016,51,82.1,93,61
01 Distrito Nacional,2016,52,81.3,97,63
01 Distrito Nacional,2017,1,82.3,96,55
01 Distrito Nacional,2017,2,72.6,91,42
01 Distrito Nacional,2017,3,72.7,94,41
01 Distrito Nacional,2017,4,74.9,95,44
01 Distrito Nacional,2017,5,77.4,96,46
01 Distrito Nacional,2017,6,78.1,96,53
01 Distrito Nacional,2017,7,78.5,95,51
01 Distrito Nacional,2017,8,73.7,93,38
01 Distrito Nacional,2017,9,71.0,93,36
01 Distrito Nacional,2017,10,69.6,91,40
01 Distrito Nacional,2017,11,76.2,96,39
01 Distrito Nacional,2017,12,77.0,96,42
01 Distrito Nacional,2017,13,70.2,94,33
01 Distrito Nacional,2017,14,72.2,94,45
01 Distrito Nacional,2017,15,65.6,88,34
01 Distrito Nacional,2017,16,78.0,96,45
01 Distrito Nacional,2017,17,88.0,98,70
01 Distrito Nacional,2017,18,85.0,96,64
01 Distrito Nacional,2017,19,80.6,97,54
01 Distrito Nacional,2017,20,82.5,97,59
01 Distrito Nacional,2017,21,79.0,95,57
01 Distrito Nacional,2017,22,80.5,95,54
01 Distrito Nacional,2017,23,80.4,97,57
01 Distrito Nacional,2017,24,78.3,97,46
01 Distrito Nacional,2017,25,78.1,96,47
01 Distrito Nacional,2017,26,80.0,95,53
01 Distrito Nacional,2017,27,79.4,95,52
01 Distrito Nacional,2017,28,83.0,99,60
01 Distrito Nacional,2017,29,78.2,96,46
01 Distrito Nacional,2017,30,82.2,96,63
01 Distrito Nacional,2017,31,79.6,95,41
01 Distrito Nacional,2017,32,82.1,96,49
01 Distrito Nacional,2017,33,82.7,97,48
01 Distrito Nacional,2017,34,82.2,96,58
01 Distrito Nacional,2017,35,81.6,97,49
01 Distrito Nacional,2017,36,82.8,94,62
01 Distrito Nacional,2017,37,85.7,96,63
01 Distrito Nacional,2017,38,82.7,97,56
01 Distrito Nacional,2017,39,85.1,98,56
01 Distrito Nacional,2017,40,86.8,98,61
