province,year,week,avg_rainfall,max_rainfall,min_rainfall
01 Distrito Nacional,2015,1,0.45,1.2,0.0
01 Distrito Nacional,2015,2,0.73,1.9,0.0
01 Distrito Nacional,2015,3,1.16,2.3,0.0
01 Distrito Nacional,2015,4,0.1,0.4,0.0
01 Distrito Nacional,2015,5,2.31,4.5,0.1
01 Distrito Nacional,2015,6,0.86,2.9,0.0
01 Distrito Nacional,2015,7,0.7,2.2,0.0
01 Distrito Nacional,2015,8,3.41,13.1,0.0
01 Distrito Nacional,2015,9,1.8,5.0,0.0
01 Distrito Nacional,2015,10,1.29,2.4,0.5
01 Distrito Nacional,2015,11,1.8,4.4,0.0
01 Distrito Nacional,2015,12,0.4,1.0,0.0
01 Distrito Nacional,2015,13,0.53,1.3,0.0
01 Distrito Nacional,2015,14,1.5,4.1,0.0
01 Distrito Nacional,2015,15,1.7,3.5,0.0
01 Distrito Nacional,2015,16,0.46,0.7,0.0
01 Distrito Nacional,2015,17,0.4,1.1,0.0
01 Distrito Nacional,2015,18,0.03,0.2,0.0
01 Distrito Nacional,2015,19,0.91,2.4,0.0
01 Distrito Nacional,2015,20,0.69,1.8,0.0
01 Distrito Nacional,2015,21,1.24,2.2,0.3
01 Distrito Nacional,2015,22,1.97,7.8,0.3
01 Distrito Nacional,2015,23,0.9,1.9,0.0
01 Distrito Nacional,2015,24,1.27,3.2,0.1
01 Distrito Nacional,2015,25,1.36,4.3,0.0
01 Distrito Nacional,2015,26,3.04,6.7,0.0
01 Distrito Nacional,2015,27,1.51,3.3,0.3
01 Distrito Nacional,2015,28,1.59,5.5,0.0
01 Distrito Nacional,2015,29,1.21,2.4,0.2
01 Distrito Nacional,2015,30,0.56,1.1,0.0
01 Distrito Nacional,2015,31,0.34,0.7,0.0
01 Distrito Nacional,2015,32,1.2,2.3,0.2
01 Distrito Nacional,2015,33,1.0,5.1,0.0
01 Distrito Nacional,2015,34,0.31,1.0,0.0
01 Distrito Nacional,2015,35,14.51,79.6,0.0
01 Distrito Nacional,2015,36,0.99,2.9,0.0
01 Distrito Nacional,2015,37,4.37,16.7,0.1
01 Distrito Nacional,2015,38,1.74,8.0,0.0
01 Distrito Nacional,2015,39,1.64,5.4,0.0
01 Distrito Nacional,2015,40,0.37,1.6,0.0
01 Distrito Nacional,2015,41,1.16,6.2,0.0
01 Distrito Nacional,2015,42,1.56,3.2,0.8
01 Distrito Nacional,2015,43,1.33,3.5,0.4
01 Distrito Nacional,2015,44,4.11,17.7,0.0
01 Distrito Nacional,2015,45,5.84,14.8,0.6
01 Distrito Nacional,2015,46,1.76,3.3,0.4
01 Distrito Nacional,2015,47,1.99,4.4,0.0
01 Distrito Nacional,2015,48,1.77,7.4,0.0
01 Distrito Nacional,2015,49,1.46,2.9,0.0
01 Distrito Nacional,2015,50,1.3,2.9,0.0
01 Distrito Nacional,2015,51,2.4,8.3,0.0
01 Distrito Nacional,2015,52,1.19,2.5,0.3
01 Distrito Nacional,2016,1,0.4,0.9,0.0
01 Distrito Nacional,2016,2,0.27,1.2,0.0
01 Distrito Nacional,2016,3,0.57,1.4,0.0
01 Distrito Nacional,2016,4,1.67,3.5,0.0
01 Distrito Nacional,2016,5,0.83,1.4,0.0
01 Distrito Nacional,2016,6,0.67,2.5,0.0
01 Distrito Nacional,2016,7,1.61,4.6,0.0
01 Distrito Nacional,2016,8,0.53,1.9,0.0
01 Distrito Nacional,2016,9,0.87,2.4,0.0
01 Distrito Nacional,2016,10,1.29,8.0,0.0
01 Distrito Nacional,2016,11,1.71,6.8,0.0
01 Distrito Nacional,2016,12,1.09,2.5,0.2
01 Distrito Nacional,2016,13,1.46,5.8,0.0
01 Distrito Nacional,2016,14,4.06,23.8,0.0
01 Distrito Nacional,2016,15,0.63,1.8,0.0
01 Distrito Nacional,2016,16,1.23,3.9,0.0
01 Distrito Nacional,2016,17,12.09,18.2,6.9
01 Distrito Nacional,2016,18,6.47,13.1,3.4
01 Distrito Nacional,2016,19,3.27,8.6,0.0
01 Distrito Nacional,2016,20,1.17,2.5,0.4
01 Distrito Nacional,2016,21,5.84,21.8,0.8
01 Distrito Nacional,2016,22,11.47,23.5,1.3
01 Distrito Nacional,2016,23,2.94,7.7,0.3
01 Distrito Nacional,2016,24,2.11,6.0,0.4
01 Distrito Nacional,2016,25,6.71,26.1,1.1
01 Distrito Nacional,2016,26,2.97,6.3,1.1
01 Distrito Nacional,2016,27,2.41,9.0,0.3
01 Distrito Nacional,2016,28,2.26,4.6,0.0
01 Distrito Nacional,2016,29,1.41,2.6,0.0
01 Distrito Nacional,2016,30,3.53,7.2,0.1
01 Distrito Nacional,2016,31,11.51,26.7,0.0
01 Distrito Nacional,2016,32,1.74,4.1,0.0
01 Distrito Nacional,2016,33,0.29,1.2,0.0
01 Distrito Nacional,2016,34,7.3,11.6,0.3
01 Distrito Nacional,2016,35,1.21,3.7,0.0
01 Distrito Nacional,2016,36,5.47,26.4,0.5
01 Distrito Nacional,2016,37,0.87,1.5,0.0
01 Distrito Nacional,2016,38,1.63,4.7,0.0
01 Distrito Nacional,2016,39,3.6,10.2,0.2
01 Distrito Nacional,2016,40,21.41,94.7,0.5
01 Distrito Nacional,2016,41,2.3,3.3,1.7
01 Distrito Nacional,2016,42,2.57,8.8,0.0
01 Distrito Nacional,2016,43,2.11,10.1,0.0
01 Distrito Nacional,2016,44,5.3,11.7,0.1
01 Distrito Nacional,2016,45,2.64,5.1,0.3
01 Distrito Nacional,2016,46,4.31,8.2,0.5
01 Distrito Nacional,2016,47,3.01,10.2,0.5
01 Distrito Nacional,2016,48,1.24,3.9,0.0
01 Distrito Nacional,2016,49,0.96,4.5,0.0
01 Distrito Nacional,2016,50,1.37,3.4,0.0
01 Distrito Nacional,2016,51,2.14,3.6,0.9
01 Distrito Nacional,2016,52,1.2,2.3,0.0
01 Distrito Nacional,2017,1,0.94,1.9,0.0
01 Distrito Nacional,2017,2,0.89,2.1,0.0
01 Distrito Nacional,2017,3,0.2,0.9,0.0
01 Distrito Nacional,2017,4,0.61,2.3,0.0
01 Distrito Nacional,2017,5,1.06,2.7,0.0
01 Distrito Nacional,2017,6,1.64,4.2,0.0
01 Distrito Nacional,2017,7,1.16,2.0,0.2
01 Distrito Nacional,2017,8,1.34,4.7,0.0
01 Distrito Nacional,2017,9,0.63,1.6,0.2
01 Distrito Nacional,2017,10,1.2,3.0,0.3
01 Distrito Nacional,2017,11,0.93,2.2,0.2
01 Distrito Nacional,2017,12,3.64,7.1,1.2
01 Distrito Nacional,2017,13,0.44,1.8,0.0
01 Distrito Nacional,2017,14,1.19,3.1,0.0
01 Distrito Nacional,2017,15,1.99,4.0,0.4
01 Distrito Nacional,2017,16,12.24,33.0,1.2
01 Distrito Nacional,2017,17,9.37,20.7,1.5
01 Distrito Nacional,2017,18,5.43,18.7,0.5
01 Distrito Nacional,2017,19,1.43,2.4,0.4
01 Distrito Nacional,2017,20,3.11,4.7,0.4
01 Distrito Nacional,2017,21,0.96,1.6,0.2
01 Distrito Nacional,2017,22,3.67,11.7,0.9
01 Distrito Nacional,2017,23,2.04,4.7,0.4
01 Distrito Nacional,2017,24,5.16,19.3,0.0
01 Distrito Nacional,2017,25,3.8,10.2,0.7
01 Distrito Nacional,2017,26,3.29,6.7,0.9
01 Distrito Nacional,2017,27,2.43,7.0,0.4
