province,year,week,avg_temp,max_temp,min_temp
01 Distrito Nacional,2015,1,24.42,29.3,20.9
01 Distrito Nacional,2015,2,23.84,29.3,20.2
01 Distrito Nacional,2015,3,24.11,28.6,20.1
01 Distrito Nacional,2015,4,24.14,29.1,20.0
01 Distrito Nacional,2015,5,23.21,28.2,19.4
01 Distrito Nacional,2015,6,23.83,28.4,20.2
01 Distrito Nacional,2015,7,24.26,29.8,20.3
01 Distrito Nacional,2015,8,23.74,30.1,18.9
01 Distrito Nacional,2015,9,24.11,29.5,19.8
01 Distrito Nacional,2015,10,23.8,28.9,20.4
01 Distrito Nacional,2015,11,24.31,30.2,20.1
01 Distrito Nacional,2015,12,24.36,29.7,20.1
01 Distrito Nacional,2015,13,24.9,29.5,20.5
01 Distrito Nacional,2015,14,24.36,29.6,20.4
01 Distrito Nacional,2015,15,24.74,29.2,21.0
01 Distrito Nacional,2015,16,25.27,30.5,21.2
01 Distrito Nacional,2015,17,25.74,30.8,21.5
01 Distrito Nacional,2015,18,26.49,30.7,22.3
01 Distrito Nacional,2015,19,25.91,30.8,20.9
01 Distrito Nacional,2015,20,26.14,31.9,22.4
01 Distrito Nacional,2015,21,26.37,31.3,22.5
01 Distrito Nacional,2015,22,25.77,30.5,21.7
01 Distrito Nacional,2015,23,26.46,30.8,22.6
01 Distrito Nacional,2015,24,26.69,31.3,22.8
01 Distrito Nacional,2015,25,26.91,32.3,22.9
01 Distrito Nacional,2015,26,26.27,31.3,22.6
01 Distrito Nacional,2015,27,27.16,32.7,23.4
01 Distrito Nacional,2015,28,26.8,32.8,22.9
01 Distrito Nacional,2015,29,26.59,31.9,22.8
01 Distrito Nacional,2015,30,27.03,32.2,22.4
01 Distrito Nacional,2015,31,27.71,32.8,22.8
01 Distrito Nacional,2015,32,27.29,32.5,23.3
01 Distrito Nacional,2015,33,27.23,32.5,22.7
01 Distrito Nacional,2015,34,27.34,32.9,23.5
01 Distrito Nacional,2015,35,26.93,32.9,23.0
01 Distrito Nacional,2015,36,26.9,31.5,22.9
01 Distrito Nacional,2015,37,26.7,32.1,23.0
01 Distrito Nacional,2015,38,26.4,31.3,23.0
01 Distrito Nacional,2015,39,26.67,30.7,23.3
01 Distrito Nacional,2015,40,27.36,31.9,24.2
01 Distrito Nacional,2015,41,27.2,32.6,22.9
