trial,fitness,n_islands,sa_t_initial,sa_t_final,generations_per_epoch,early_stop_patience,max_terms,r2_weight,n_llm_suggestions,p_add,p_remove
0,0.779537906231549,4,1.9063571821788405,0.009454306819536176,150,30,6,0.5261376254756898,5,0.4404460046972835,0.31242177333881366
1,0.7555041735408575,2,1.942828719107789,0.017649715848175724,75,30,7,0.636909009331792,3,0.3727780074568463,0.1873687420594126
2,0.7700986909458649,6,0.36503833523887946,0.0006144543785587475,100,50,13,0.5898532019712619,3,0.436965827544817,0.11393512381599932
3,0.7580960985392243,6,0.4239958350058539,0.00014982086432155476,200,80,13,0.6370761961280168,1,0.47369321060486275,0.23204574812188042
4,0.7562950707566315,2,1.0408361292114132,0.0001238264969702355,200,30,12,0.640269984240235,3,0.41868411173731185,0.15545633665765812
5,0.7775851669045577,8,1.5727523643861177,0.0343304473310619,200,60,15,0.5398216259233638,1,0.21809091556421523,0.19759909922897934
6,0.7635180367113337,4,0.6155631603704023,0.017247957710046027,100,30,10,0.5634159012386432,5,0.22982025747190835,0.3960660809801552
7,0.698551127320762,7,0.47755979491492756,0.00010349134435467596,175,60,13,0.8470716560086755,1,0.34338629141770904,0.13476071785753893
8,0.7047939430794273,8,1.28426644097236,0.0007817787178411383,50,40,8,0.8283227802521288,4,0.5548850970305306,0.2416644775485848
9,0.7282712866717529,2,1.4551650957236903,0.01130670408097989,125,70,10,0.7352297732218973,3,0.2101676506976381,0.13236742809799135
10,0.6718425828546898,4,1.8724377998959227,0.003969846103697384,150,20,5,0.9318968356754388,5,0.5787847505560597,0.3215216634175062
11,0.7880331452147558,4,1.653424961069529,0.04148521148207288,150,50,15,0.5030953656524328,2,0.3052449650598277,0.3026740537697852
12,0.7757618955644235,4,1.731107728598885,0.04906080444026095,150,50,5,0.5014081381864228,2,0.30197960767997717,0.3174786673348462
13,0.7846877829447184,5,1.0973998280327586,0.0052290550177491795,150,40,8,0.5059131420730139,2,0.5033454195725949,0.3030295782806045
14,0.7449748182251708,5,0.9456667347611376,0.0033281186745727207,125,40,9,0.6885238476797105,2,0.5190928395303577,0.28213212852212777
15,0.7265146559103285,5,0.7860158701752817,0.0009408629939563008,175,60,15,0.7563842514626316,2,0.30202282768555844,0.38191692671132516
16,0.7716183461624446,3,0.1517161501432739,0.006294477671626102,175,40,11,0.5898309730275723,2,0.4950986591283293,0.34419811167334946
17,0.7864455733885712,6,1.2794612926613116,0.0014148059032659185,100,50,8,0.5043378655726624,4,0.30191738860171524,0.2736425587778487
18,0.7462017723016828,6,1.3118932788943658,0.0016305228732136489,100,70,8,0.6802297017106657,4,0.26783261175510065,0.25825087822528847
19,0.7763242524863496,7,1.6446033675175138,0.00041517437527496207,75,50,14,0.5794717685021854,4,0.3508251091677761,0.3607058172591405
20,0.7801021944107932,3,1.352864955454143,0.0016405801534942008,50,70,11,0.5508572994297456,4,0.27540583322921236,0.27252325485604517
21,0.7849090756808258,5,1.1933533650807568,0.0030748551945921107,125,50,8,0.5046128885473873,2,0.3239840872972775,0.2926919689899212
22,0.7917850132820146,6,1.182796147334278,0.00037665491540576695,125,50,7,0.5102934674473687,3,0.32609527574168873,0.21833492927169
23,0.7680822664416346,7,1.4751085153923345,0.0002911490932169054,100,60,7,0.6062361173632824,4,0.39617806940732914,0.21410720619190707
24,0.7850326419891897,6,0.8645601224568135,0.0002451424513671623,75,50,6,0.547492805768341,3,0.2532912859582701,0.2589806123808282
25,0.7895231193169222,7,1.7415751872113292,0.00124947508978046,125,60,9,0.5339387225580953,3,0.3004974656142837,0.22415414666048614
26,0.7165120234586643,7,1.7624964402720162,0.0005176320023338685,125,80,9,0.784212566133208,3,0.37724116912608,0.1729492393860464
27,0.7483517449983839,8,1.5526601856672897,0.0010914039404250951,150,60,11,0.6835305861483713,3,0.33431389090242375,0.223834814452069
28,0.7836727360620255,3,1.7313057042035012,0.0020792832093576847,175,70,9,0.5382729148547901,2,0.254970108906845,0.20732213838402175
29,0.7693196262002281,7,1.9539473926737907,0.00023803302439425746,125,40,6,0.6027562923733153,3,0.367251253581634,0.1728229513538831
