n_islands,seed,epoch,fitness
2,0,1,0.73058
2,0,2,0.7364
2,0,3,0.74137
2,0,4,0.74311
2,0,5,0.74353
2,0,6,0.74353
2,0,7,0.74353
2,0,8,0.74353
2,0,9,0.74353
2,0,10,0.74367
2,0,11,0.74367
2,0,12,0.74367
2,0,13,0.74367
2,0,14,0.74367
2,0,15,0.74367
2,0,16,0.74367
2,0,17,0.74367
2,0,18,0.74367
2,0,19,0.74367
2,0,20,0.74367
2,1,1,0.68135
2,1,2,0.68752
2,1,3,0.69163
2,1,4,0.73669
2,1,5,0.73669
2,1,6,0.73784
2,1,7,0.73784
2,1,8,0.73784
2,1,9,0.73784
2,1,10,0.73784
2,1,11,0.73784
2,1,12,0.73784
2,1,13,0.73784
2,1,14,0.73784
2,1,15,0.73784
2,1,16,0.73784
2,1,17,0.73784
2,1,18,0.73784
2,1,19,0.73784
2,1,20,0.73917
3,0,1,0.73058
3,0,2,0.73058
3,0,3,0.73058
3,0,4,0.73058
3,0,5,0.73058
3,0,6,0.73058
3,0,7,0.73058
3,0,8,0.73806
3,0,9,0.73809
3,0,10,0.73809
3,0,11,0.73829
3,0,12,0.73841
3,0,13,0.73855
3,0,14,0.73855
3,0,15,0.73855
3,0,16,0.73864
3,0,17,0.73864
3,0,18,0.73928
3,0,19,0.73928
3,0,20,0.73928
3,1,1,0.68135
3,1,2,0.73956
3,1,3,0.73956
3,1,4,0.73956
3,1,5,0.73956
3,1,6,0.73956
3,1,7,0.73956
3,1,8,0.73956
3,1,9,0.74035
3,1,10,0.74041
3,1,11,0.74106
3,1,12,0.74106
3,1,13,0.74106
3,1,14,0.74106
3,1,15,0.74106
3,1,16,0.74106
3,1,17,0.74106
3,1,18,0.74106
3,1,19,0.74106
3,1,20,0.74106
4,0,1,0.73058
4,0,2,0.73058
4,0,3,0.73621
4,0,4,0.73731
4,0,5,0.73993
4,0,6,0.73993
4,0,7,0.73993
4,0,8,0.73993
4,0,9,0.73993
4,0,10,0.73993
4,0,11,0.73993
4,0,12,0.73993
4,0,13,0.74051
4,0,14,0.74209
4,0,15,0.74309
4,0,16,0.74309
4,0,17,0.74309
4,0,18,0.74309
4,0,19,0.74309
4,0,20,0.74309
4,1,1,0.71276
4,1,2,0.74027
4,1,3,0.74227
4,1,4,0.74432
4,1,5,0.74432
4,1,6,0.74432
4,1,7,0.74432
4,1,8,0.74432
4,1,9,0.74432
4,1,10,0.74432
4,1,11,0.74432
4,1,12,0.74432
4,1,13,0.74464
4,1,14,0.74464
4,1,15,0.74464
4,1,16,0.74464
4,1,17,0.74464
4,1,18,0.74464
4,1,19,0.74464
4,1,20,0.74464
6,0,1,0.73058
6,0,2,0.73542
6,0,3,0.7372
6,0,4,0.7372
6,0,5,0.7391
6,0,6,0.7391
6,0,7,0.7391
6,0,8,0.7391
6,0,9,0.73964
6,0,10,0.73964
6,0,11,0.73964
6,0,12,0.73964
6,0,13,0.73964
6,0,14,0.73964
6,0,15,0.73964
6,0,16,0.73964
6,0,17,0.73964
6,0,18,0.73964
6,0,19,0.73964
6,0,20,0.73964
6,1,1,0.71276
6,1,2,0.73524
6,1,3,0.73524
6,1,4,0.73524
6,1,5,0.73926
6,1,6,0.73926
6,1,7,0.73926
6,1,8,0.73926
6,1,9,0.74001
6,1,10,0.74001
6,1,11,0.74001
6,1,12,0.74001
6,1,13,0.74001
6,1,14,0.74049
6,1,15,0.74049
6,1,16,0.74049
6,1,17,0.74049
6,1,18,0.74075
6,1,19,0.74075
6,1,20,0.74075
8,0,1,0.73206
8,0,2,0.74037
8,0,3,0.74067
8,0,4,0.74068
8,0,5,0.74224
8,0,6,0.74224
8,0,7,0.74348
8,0,8,0.74348
8,0,9,0.74348
8,0,10,0.74348
8,0,11,0.74348
8,0,12,0.74351
8,0,13,0.74412
8,0,14,0.74412
8,0,15,0.74412
8,0,16,0.74455
8,0,17,0.74455
8,0,18,0.74455
8,0,19,0.74455
8,0,20,0.74455
8,1,1,0.73035
8,1,2,0.73551
8,1,3,0.73726
8,1,4,0.73726
8,1,5,0.73868
8,1,6,0.74133
8,1,7,0.74133
8,1,8,0.74133
8,1,9,0.74174
8,1,10,0.74233
8,1,11,0.74233
8,1,12,0.74371
8,1,13,0.74371
8,1,14,0.74371
8,1,15,0.74371
8,1,16,0.74371
8,1,17,0.74371
8,1,18,0.74371
8,1,19,0.74371
8,1,20,0.74371
