province,fs_r2_train,fs_r2_val,fs_r2_test,fs_spec_train,fs_spec_val,fs_spec_test,sindy_r2_test,delta_test
01 Distrito Nacional,0.6502,0.7529,0.4222,0.9019,0.9515,0.9086,0.2582,0.164
02 Azua,0.6277,0.6708,0.7003,0.8671,0.9461,0.9427,0.3895,0.3108
04 Barahona,0.622,0.701,0.6133,0.779,0.9167,0.7656,0.5439,0.0694
06 Duarte,0.7306,0.5673,0.5615,0.9388,0.9012,0.8939,0.4922,0.0693
13 La Vega,0.6393,0.6081,0.4865,0.949,0.9865,0.9094,0.3826,0.1039
18 Puerto Plata,0.6907,0.6747,0.5563,0.9663,0.9482,0.7359,0.4835,0.0728
21 San Cristóbal,0.6544,0.7192,0.5077,0.9329,0.9295,0.9182,0.3954,0.1123
22 San Juan,0.6737,0.6683,0.6407,0.8674,0.9237,0.9256,0.7041,-0.0634
24 Sánchez Ramírez,0.6518,0.6344,0.4693,0.8784,0.9427,0.8805,0.4204,0.0489
25 Santiago,0.6554,0.7051,0.5719,0.9404,0.9503,0.8449,0.6745,-0.1026
32 Santo Domingo,0.6072,0.5558,0.4312,0.9272,0.9391,0.948,0.6369,-0.2057
