province,island,r2_eq_A,r2_eq_B,native_r2,foreign_r2,native_minus_foreign,prefers_native
01 Distrito Nacional,A_EIP,0.3518,0.3322,0.3518,0.3322,0.0196,True
02 Azua,B_AR,0.6089,0.5533,0.5533,0.6089,-0.0556,False
03 Baoruco,A_EIP,0.5848,0.5615,0.5848,0.5615,0.0232,True
04 Barahona,A_EIP,0.5504,0.616,0.5504,0.616,-0.0656,False
05 Dajabón,B_AR,0.6874,0.6892,0.6892,0.6874,0.0018,True
06 Duarte,A_EIP,0.5239,0.5145,0.5239,0.5145,0.0093,True
07 Elías Piña,B_AR,0.1678,0.4025,0.4025,0.1678,0.2347,True
08 El Seibo,B_AR,0.3249,0.4908,0.4908,0.3249,0.166,True
09 Espaillat,B_AR,0.4375,0.4559,0.4559,0.4375,0.0184,True
10 Independencia,B_AR,0.4178,0.5851,0.5851,0.4178,0.1673,True
11 La Altagracia,A_EIP,0.5152,0.3551,0.5152,0.3551,0.16,True
12 La Romana,B_AR,0.5333,0.579,0.579,0.5333,0.0458,True
13 La Vega,A_EIP,0.2911,0.4859,0.2911,0.4859,-0.1947,False
14 María Trinidad Sánchez,B_AR,0.4585,0.5487,0.5487,0.4585,0.0903,True
15 Monte Cristi,B_AR,0.5241,0.6061,0.6061,0.5241,0.0821,True
16 Pedernales,B_AR,0.7255,0.6626,0.6626,0.7255,-0.0629,False
17 Peravia,B_AR,0.5025,-0.549,-0.549,0.5025,-1.0515,False
18 Puerto Plata,B_AR,0.5928,0.5889,0.5889,0.5928,-0.0039,False
19 Hermanas Mirabal,B_AR,0.4965,0.0173,0.0173,0.4965,-0.4791,False
20 Samaná,A_EIP,0.6433,0.4903,0.6433,0.4903,0.153,True
21 San Cristóbal,B_AR,0.5875,0.6088,0.6088,0.5875,0.0213,True
22 San Juan,A_EIP,0.7205,0.5683,0.7205,0.5683,0.1522,True
23 San Pedro de Macorís,B_AR,0.6679,0.6725,0.6725,0.6679,0.0046,True
24 Sánchez Ramírez,A_EIP,0.4774,0.5336,0.4774,0.5336,-0.0562,False
25 Santiago,B_AR,0.6427,0.6269,0.6269,0.6427,-0.0158,False
26 Santiago Rodríguez,B_AR,0.4575,0.4853,0.4853,0.4575,0.0278,True
27 Valverde,B_AR,0.6868,0.6028,0.6028,0.6868,-0.084,False
28 Monseñor Nouel,A_EIP,0.4453,0.2851,0.4453,0.2851,0.1602,True
29 Monte Plata,B_AR,0.5917,0.4166,0.4166,0.5917,-0.1751,False
30 Hato Mayor,A_EIP,0.2599,0.2733,0.2599,0.2733,-0.0134,False
31 San José de Ocoa,A_EIP,0.5442,0.5992,0.5442,0.5992,-0.0551,False
32 Santo Domingo,A_EIP,0.6445,0.7102,0.6445,0.7102,-0.0657,False
