province,island,total_cases_train,n_train_weeks,zero_weeks,zero_pct,fails_zero_pct,fails_total_cases,flagged_for_drop
01 Distrito Nacional,A_EIP,4733,256,22,0.086,False,False,False
02 Azua,B_AR,1308,256,77,0.301,False,False,False
03 Baoruco,A_EIP,357,256,134,0.523,True,True,True
04 Barahona,A_EIP,1728,256,64,0.25,False,False,False
05 Dajabón,B_AR,216,256,170,0.664,True,True,True
06 Duarte,A_EIP,1463,256,82,0.32,False,False,False
07 Elías Piña,B_AR,178,256,178,0.695,True,True,True
08 El Seibo,B_AR,273,256,170,0.664,True,True,True
09 Espaillat,B_AR,848,256,60,0.234,False,True,True
10 Independencia,B_AR,291,256,151,0.59,True,True,True
11 La Altagracia,A_EIP,1149,256,116,0.453,True,False,True
12 La Romana,B_AR,576,256,137,0.535,True,True,True
13 La Vega,A_EIP,2210,256,57,0.223,False,False,False
14 María Trinidad Sánchez,B_AR,633,256,106,0.414,True,True,True
15 Monte Cristi,B_AR,602,256,118,0.461,True,True,True
16 Pedernales,B_AR,177,256,168,0.656,True,True,True
17 Peravia,B_AR,808,256,119,0.465,True,True,True
18 Puerto Plata,B_AR,1062,256,89,0.348,False,False,False
19 Hermanas Mirabal,B_AR,805,256,86,0.336,False,True,True
20 Samaná,A_EIP,321,256,135,0.527,True,True,True
21 San Cristóbal,B_AR,2191,256,55,0.215,False,False,False
22 San Juan,A_EIP,1003,256,78,0.305,False,False,False
23 San Pedro de Macorís,B_AR,847,256,67,0.262,False,True,True
24 Sánchez Ramírez,A_EIP,1193,256,81,0.316,False,False,False
25 Santiago,B_AR,4807,256,13,0.051,False,False,False
26 Santiago Rodríguez,B_AR,305,256,138,0.539,True,True,True
27 Valverde,B_AR,954,256,98,0.383,False,True,True
28 Monseñor Nouel,A_EIP,653,256,109,0.426,True,True,True
29 Monte Plata,B_AR,563,256,119,0.465,True,True,True
30 Hato Mayor,A_EIP,469,256,142,0.555,True,True,True
31 San José de Ocoa,A_EIP,695,256,95,0.371,False,True,True
32 Santo Domingo,A_EIP,13244,256,2,0.008,False,False,False
