province,island,mean_temp,r_EIP_incidence,p_value,r_EIP_lag2,r_EIP_lag4,max_lagged_r
01 Distrito Nacional,A_EIP,28.0,0.3626,0.0,0.2803,0.1981,0.3626
02 Azua,B_AR,28.0,0.2064,0.0009,0.1411,0.0843,0.2064
03 Baoruco,A_EIP,28.8,0.0933,0.1367,0.0805,0.0347,0.0933
04 Barahona,A_EIP,27.8,0.1884,0.0025,0.1408,0.1015,0.1884
05 Dajabón,B_AR,26.5,0.411,0.0,0.3256,0.2133,0.411
06 Duarte,A_EIP,26.0,0.3271,0.0,0.24,0.1818,0.3271
07 Elías Piña,B_AR,22.0,0.217,0.0005,0.1392,0.066,0.217
08 El Seibo,B_AR,26.0,0.2695,0.0,0.1491,0.0824,0.2695
09 Espaillat,B_AR,24.5,0.2384,0.0001,0.1653,0.0738,0.2384
10 Independencia,B_AR,22.5,0.0028,0.9645,0.0312,0.0307,0.0312
11 La Altagracia,A_EIP,28.5,0.3025,0.0,0.2269,0.1385,0.3025
12 La Romana,B_AR,28.0,0.2291,0.0002,0.19,0.1416,0.2291
13 La Vega,A_EIP,25.5,0.2516,0.0,0.149,0.0704,0.2516
14 María Trinidad Sánchez,B_AR,,0.115,0.0663,0.0281,-0.0012,0.115
15 Monte Cristi,B_AR,28.0,0.2367,0.0001,0.2303,0.2308,0.2367
16 Pedernales,B_AR,27.5,-0.0388,0.5362,-0.0109,-0.1508,-0.0109
17 Peravia,B_AR,27.5,0.0771,0.219,0.0926,0.1348,0.1348
18 Puerto Plata,B_AR,26.0,0.3116,0.0,0.2371,0.1983,0.3116
19 Hermanas Mirabal,B_AR,25.0,0.2836,0.0,0.2667,0.1843,0.2836
20 Samaná,A_EIP,27.0,0.4147,0.0,0.3483,0.2257,0.4147
21 San Cristóbal,B_AR,27.0,0.406,0.0,0.3509,0.2672,0.406
22 San Juan,A_EIP,24.0,0.1378,0.0275,0.0696,0.002,0.1378
23 San Pedro de Macorís,B_AR,27.5,0.3668,0.0,0.2334,0.1874,0.3668
24 Sánchez Ramírez,A_EIP,25.5,0.4487,0.0,0.5039,0.431,0.5039
25 Santiago,B_AR,26.5,0.2183,0.0004,0.1325,0.0776,0.2183
26 Santiago Rodríguez,B_AR,24.5,0.161,0.0099,0.1195,0.0486,0.161
27 Valverde,B_AR,26.0,0.2623,0.0,0.1743,0.1079,0.2623
28 Monseñor Nouel,A_EIP,25.0,0.4471,0.0,0.3583,0.2452,0.4471
29 Monte Plata,B_AR,26.0,0.4555,0.0,0.3921,0.3188,0.4555
30 Hato Mayor,A_EIP,26.5,0.3415,0.0,0.261,0.1762,0.3415
31 San José de Ocoa,A_EIP,23.0,0.2932,0.0,0.2237,0.1525,0.2932
32 Santo Domingo,A_EIP,27.5,0.413,0.0,0.3371,0.251,0.413
