province,island,eq_A_period_104wk,eq_B_period_104wk,eq_A_period_52wk,eq_B_period_52wk,eq_A_period_34wk,eq_B_period_34wk,eq_A_period_26wk,eq_B_period_26wk,eq_A_period_20wk,eq_B_period_20wk
01 Distrito Nacional,A_EIP,0.9998,0.9989,0.9939,0.9917,0.9879,0.9899,0.9814,0.9838,0.9807,0.9834
02 Azua,B_AR,1.0,0.9999,0.9995,0.9977,0.9975,0.9973,0.998,0.9976,0.9968,0.9967
03 Baoruco,A_EIP,0.9998,0.9995,0.9985,0.9972,0.9967,0.9969,0.9979,0.9978,0.9958,0.996
04 Barahona,A_EIP,0.999,0.9993,0.9975,0.9951,0.9913,0.9925,0.9876,0.989,0.9907,0.9919
05 Dajabón,B_AR,0.9982,0.9998,0.9993,0.9948,0.9925,0.9927,0.9975,0.9962,0.99,0.9904
06 Duarte,A_EIP,0.9978,0.999,0.9935,0.988,0.9932,0.9915,0.9864,0.9869,0.9892,0.9898
07 Elías Piña,B_AR,0.9999,1.0,0.9984,0.9976,0.9978,0.9975,0.9969,0.9969,0.9907,0.9903
08 El Seibo,B_AR,1.0,1.0,0.9993,0.9987,0.9984,0.9985,0.9964,0.9967,0.9915,0.9922
09 Espaillat,B_AR,0.998,0.9999,0.9922,0.9889,0.9952,0.9949,0.9881,0.9883,0.9854,0.9863
10 Independencia,B_AR,0.998,0.9994,0.9977,0.9938,0.9944,0.9939,0.9963,0.9954,0.9926,0.9928
11 La Altagracia,A_EIP,0.9988,0.9998,0.9998,0.9969,0.9934,0.9939,0.9951,0.9957,0.9898,0.9907
12 La Romana,B_AR,0.9996,0.9992,0.9973,0.9964,0.992,0.9926,0.99,0.9911,0.9853,0.9872
13 La Vega,A_EIP,0.9976,0.9995,0.989,0.9839,0.9918,0.9911,0.9887,0.9886,0.9698,0.9713
14 María Trinidad Sánchez,B_AR,0.9997,0.9998,0.9979,0.9959,0.9974,0.9977,0.9946,0.9951,0.9916,0.9928
15 Monte Cristi,B_AR,0.9995,0.9997,0.9966,0.998,0.9972,0.9973,0.9983,0.9982,0.9981,0.9986
16 Pedernales,B_AR,0.9998,0.9999,0.9987,0.9998,0.9978,0.9977,0.9992,0.9993,0.9981,0.9982
17 Peravia,B_AR,0.9998,0.9998,0.9982,0.999,0.9977,0.9978,0.9965,0.9966,0.9884,0.9896
18 Puerto Plata,B_AR,0.9989,0.9999,0.9983,0.9955,0.9958,0.9961,0.9939,0.9945,0.9933,0.9938
19 Hermanas Mirabal,B_AR,0.9991,0.9999,0.9969,0.9958,0.9975,0.9971,0.9949,0.9952,0.9884,0.9892
20 Samaná,A_EIP,0.9999,1.0,0.9983,0.9964,0.9983,0.9979,0.997,0.9969,0.9962,0.9966
21 San Cristóbal,B_AR,0.9998,0.9998,0.9949,0.9945,0.9942,0.9951,0.9909,0.9911,0.9865,0.9878
22 San Juan,A_EIP,0.9994,0.9996,0.9934,0.99,0.993,0.9923,0.99,0.9897,0.9832,0.9833
23 San Pedro de Macorís,B_AR,0.9997,0.9999,0.9952,0.9932,0.9991,0.9988,0.9906,0.9911,0.9923,0.9931
24 Sánchez Ramírez,A_EIP,0.9984,0.9999,0.9936,0.9923,0.9933,0.9939,0.9896,0.9905,0.983,0.9846
25 Santiago,B_AR,0.9998,0.9986,0.9907,0.9839,0.9999,0.9986,0.9931,0.9928,0.9933,0.9933
26 Santiago Rodríguez,B_AR,0.9995,1.0,0.9963,0.9953,0.9984,0.9984,0.994,0.9934,0.9897,0.9906
27 Valverde,B_AR,0.9997,0.9993,0.9977,0.9952,0.9925,0.9929,0.9923,0.9927,0.9899,0.9906
28 Monseñor Nouel,A_EIP,0.9991,1.0,0.9932,0.9914,0.9972,0.9972,0.9825,0.9846,0.9872,0.9884
29 Monte Plata,B_AR,0.9988,0.9999,0.9936,0.9915,0.9973,0.9975,0.9908,0.9916,0.9933,0.9939
30 Hato Mayor,A_EIP,0.9986,0.9987,0.9939,0.9929,0.9974,0.9967,0.9956,0.9944,0.9961,0.9965
31 San José de Ocoa,A_EIP,0.9995,0.9996,0.9969,0.9945,0.9981,0.9971,0.9964,0.9968,0.9948,0.9948
32 Santo Domingo,A_EIP,0.9997,0.9994,0.9935,0.9926,0.9902,0.9919,0.9831,0.985,0.9809,0.9832
