province,island,mean_temp,temp_band,r2_eq_A,r2_eq_B,A_minus_B
01 Distrito Nacional,A_EIP,28.0,26-28C,0.4129,0.3214,0.0916
02 Azua,B_AR,28.0,26-28C,0.6998,0.704,-0.0042
03 Baoruco,A_EIP,28.8,>28C,0.5913,0.5446,0.0467
04 Barahona,A_EIP,27.8,26-28C,0.6162,0.5871,0.0291
05 Dajabón,B_AR,26.5,26-28C,0.6712,0.6711,0.0001
06 Duarte,A_EIP,26.0,24-26C,0.5659,0.5288,0.037
07 Elías Piña,B_AR,22.0,<24C,0.492,0.4447,0.0473
08 El Seibo,B_AR,26.0,24-26C,0.6294,0.6052,0.0243
09 Espaillat,B_AR,24.5,24-26C,0.4367,0.3576,0.0791
10 Independencia,B_AR,22.5,<24C,0.631,0.6122,0.0188
11 La Altagracia,A_EIP,28.5,>28C,0.5156,0.4703,0.0453
12 La Romana,B_AR,28.0,26-28C,0.4588,0.3984,0.0604
13 La Vega,A_EIP,25.5,24-26C,0.4857,0.3798,0.1059
15 Monte Cristi,B_AR,28.0,26-28C,0.6106,0.617,-0.0064
16 Pedernales,B_AR,27.5,26-28C,0.7117,0.7465,-0.0349
17 Peravia,B_AR,27.5,26-28C,0.5581,0.5423,0.0159
18 Puerto Plata,B_AR,26.0,24-26C,0.5538,0.5391,0.0148
19 Hermanas Mirabal,B_AR,25.0,24-26C,0.5598,0.5278,0.032
20 Samaná,A_EIP,27.0,26-28C,0.6674,0.6652,0.0022
21 San Cristóbal,B_AR,27.0,26-28C,0.5101,0.4417,0.0684
22 San Juan,A_EIP,24.0,<24C,0.6544,0.5773,0.077
23 San Pedro de Macorís,B_AR,27.5,26-28C,0.4733,0.4217,0.0515
24 Sánchez Ramírez,A_EIP,25.5,24-26C,0.4716,0.4177,0.054
25 Santiago,B_AR,26.5,26-28C,0.5817,0.5281,0.0536
26 Santiago Rodríguez,B_AR,24.5,24-26C,0.5483,0.5321,0.0163
27 Valverde,B_AR,26.0,24-26C,0.6141,0.5915,0.0226
28 Monseñor Nouel,A_EIP,25.0,24-26C,0.453,0.3736,0.0794
29 Monte Plata,B_AR,26.0,24-26C,0.5978,0.5848,0.013
30 Hato Mayor,A_EIP,26.5,26-28C,0.4145,0.3622,0.0523
31 San José de Ocoa,A_EIP,23.0,<24C,0.59,0.5311,0.0589
32 Santo Domingo,A_EIP,27.5,26-28C,0.4222,0.3276,0.0946
