island,province,fs_r2_train,fs_r2_val,fs_r2_test,fs_spec_train,fs_spec_val,fs_spec_test,sindy_r2_train,sindy_r2_val,sindy_r2_test,delta_test
A_coastal,32 Santo Domingo,0.6557,0.5753,0.4222,0.8637,0.8612,0.8269,0.7525,0.574,0.6369,-0.2147
A_coastal,01 Distrito Nacional,0.6604,0.7558,0.4128,0.8827,0.8038,0.7571,0.6889,0.7281,0.2582,0.1546
A_coastal,13 La Vega,0.6392,0.5936,0.4858,0.9378,0.9318,0.8799,0.7556,0.6831,0.3826,0.1032
A_coastal,04 Barahona,0.6205,0.7077,0.616,0.7558,0.8314,0.696,0.672,0.7851,0.5439,0.0721
A_coastal,06 Duarte,0.7319,0.5653,0.566,0.917,0.8896,0.8709,0.4804,0.5361,0.4922,0.0738
A_coastal,24 Sánchez Ramírez,0.6586,0.5939,0.4717,0.9151,0.9238,0.8348,0.7605,0.6476,0.4204,0.0513
A_coastal,11 La Altagracia,0.7131,0.6078,0.5156,0.9436,0.892,0.7159,0.531,0.5953,0.1954,0.3202
A_coastal,22 San Juan,0.6779,0.6637,0.6545,0.8853,0.8913,0.8908,0.7017,0.6744,0.7041,-0.0496
A_coastal,28 Monseñor Nouel,0.6891,0.7031,0.453,0.912,0.8606,0.8385,0.5822,0.5611,-0.0974,0.5504
A_coastal,31 San José de Ocoa,0.7222,0.7207,0.5901,0.8646,0.9614,0.8673,0.7182,0.6534,0.2545,0.3356
A_coastal,30 Hato Mayor,0.6576,0.5538,0.4143,0.8396,0.9587,0.9453,0.6662,0.1323,0.6071,-0.1928
A_coastal,20 Samaná,0.67,0.675,0.6674,0.8685,0.9068,0.8637,0.5561,0.6086,0.546,0.1214
A_coastal,03 Baoruco,0.6766,0.7681,0.5912,0.794,0.7442,0.7526,0.5419,0.5622,0.0931,0.4981
B_inland,25 Santiago,0.5813,0.7015,0.5279,0.8828,0.9601,0.8915,0.6817,0.7279,0.6745,-0.1466
B_inland,21 San Cristóbal,0.5926,0.7503,0.4413,0.8727,0.9784,0.9463,0.566,0.7956,0.3954,0.0459
B_inland,18 Puerto Plata,0.6931,0.6912,0.5387,0.8337,0.9491,0.931,0.6744,0.7165,0.4835,0.0552
B_inland,15 Monte Cristi,0.7325,0.7734,0.6168,0.7201,0.9312,0.8684,0.7414,0.68,0.5357,0.0811
B_inland,29 Monte Plata,0.6877,0.7692,0.5848,0.8196,0.9076,0.9695,0.5308,0.6004,0.3307,0.2541
B_inland,16 Pedernales,0.7384,0.6441,0.7465,0.7751,0.9331,0.8712,0.585,0.6798,0.6968,0.0497
B_inland,07 Elías Piña,0.662,0.5681,0.4443,0.8873,0.8848,0.9594,0.5308,0.5629,-0.1343,0.5786
B_inland,02 Azua,0.6492,0.6652,0.7038,0.8858,0.8091,0.9032,0.5639,0.6733,0.3895,0.3143
B_inland,05 Dajabón,0.6367,0.7409,0.6709,0.9623,0.8639,0.9265,0.6548,0.7711,0.6753,-0.0044
B_inland,08 El Seibo,0.6919,0.7172,0.605,0.8046,0.9183,0.9606,0.5458,0.6381,0.2595,0.3455
B_inland,09 Espaillat,0.651,0.6746,0.3572,0.8053,0.9642,0.9323,0.643,0.5783,0.3022,0.055
B_inland,10 Independencia,0.7329,0.6438,0.6121,0.8732,0.9093,0.9301,0.6681,0.7073,0.3619,0.2502
B_inland,12 La Romana,0.5679,0.7157,0.398,0.9039,0.8303,0.9498,0.5434,0.6827,0.4304,-0.0324
B_inland,14 María Trinidad Sánchez,0.6779,0.6308,0.6179,0.8405,0.8851,0.9328,0.6362,0.7201,0.4976,0.1203
B_inland,17 Peravia,0.6961,0.687,0.5422,0.8217,0.9084,0.9019,0.5539,0.6061,0.2977,0.2445
B_inland,19 Hermanas Mirabal,0.7192,0.7369,0.5276,0.839,0.937,0.9635,0.7145,0.5954,0.3927,0.1349
B_inland,23 San Pedro de Macorís,0.6532,0.7581,0.4213,0.7014,0.8523,0.9594,0.6998,0.5699,0.5463,-0.125
B_inland,26 Santiago Rodríguez,0.7234,0.7488,0.5318,0.8732,0.9017,0.927,0.6294,0.5255,0.0612,0.4706
B_inland,27 Valverde,0.6932,0.6251,0.5912,0.8468,0.8316,0.948,0.4725,0.6446,0.2791,0.3121
