rank,province,total_cases,shape_score,threshold,n_nonzero,sparsity,r2_train,r2_val,r2_test,equation
1,32 Santo Domingo,21496,16.0378,0.0604,9,0.8636,0.7525,0.574,0.6369,-1.5392 incidence_lag1 +  1.8692 incidence_lag2 +  0.2402 incidence_lag1 EIP +  0.1999 EIP incidence_lag2 + -0.3502 EIP incidence_lag4 + -0.1100 temp_lag4 incidence_lag2 +  0.0933 temp_lag4 rolling_incidence_4wk +  0.1656 incidence_lag2 week_cos + -0.1953 rolling_incidence_4wk week_cos
2,25 Santiago,9187,8.5193,0.1359,4,0.9394,0.6817,0.7279,0.6745,-1.3403 incidence_lag1 + -0.7645 incidence_lag2 + -0.3262 incidence_lag4 +  2.4193 rolling_incidence_4wk
3,01 Distrito Nacional,7245,12.8124,0.2619,4,0.9394,0.6889,0.7281,0.2582,-1.5314 incidence_lag1 +  1.2723 rolling_incidence_4wk + -0.6861 EIP incidence_lag2 +  0.9551 EIP rolling_incidence_4wk
4,21 San Cristóbal,3629,14.6182,0.2367,3,0.9545,0.566,0.7956,0.3954,-1.3365 incidence_lag1 + -0.6656 incidence_lag2 +  2.0027 rolling_incidence_4wk
5,13 La Vega,3329,12.1238,0.1108,17,0.7424,0.7556,0.6831,0.3826, 4.1598 incidence_lag1 +  0.2577 EIP + -0.8624 incidence_lag2 + -0.1646 incidence_lag4 + -3.4303 rolling_incidence_4wk + -0.2252 incidence_lag1 temp_lag4 + -0.4058 incidence_lag1 week_sin + -0.3259 EIP^2 +  0.3574 EIP incidence_lag2 +  0.1112 EIP incidence_lag4 + -0.2379 EIP rolling_incidence_4wk +  0.2322 temp_lag4 rolling_incidence_4wk +  0.1400 incidence_lag2 incidence_lag4 + -0.1205 incidence_lag2 rolling_incidence_4wk +  0.3821 incidence_lag2 week_sin + -0.1644 incidence_lag4 rolling_incidence_4wk +  0.1356 rolling_incidence_4wk^2
6,04 Barahona,2512,9.2253,0.1359,14,0.7879,0.672,0.7851,0.5439,-1.3615 incidence_lag1 +  3.5624 EIP + -5.3451 incidence_lag2 + -0.1738 incidence_lag4 +  9.1464 rolling_incidence_4wk + -0.1740 incidence_lag1 EIP + -1.4577 EIP^2 + -0.6073 EIP incidence_lag2 +  0.9752 EIP rolling_incidence_4wk +  0.2023 EIP week_cos +  0.2083 temp_lag4 incidence_lag2 + -0.3022 temp_lag4 rolling_incidence_4wk + -1.8784 week_sin^2 + -1.8251 week_cos^2
7,06 Duarte,2213,8.6744,0.2619,8,0.8788,0.4804,0.5361,0.4922,-1.0142 incidence_lag1 +  0.6442 EIP +  0.6515 incidence_lag2 +  0.5908 week_cos + -1.0795 EIP^2 + -1.1694 EIP incidence_lag2 +  1.6306 EIP rolling_incidence_4wk + -1.1111 EIP week_cos
8,24 Sánchez Ramírez,2169,16.6985,0.1359,14,0.7879,0.7605,0.6476,0.4204,-0.4978 1 + -2.0943 incidence_lag1 +  0.7956 EIP + -0.6013 incidence_lag2 + -0.1546 incidence_lag4 +  3.2471 rolling_incidence_4wk +  0.4117 week_cos +  0.8084 incidence_lag1 EIP +  0.2783 incidence_lag1 week_cos + -1.3874 EIP rolling_incidence_4wk +  0.3220 EIP week_sin + -0.2018 EIP week_cos + -0.1770 rolling_incidence_4wk week_sin + -0.5612 rolling_incidence_4wk week_cos
9,18 Puerto Plata,2019,14.5575,0.1611,3,0.9545,0.6744,0.7165,0.4835,-1.3645 incidence_lag1 + -0.6334 incidence_lag2 +  1.9978 rolling_incidence_4wk
10,02 Azua,1913,9.4452,0.3878,2,0.9697,0.5639,0.6733,0.3895,-1.2718 incidence_lag1 +  1.2667 rolling_incidence_4wk
11,11 La Altagracia,1834,12.4339,0.2367,3,0.9545,0.531,0.5953,0.1954,-1.2159 incidence_lag1 EIP + -0.6957 EIP incidence_lag2 +  1.9552 EIP rolling_incidence_4wk
12,22 San Juan,1639,13.3241,0.1359,6,0.9091,0.7017,0.6744,0.7041,-1.3433 incidence_lag1 + -0.4217 incidence_lag2 +  1.6132 rolling_incidence_4wk + -0.4664 EIP incidence_lag2 + -0.3358 EIP incidence_lag4 +  1.0163 EIP rolling_incidence_4wk
13,09 Espaillat,1603,14.0421,0.2367,3,0.9545,0.643,0.5783,0.3022,-1.2847 incidence_lag1 + -0.7160 incidence_lag2 +  2.0009 rolling_incidence_4wk
14,15 Monte Cristi,1442,17.4351,0.1863,3,0.9545,0.7414,0.68,0.5357,-1.4565 incidence_lag1 + -0.5496 incidence_lag2 +  2.0080 rolling_incidence_4wk
15,28 Monseñor Nouel,1380,15.8699,0.413,3,0.9545,0.5822,0.5611,-0.0974,-1.6553 incidence_lag1 EIP + -0.8153 EIP incidence_lag2 +  2.5709 EIP rolling_incidence_4wk
16,27 Valverde,1376,13.4558,0.3123,2,0.9697,0.4725,0.6446,0.2791,-1.0947 incidence_lag1 +  1.0860 rolling_incidence_4wk
17,23 San Pedro de Macorís,1371,15.6561,0.1108,3,0.9545,0.6998,0.5699,0.5463,-1.1742 incidence_lag1 + -0.8243 incidence_lag2 +  1.9983 rolling_incidence_4wk
18,17 Peravia,1358,10.247,0.5642,2,0.9697,0.5539,0.6061,0.2977,-1.2172 incidence_lag1 +  1.2118 rolling_incidence_4wk
19,12 La Romana,1312,36.3265,0.1863,3,0.9545,0.5434,0.6827,0.4304,-1.2925 incidence_lag1 + -0.7037 incidence_lag2 +  1.9963 rolling_incidence_4wk
20,19 Hermanas Mirabal,1185,12.57,0.1863,3,0.9545,0.7145,0.5954,0.3927,-1.4417 incidence_lag1 + -0.5526 incidence_lag2 +  1.9936 rolling_incidence_4wk
21,31 San José de Ocoa,1160,11.2065,0.3375,4,0.9394,0.7182,0.6534,0.2545,-1.3730 incidence_lag1 + -0.6473 incidence_lag2 +  1.6561 rolling_incidence_4wk +  0.5760 EIP rolling_incidence_4wk
22,29 Monte Plata,1140,12.5162,0.6901,2,0.9697,0.5308,0.6004,0.3307,-1.1654 incidence_lag1 +  1.1621 rolling_incidence_4wk
23,14 María Trinidad Sánchez,1127,12.3782,0.2871,3,0.9545,0.6362,0.7201,0.4976,-1.4084 incidence_lag1 + -0.5889 incidence_lag2 +  1.9972 rolling_incidence_4wk
24,30 Hato Mayor,808,17.2115,0.413,10,0.8485,0.6662,0.1323,0.6071,-1.4920 incidence_lag1 +  0.5121 EIP +  0.9676 rolling_incidence_4wk + -0.8543 week_sin + -0.8860 week_cos + -0.4729 EIP incidence_lag2 +  0.9769 EIP rolling_incidence_4wk +  1.2381 EIP week_sin +  1.2544 EIP week_cos +  0.5795 week_sin week_cos
25,20 Samaná,637,16.204,0.413,3,0.9545,0.5561,0.6086,0.546,-1.2490 incidence_lag1 EIP + -0.6100 EIP incidence_lag2 +  1.9277 EIP rolling_incidence_4wk
26,10 Independencia,625,15.9215,0.4634,2,0.9697,0.6681,0.7073,0.3619,-1.3622 incidence_lag1 +  1.3573 rolling_incidence_4wk
27,03 Baoruco,578,16.6358,0.2115,4,0.9394,0.5419,0.5622,0.0931,-0.2626 incidence_lag2 + -0.6839 incidence_lag1 EIP +  0.7856 EIP rolling_incidence_4wk +  0.2119 week_cos^2
28,26 Santiago Rodríguez,554,20.1606,0.3375,2,0.9697,0.6294,0.5255,0.0612,-1.3008 incidence_lag1 +  1.2962 rolling_incidence_4wk
29,05 Dajabón,521,19.3884,0.2871,3,0.9545,0.6548,0.7711,0.6753,-1.2474 incidence_lag1 + -0.7468 incidence_lag2 +  1.9936 rolling_incidence_4wk
30,08 El Seibo,380,19.9576,0.5642,2,0.9697,0.5458,0.6381,0.2595,-1.2045 incidence_lag1 +  1.1933 rolling_incidence_4wk
31,07 Elías Piña,330,19.7175,0.3375,2,0.9697,0.5308,0.5629,-0.1343,-1.2001 incidence_lag1 +  1.1746 rolling_incidence_4wk
32,16 Pedernales,268,17.8607,0.6146,2,0.9697,0.585,0.6798,0.6968,-1.2206 incidence_lag1 +  1.2032 rolling_incidence_4wk
