rank,province,total_cases,r2_test
1,32 Santo Domingo,21496,0.2028
2,25 Santiago,9187,0.4327
3,01 Distrito Nacional,7245,0.1708
4,21 San Cristóbal,3629,0.3182
5,13 La Vega,3329,0.2155
6,04 Barahona,2512,0.5051
7,06 Duarte,2213,0.3826
8,24 Sánchez Ramírez,2169,0.2498
9,18 Puerto Plata,2019,0.4508
10,02 Azua,1913,0.6654
11,11 La Altagracia,1834,0.284
12,22 San Juan,1639,0.5056
13,09 Espaillat,1603,0.1259
14,15 Monte Cristi,1442,0.5713
15,28 Monseñor Nouel,1380,0.1473
16,27 Valverde,1376,0.5396
17,23 San Pedro de Macorís,1371,0.3089
18,17 Peravia,1358,0.4396
19,12 La Romana,1312,0.3198
20,19 Hermanas Mirabal,1185,0.4485
21,31 San José de Ocoa,1160,0.2504
22,29 Monte Plata,1140,0.4898
23,14 María Trinidad Sánchez,1127,0.506
24,30 Hato Mayor,808,0.6334
25,20 Samaná,637,0.5955
26,10 Independencia,625,0.5193
27,03 Baoruco,578,0.4921
28,26 Santiago Rodríguez,554,0.4496
29,05 Dajabón,521,0.6325
30,08 El Seibo,380,0.5054
31,07 Elías Piña,330,0.3029
32,16 Pedernales,268,0.7815
