province,year,month,week,total_cases,population,cumulative_cases,S_proxy,dI_dt,cases_lag1,cases_lag2,cases_lag4,rolling_cases_4wk,rolling_cases_8wk,incidence,dI_dt_norm,incidence_lag1,incidence_lag2,incidence_lag4,rolling_incidence_4wk,avg_temp,max_temp,min_temp,EIP,temp_lag4,avg_rainfall,max_rainfall,min_rainfall,rainfall_lag3,avg_humidity,max_humidity,min_humidity,week_sin,week_cos
01 Distrito Nacional,2015,2,5,6,1007997,29,0.9999712300731054,1.0,5.0,2.0,5.0,6.0,5.8,0.5952398667853178,0.09920664446421963,0.4960332223210982,0.19841328892843926,0.4960332223210982,0.5952398667853178,23.21,28.2,19.4,0.32754494391310607,24.42,2.31,4.5,0.1,0.73,81.2,97,60,0.5680647467311558,0.8229838658936564
01 Distrito Nacional,2015,2,6,6,1007997,35,0.9999652776744375,0.0,6.0,5.0,11.0,4.75,5.833333333333333,0.5952398667853178,0.0,0.5952398667853178,0.4960332223210982,1.091273089106416,0.4712315612050432,23.83,28.4,20.2,0.4061673549511841,23.84,0.86,2.9,0.0,1.16,78.3,95,52,0.6631226582407952,0.7485107481711011
01 Distrito Nacional,2015,2,7,7,1007997,42,0.999958333209325,1.0,6.0,6.0,2.0,6.0,6.0,0.6944465112495374,0.09920664446421963,0.5952398667853178,0.5952398667853178,0.19841328892843926,0.5952398667853178,24.26,29.8,20.3,0.47152648815642095,24.11,0.7,2.2,0.0,0.1,75.7,95,51,0.7485107481711011,0.6631226582407953
01 Distrito Nacional,2015,2,8,5,1007997,47,0.9999533728771018,-2.0,7.0,6.0,5.0,6.0,5.875,0.4960332223210982,-0.19841328892843926,0.6944465112495374,0.5952398667853178,0.4960332223210982,0.5952398667853178,23.74,30.1,18.9,0.3936787726747562,24.14,3.41,13.1,0.0,2.31,76.4,97,47,0.8229838658936564,0.5680647467311558
01 Distrito Nacional,2015,3,9,13,1007997,60,0.9999404760133215,8.0,5.0,7.0,6.0,7.75,6.875,1.2896863780348553,0.793653155713757,0.4960332223210982,0.6944465112495374,0.5952398667853178,0.7688514945977022,24.11,29.5,19.8,0.44761132556214017,23.21,1.8,5.0,0.0,0.86,76.0,96,45,0.8854560256532098,0.4647231720437686
01 Distrito Nacional,2015,3,10,4,1007997,64,0.999936507747543,-9.0,13.0,5.0,6.0,7.25,6.0,0.3968265778568785,-0.8928598001779767,1.2896863780348553,0.4960332223210982,0.5952398667853178,0.7192481723655924,23.8,28.9,20.4,0.4019610844097049,23.83,1.29,2.4,0.5,0.7,72.4,91,44,0.9350162426854148,0.35460488704253557
01 Distrito Nacional,2015,3,11,4,1007997,68,0.9999325394817643,0.0,4.0,13.0,7.0,6.5,6.25,0.3968265778568785,0.0,0.3968265778568785,1.2896863780348553,0.6944465112495374,0.6448431890174277,24.31,30.2,20.1,0.47977885499697315,24.26,1.8,4.4,0.0,3.41,71.8,91,38,0.970941817426052,0.23931566428755804
01 Distrito Nacional,2015,3,12,4,1007997,72,0.9999285712159858,0.0,4.0,4.0,5.0,6.25,6.125,0.3968265778568785,0.0,0.3968265778568785,0.3968265778568785,0.4960332223210982,0.6200415279013727,24.36,29.7,20.1,0.4881756496908528,23.74,0.4,1.0,0.0,1.8,73.1,93,38,0.992708874098054,0.120536680255323
01 Distrito Nacional,2015,4,13,6,1007997,78,0.9999226188173179,2.0,4.0,4.0,13.0,4.5,6.125,0.5952398667853178,0.19841328892843926,0.3968265778568785,0.3968265778568785,1.2896863780348553,0.44642990008898836,24.9,29.5,20.5,0.5887815776591302,24.11,0.53,1.3,0.0,1.29,74.2,96,50,1.0,-1.6081226496766366e-16
01 Distrito Nacional,2015,4,14,8,1007997,86,0.9999146822857607,2.0,6.0,4.0,4.0,5.5,6.375,0.793653155713757,0.19841328892843926,0.5952398667853178,0.3968265778568785,0.3968265778568785,0.545636544553208,24.36,29.6,20.4,0.4881756496908528,23.8,1.5,4.1,0.0,1.8,72.8,92,43,0.992708874098054,-0.12053668025532288
